,name,year,quarter,sector,Relative Return,소비자물가지수 변화율,자산총계 변화율,비유동자산 변화율,이익잉여금 변화율,영업이익 변화율,기초 소유주식 지분율 변화율,Label,Code
20,대림산업,2019,Q4,건설,-0.16662607758445078,5.380260221408914,0.005436742907243053,-0.020110822170772424,0.018537867647057116,1.37402536244764,0.0,0.19286437081366153,000210
20,현대건설,2019,Q4,건설,-0.2516429718168658,5.380260221408914,-0.02256378113779145,0.03921586617535744,-0.00012961065005956396,-0.2896758680012512,0.40000000000000013,0.2557628363509828,000720
20,KCC,2019,Q4,건설,-0.17376325794838146,5.380260221408914,0.03910244262929363,-0.05441813686215291,0.0014501750899551524,-0.7677524857585425,0.16485500059507285,0.048837091118526965,002380
20,한일시멘트,2019,Q4,건설,-0.1571609347295915,5.380260221408914,-0.03749391685959558,-0.03697653645565524,-0.03791545391826501,1.8472702227816504,0.4244324324324322,0.2601351701297078,003300
20,아이에스동서,2019,Q4,건설,-0.17896627382970062,5.380260221408914,0.06741155590278125,-0.10223325142058215,0.019625622156286937,0.6376827370268223,0.0027472527472527375,0.045258181323962005,010780
20,현대산업,2019,Q4,건설,-0.17061323994475183,5.380260221408914,0.0010943071501774426,0.002387751533238669,0.0007530051657167469,0.06106434882235212,0.7579673960934057,0.10521536138704882,012630
20,삼성엔지니어링,2019,Q4,건설,-0.28822258584463334,5.380260221408914,0.019665314117904842,-0.008453540823855299,0.018109718003560538,-0.22214399951629793,0.13103364212579227,0.010193831290781913,028050
20,대우건설,2019,Q4,건설,-0.23804152742724724,5.380260221408914,0.0046251863226340895,-0.04271469963325958,-3.53314438573255,-2.08254616997311,-0.8333333333333333,0.16589919200891362,047040
20,한전기술,2019,Q4,건설,-0.09866332749184156,5.380260221408914,0.037177383330125435,-0.03779508458618619,0.0714101381753749,-7.991620965373804,0.5,0.03641661685594744,052690
20,LG하우시스,2019,Q4,건설,-0.22093328285553318,5.380260221408914,-0.08378865824727588,0.004628196953493591,-0.1646601675671443,-0.9695669137729224,0.0006651147322911388,0.4879588246481552,108670
