날짜,시가,고가,저가,종가,거래량,등락률
2015-01-02,8411,8506,8294,8367,94878,-0.27413587604290823
2015-01-05,8341,8411,8106,8413,148166,0.5497788932711845
2015-01-06,8341,8483,8294,8390,116346,-0.2733864257696422
2015-01-07,8436,8483,8269,8485,101541,1.132300357568534
2015-01-08,8436,8718,8388,8602,122958,1.3789039481437833
2015-01-09,8647,8860,8554,8674,105340,0.8370146477563357
2015-01-12,8647,8884,8576,8861,78478,2.155868111597879
2015-01-13,8836,8884,8647,8697,99213,-1.8508069066696762
2015-01-14,8718,8955,8694,8956,139811,2.9780384040473726
2015-01-15,8906,9025,8765,9004,93653,0.5359535506922734
2015-01-16,8884,9189,8884,9168,147131,1.8214127054642382
2015-01-19,9142,9402,9118,9285,151142,1.2761780104712042
2015-01-20,9307,9378,9142,9262,70943,-0.24771136241249328
2015-01-21,9236,9306,9095,9192,66131,-0.7557762902180954
2015-01-22,9236,9236,9095,9144,88456,-0.5221932114882507
2015-01-23,9285,9306,9142,9216,85284,0.7874015748031495
2015-01-26,9189,9402,9166,9380,84851,1.7795138888888888
2015-01-27,9355,9448,9355,9380,65346,0.0
2015-01-28,9355,9519,9355,9499,102917,1.2686567164179103
2015-01-29,9426,9614,9378,9475,98603,-0.2526581745446889
2015-01-30,9448,9730,9426,9710,129759,2.480211081794195
2015-02-02,9685,9685,9448,9545,58613,-1.6992790937178166
2015-02-03,9472,9614,9285,9522,136433,-0.24096385542168677
2015-02-04,9519,9589,9402,9451,32072,-0.7456416719176643
2015-02-05,9496,9589,9378,9427,54246,-0.25394138186435294
2015-02-06,9426,9519,9378,9475,33341,0.509175771719529
2015-02-09,9472,9472,9236,9310,76674,-1.7414248021108178
2015-02-10,9285,9496,9118,9285,107123,-0.26852846401718583
2015-02-11,9330,9614,9307,9569,114899,3.0586968228325255
2015-02-12,9589,10038,9589,10041,194103,4.932594837496081
2015-02-13,10061,10180,9873,9993,103412,-0.47804003585300264
2015-02-16,9991,11288,9897,10677,360891,6.8447913539477625
2015-02-17,10721,10792,10415,10582,156282,-0.889763042053011
2015-02-23,10580,11170,10533,10936,149764,3.345303345303345
2015-02-24,10839,11782,10816,11619,268842,6.2454279444038034
2015-02-25,11782,11782,11217,11266,149411,-3.038127205439366
2015-02-26,11263,11546,11170,11171,96149,-0.8432451624356472
2015-02-27,11217,11405,11076,11195,90972,0.214842001611315
2015-03-02,11098,11405,10934,10936,127633,-2.31353282715498
2015-03-03,10934,11076,10769,10866,143733,-0.640087783467447
2015-03-04,10886,10956,10674,10701,109471,-1.5184980673660962
2015-03-05,10721,11381,10604,11289,155694,5.494813568825344
2015-03-06,11170,11405,10769,10866,120562,-3.74701036407122
2015-03-09,10863,10981,10839,10959,39659,0.8558807288790724
2015-03-10,10886,11405,10839,11408,170742,4.097089150469933
2015-03-11,11310,11310,10886,10889,139408,-4.549438990182328
2015-03-12,10863,11263,10863,10936,79039,0.43162824869133987
2015-03-13,11076,12395,11052,12043,527284,10.122531089978054
2015-03-16,12206,12301,11923,12091,176468,0.3985717844390933
2015-03-17,12253,13148,12253,12680,357269,4.871391944421471
2015-03-18,12796,13102,12488,12680,192604,0.0
2015-03-19,12866,13055,12583,12774,147467,0.7413249211356467
2015-03-20,12772,13126,12725,12916,157316,1.1116330045404728
2015-03-23,12772,12818,12253,12421,169343,-3.8324558686899968
2015-03-24,12301,12818,12301,12633,127380,1.7067868931648016
2015-03-25,12537,12796,12443,12609,73871,-0.189978627404417
