종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
042660,대우조선해양,"6,410","40","0.63","6,364,239,980","1,226,814,758,780"
082740,두산엔진,"4,550","90","2.02","449,991,320","316,225,000,000"
042670,두산인프라코어,"6,690","120","1.83","8,401,579,920","1,387,876,050,660"
034020,두산중공업,"21,250","100","0.47","5,421,073,200","2,255,862,940,000"
010140,삼성중공업,"12,650","350","2.85","15,103,451,550","2,920,573,632,900"
097230,한진중공업,"4,110","0","0.00","1,212,434,790","420,405,591,150"
012450,한화테크윈,"31,350","450","1.46","17,453,279,300","1,665,625,500,000"
064350,현대로템,"17,100","-100","0.58","3,254,043,500","1,453,500,000,000"
010620,현대미포조선,"66,600","100","0.15","8,126,995,400","1,332,000,000,000"
017800,현대엘리베이,"53,500","2,300","4.49","21,761,065,400","1,317,839,445,500"
009540,현대중공업,"96,500","0","0.00","24,574,463,900","7,334,000,000,000"
