종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
078930,GS,"47,450","1,900","4.17","11,823,385,350","4,408,834,686,100"
051910,LG화학,"288,000","2,500","0.88","111,629,232,000","19,086,076,800,000"
010060,OCI,"82,900","500","0.61","14,089,259,600","1,977,112,855,900"
010950,S-Oil,"63,300","700","1.12","23,878,796,200","7,126,490,733,600"
011790,SKC,"38,650","550","1.44","7,818,334,600","1,421,514,649,950"
096770,SK이노베이션,"101,000","3,000","3.06","59,625,789,800","9,339,021,964,000"
006120,SK케미칼,"72,600","-900","1.22","13,404,892,000","1,513,205,212,200"
007690,국도화학,"69,900","800","1.16","1,339,073,800","406,162,058,400"
011780,금호석유,"56,000","2,800","5.26","18,022,333,000","1,706,190,696,000"
025860,남해화학,"9,630","280","2.99","1,358,456,430","478,407,258,090"
006650,대한유화,"170,000","4,000","2.41","6,204,786,500","1,105,000,000,000"
014820,동원시스템즈,"90,700","900","1.00","2,080,872,000","2,184,015,547,800"
011170,롯데케미칼,"266,500","-3,500","1.30","35,978,550,500","9,134,399,163,500"
004000,삼성정밀화학,"40,350","100","0.25","2,184,014,750","1,041,030,000,000"
014830,유니드,"55,700","-600","1.07","434,215,000","495,164,255,100"
120110,코오롱인더,"62,700","100","0.16","4,666,403,600","1,574,906,876,400"
003240,태광산업,"1,189,000","-8,000","0.67","597,235,000","1,323,832,600,000"
002960,한국쉘석유,"519,000","3,000","0.58","1,026,372,000","674,700,000,000"
014680,한솔케미칼,"73,000","-300","0.41","1,716,139,000","824,549,235,000"
000880,한화,"40,650","1,800","4.63","8,238,030,050","3,047,072,577,750"
009830,한화케미칼,"21,500","-50","0.23","27,424,712,300","3,481,700,776,500"
004800,효성,"116,500","4,000","3.56","36,738,019,500","4,091,183,507,500"
093370,후성,"3,840","-40","1.03","2,133,913,570","354,815,051,520"
079980,휴비스,"8,750","130","1.51","620,030,790","301,875,000,000"
069260,휴켐스,"19,700","150","0.77","1,607,158,300","805,308,183,600"
