종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
000120,CJ대한통운,"204,000","4,500","2.26","10,043,746,000","4,653,718,176,000"
001120,LG상사,"27,250","100","0.37","7,174,854,650","1,056,210,000,000"
006260,LS,"35,000","700","2.04","6,929,775,050","1,127,000,000,000"
010120,LS산전,"46,400","900","1.98","3,751,803,300","1,392,000,000,000"
003570,S&T중공업,"14,150","350","2.54","927,893,200","459,499,161,850"
047050,대우인터내셔널,"20,400","-350","1.69","6,273,439,850","2,323,076,336,400"
003490,대한항공,"32,000","650","2.07","6,829,783,000","2,330,871,808,000"
000150,두산,"108,000","-3,000","2.70","9,794,776,500","2,297,255,904,000"
025540,한국단자,"104,500","2,500","2.45","2,260,441,500","1,088,367,500,000"
047810,한국항공우주,"72,400","4,500","6.63","120,464,756,000","7,057,197,746,800"
051600,한전KPS,"117,500","-3,500","2.89","10,173,386,000","5,287,500,000,000"
086280,현대글로비스,"222,500","-1,500","0.67","28,469,314,500","8,343,750,000,000"
011200,현대상선,"6,230","80","1.30","11,390,953,240","1,272,622,216,670"
