종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
138930,BNK금융지주,"14,000","300","2.19","13,153,016,350","3,583,093,444,000"
105560,KB금융,"35,300","50","0.14","24,264,500,300","13,638,214,762,900"
005940,NH투자증권,"10,150","210","2.11","13,571,716,570","2,856,300,203,050"
024110,기업은행,"13,550","-50","0.37","11,830,970,350","7,539,246,530,900"
006800,대우증권,"12,050","150","1.26","21,977,598,750","3,936,745,736,550"
005830,동부화재,"61,200","-100","0.16","9,522,520,700","4,332,960,000,000"
037620,미래에셋증권,"27,350","-600","2.15","11,125,127,550","1,202,267,956,150"
032830,삼성생명,"98,300","-600","0.61","51,198,141,475","19,660,000,000,000"
016360,삼성증권,"46,350","900","1.98","19,327,337,650","3,542,769,897,750"
029780,삼성카드,"37,050","800","2.21","2,759,046,200","4,292,571,911,550"
000810,삼성화재,"283,000","3,000","1.07","31,638,117,500","13,407,078,871,000"
055550,신한지주,"41,350","-50","0.12","39,184,795,038","19,608,152,922,450"
000030,우리은행,"9,480","90","0.96","16,011,655,220","6,411,118,957,080"
086790,하나금융지주,"26,300","-100","0.38","18,776,434,500","7,784,880,530,600"
071050,한국금융지주,"63,100","2,000","3.27","12,738,242,100","3,516,310,095,200"
088350,한화생명,"8,030","-130","1.59","4,429,433,530","6,974,295,900,000"
003450,현대증권,"7,690","100","1.32","5,569,502,420","1,819,550,355,700"
