종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
005490,POSCO,"171,000","2,500","1.48","90,916,197,000","14,908,948,785,000"
010130,고려아연,"479,000","13,500","2.90","24,207,176,000","9,038,730,000,000"
002240,고려제강,"47,200","900","1.94","434,197,500","849,600,000,000"
001230,동국제강,"7,320","190","2.66","4,336,889,770","698,024,527,440"
009580,무림P&P,"5,270","150","2.93","1,034,080,280","328,681,067,480"
005090,삼광글라스,"100,500","2,000","2.03","1,946,185,400","487,869,009,000"
001430,세아베스틸,"30,350","250","0.83","1,287,245,700","1,088,415,311,650"
003030,세아제강,"70,900","1,900","2.75","476,629,100","425,400,000,000"
000670,영풍,"1,339,000","-12,000","0.89","1,167,590,000","2,466,491,560,000"
000480,조선내화,"98,200","-100","0.10","129,491,800","392,800,000,000"
103140,풍산,"25,800","700","2.79","3,368,939,650","723,026,372,400"
104700,한국철강,"57,200","-100","0.17","1,288,796,900","526,812,000,000"
004020,현대제철,"51,900","400","0.78","22,019,158,400","6,925,836,241,500"
