종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
002380,KCC,"421,500","8,500","2.06","9,164,900,000","4,434,180,000,000"
108670,LG하우시스,"167,000","6,500","4.05","7,366,557,500","1,497,600,890,000"
000210,대림산업,"70,100","3,000","4.47","17,631,670,700","2,439,480,000,000"
047040,대우건설,"6,570","190","2.98","5,694,148,540","2,730,640,731,660"
028050,삼성엔지니어링,"31,050","550","1.80","5,650,251,500","1,242,000,000,000"
003410,쌍용양회,"19,850","300","1.53","1,191,176,200","1,482,009,654,600"
010780,아이에스동서,"53,400","500","0.95","4,962,293,900","1,454,827,517,400"
003300,한일시멘트,"128,000","-5,000","3.76","3,565,719,500","965,800,064,000"
052690,한전기술,"29,800","400","1.36","3,482,295,000","1,138,956,000,000"
000720,현대건설,"35,050","850","2.49","23,056,107,450","3,903,019,563,250"
012630,현대산업,"56,800","2,300","4.22","21,284,425,800","4,281,821,424,000"
