종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
003550,LG,"61,300","400","0.66","18,092,624,996","10,577,752,130,300"
034220,LG디스플레이,"22,450","-200","0.88","24,545,828,250","8,032,962,465,000"
011070,LG이노텍,"88,400","400","0.45","10,006,060,700","2,092,172,258,800"
066570,LG전자,"45,650","0","0.00","17,658,033,000","7,470,522,709,100"
035420,NAVER,"546,000","33,000","6.43","108,084,583,000","17,997,622,734,000"
034730,SK,"246,000","2,000","0.82","44,993,706,500","17,308,633,062,000"
000660,SK하이닉스,"33,700","150","0.45","123,628,526,852","24,533,679,700,500"
008060,대덕전자,"7,880","110","1.42","1,066,925,040","384,514,844,000"
006400,삼성SDI,"108,500","0","0.00","44,847,164,000","7,460,951,505,000"
018260,삼성에스디에스,"288,500","500","0.17","24,473,251,500","22,323,495,300,000"
009150,삼성전기,"63,000","-1,300","2.02","22,658,503,200","4,705,702,848,000"
005930,삼성전자,"1,134,000","0","0.00","273,836,996,185","167,037,448,158,000"
029530,신도리코,"63,900","1,300","2.08","783,614,600","644,113,853,100"
036570,엔씨소프트,"195,000","6,000","3.17","26,074,312,500","4,276,159,290,000"
020150,일진머티리얼즈,"8,630","-210","2.38","5,521,728,210","338,296,000,000"
042700,한미반도체,"10,200","100","0.99","716,296,100","259,414,978,200"
004710,한솔테크닉스,"26,900","3,100","13.03","52,581,383,300","594,755,718,200"
