주식 코드,주식 종목,날짜,종가,시가,주가 변화율,KOSPI 50 종가,KOSPI 50 시가,KOSPI 50 주가 변화율,시장초과수익률
009150,Samsung_Electro_Mechanics,2015-01-02,158000,150100,0.05263157894736842,2666.2,2628.3,0.01441996727922978,0.038211611668138634
009150,Samsung_Electro_Mechanics,2015-01-05,148700,153200,-0.0293733681462141,2607.13,2471.52,0.05486906842752643,-0.08424243657374053
009150,Samsung_Electro_Mechanics,2015-01-06,153200,135600,0.12979351032448377,2483.32,2218.53,0.11935380634924925,0.010439703975234527
009150,Samsung_Electro_Mechanics,2015-01-07,137400,145300,-0.05437026841018582,2249.01,2354.61,-0.044848191420235155,-0.009522076989950667
009150,Samsung_Electro_Mechanics,2015-01-08,144500,153600,-0.059244791666666664,2337.45,2231.23,0.04760602896160405,-0.10685082062827071
009150,Samsung_Electro_Mechanics,2015-01-09,152700,131000,0.16564885496183207,2220.92,1996.43,0.1124457156023502,0.05320313935948187
009150,Samsung_Electro_Mechanics,2015-01-12,130500,114500,0.13973799126637554,1983.7,1960.37,0.011900814642133963,0.12783717662424157
009150,Samsung_Electro_Mechanics,2015-01-13,112000,131500,-0.1482889733840304,1926.97,2096.77,-0.0809817004249393,-0.06730727295909111
009150,Samsung_Electro_Mechanics,2015-01-14,130500,163500,-0.2018348623853211,2088.88,2503.29,-0.16554614127807799,-0.03628872110724313
009150,Samsung_Electro_Mechanics,2015-01-15,165000,198500,-0.16876574307304787,2515.99,2777.21,-0.09405842554218091,-0.07470731753086696
009150,Samsung_Electro_Mechanics,2015-01-16,197500,176500,0.11898016997167139,2755.64,2762.01,-0.002306291432688638,0.12128646140436003
009150,Samsung_Electro_Mechanics,2015-01-19,177500,177500,0.0,2771.92,3057.05,-0.09326965538672907,0.09326965538672907
009150,Samsung_Electro_Mechanics,2015-01-20,177000,190500,-0.07086614173228346,3056.06,2916.4,0.04788780688520088,-0.11875394861748434
009150,Samsung_Electro_Mechanics,2015-01-21,187500,178000,0.05337078651685393,2902.81,2725.68,0.06498561826773507,-0.011614831750881134
009150,Samsung_Electro_Mechanics,2015-01-22,178000,138500,0.2851985559566787,2725.2,2159.46,0.26198216220721837,0.02321639374946033
009150,Samsung_Electro_Mechanics,2015-01-23,139000,130500,0.06513409961685823,2158.75,1981.53,0.08943594091434398,-0.02430184129748575
009150,Samsung_Electro_Mechanics,2015-01-26,129000,96600,0.33540372670807456,1959.45,1629.72,0.2023230984463589,0.13308062826171566
009150,Samsung_Electro_Mechanics,2015-01-27,97700,126000,-0.2246031746031746,1648.2,2014.65,-0.181892636438091,-0.042710538165083606
009150,Samsung_Electro_Mechanics,2015-01-28,125000,104000,0.20192307692307693,2010.91,1853.41,0.08497849909086494,0.11694457783221199
009150,Samsung_Electro_Mechanics,2015-01-29,103000,98600,0.04462474645030426,1853.6,1867.73,-0.007565333319055811,0.05219007976936007
009150,Samsung_Electro_Mechanics,2015-01-30,97800,105500,-0.07298578199052133,1856.21,1851.95,0.002300278085261476,-0.07528606007578281
009150,Samsung_Electro_Mechanics,2015-02-02,104500,104500,0.0,1837.13,1732.45,0.060423100233773015,-0.060423100233773015
009150,Samsung_Electro_Mechanics,2015-02-03,103500,139500,-0.25806451612903225,1723.22,2000.17,-0.13846323062539687,-0.11960128550363539
009150,Samsung_Electro_Mechanics,2015-02-04,139000,149000,-0.06711409395973154,1992.62,1987.8,0.0024247912264815054,-0.06953888518621305
009150,Samsung_Electro_Mechanics,2015-02-05,148500,105500,0.4075829383886256,1990.06,2120.68,-0.06159345115717595,0.46917638954580154
009150,Samsung_Electro_Mechanics,2015-02-06,105500,100000,0.055,2114.3,2196.95,-0.0376203372857824,0.0926203372857824
009150,Samsung_Electro_Mechanics,2015-02-09,100000,103500,-0.033816425120772944,2191.53,2184.25,0.0033329518141239326,-0.03714937693489688
009150,Samsung_Electro_Mechanics,2015-02-10,102000,101500,0.0049261083743842365,2143.75,2077.18,0.03204825773404335,-0.027122149359659113
009150,Samsung_Electro_Mechanics,2015-02-11,102000,70000,0.45714285714285713,2072.82,1862.26,0.11306691869019372,0.3440759384526634
009150,Samsung_Electro_Mechanics,2015-02-12,69500,50400,0.37896825396825395,1856.45,1706.07,0.08814409725275055,0.29082415671550343
009150,Samsung_Electro_Mechanics,2015-02-13,50800,49150,0.0335707019328586,1710.64,1676.87,0.020138710812406573,0.013431991120452024
009150,Samsung_Electro_Mechanics,2015-02-16,48900,50300,-0.027833001988071572,1661.76,1560.02,0.06521711260112051,-0.09305011458919207
009150,Samsung_Electro_Mechanics,2015-02-17,50100,59000,-0.15084745762711865,1555.47,1554.44,0.0006626180489436535,-0.1515100756760623
009150,Samsung_Electro_Mechanics,2015-02-23,58800,62900,-0.06518282988871224,1557.22,1504.23,0.03522732560845084,-0.10041015549716309
