주식 코드,주식 종목,날짜,종가,시가,주가 변화율,KOSPI 50 종가,KOSPI 50 시가,KOSPI 50 주가 변화율,시장초과수익률
034220,LG_Display,2015-01-02,11470,10780,0.0640074211502783,2666.2,2628.3,0.01441996727922978,0.049587453871048515
034220,LG_Display,2015-01-05,10750,11775,-0.0870488322717622,2607.13,2471.52,0.05486906842752643,-0.14191790069928864
034220,LG_Display,2015-01-06,11775,12116,-0.028144602178936943,2483.32,2218.53,0.11935380634924925,-0.1474984085281862
034220,LG_Display,2015-01-07,12117,14696,-0.1754899292324442,2249.01,2354.61,-0.044848191420235155,-0.13064173781220903
034220,LG_Display,2015-01-08,14567,15010,-0.02951365756162558,2337.45,2231.23,0.04760602896160405,-0.07711968652322963
034220,LG_Display,2015-01-09,15186,11553,0.31446377564269024,2220.92,1996.43,0.1124457156023502,0.20201806004034004
034220,LG_Display,2015-01-12,11507,11183,0.02897254761691854,1983.7,1960.37,0.011900814642133963,0.017071732974784575
034220,LG_Display,2015-01-13,11091,13309,-0.16665414381245774,1926.97,2096.77,-0.0809817004249393,-0.08567244338751845
034220,LG_Display,2015-01-14,13448,18901,-0.2885032537960954,2088.88,2503.29,-0.16554614127807799,-0.12295711251801744
034220,LG_Display,2015-01-15,19086,22922,-0.16735014396649506,2515.99,2777.21,-0.09405842554218091,-0.07329171842431415
034220,LG_Display,2015-01-16,22737,17468,0.30163727959697734,2755.64,2762.01,-0.002306291432688638,0.30394357102966596
034220,LG_Display,2015-01-19,17515,22737,-0.2296697013678146,2771.92,3057.05,-0.09326965538672907,-0.13640004598108552
034220,LG_Display,2015-01-20,22645,21165,0.06992676588707772,3056.06,2916.4,0.04788780688520088,0.022038959001876836
034220,LG_Display,2015-01-21,21028,17423,0.206910405785456,2902.81,2725.68,0.06498561826773507,0.14192478751772092
034220,LG_Display,2015-01-22,17145,14095,0.21638879035118835,2725.2,2159.46,0.26198216220721837,-0.04559337185603002
034220,LG_Display,2015-01-23,14188,10767,0.31773010123525586,2158.75,1981.53,0.08943594091434398,0.22829416032091188
034220,LG_Display,2015-01-26,10490,10074,0.04129442128250943,1959.45,1629.72,0.2023230984463589,-0.16102867716384947
034220,LG_Display,2015-01-27,10259,15204,-0.3252433570113128,1648.2,2014.65,-0.181892636438091,-0.1433507205732218
034220,LG_Display,2015-01-28,15020,13078,0.1484936534638324,2010.91,1853.41,0.08497849909086494,0.06351515437296745
034220,LG_Display,2015-01-29,13078,16452,-0.2050814490639436,1853.6,1867.73,-0.007565333319055811,-0.19751611574488778
034220,LG_Display,2015-01-30,16498,18115,-0.08926304167816726,1856.21,1851.95,0.002300278085261476,-0.09156331976342874
034220,LG_Display,2015-02-02,18024,16729,0.07741048478689701,1837.13,1732.45,0.060423100233773015,0.016987384553123992
034220,LG_Display,2015-02-03,16683,17607,-0.05247912761969671,1723.22,2000.17,-0.13846323062539687,0.08598410300570015
034220,LG_Display,2015-02-04,17654,17007,0.038043158699359085,1992.62,1987.8,0.0024247912264815054,0.03561836747287758
034220,LG_Display,2015-02-05,16914,24077,-0.2975038418407609,1990.06,2120.68,-0.06159345115717595,-0.23591039068358494
034220,LG_Display,2015-02-06,24170,27774,-0.12976164758407144,2114.3,2196.95,-0.0376203372857824,-0.09214131029828904
034220,LG_Display,2015-02-09,27636,28282,-0.022841383211936923,2191.53,2184.25,0.0033329518141239326,-0.026174335026060855
034220,LG_Display,2015-02-10,28237,34476,-0.1809664694280079,2143.75,2077.18,0.03204825773404335,-0.21301472716205125
034220,LG_Display,2015-02-11,34291,28098,0.22040714641611503,2072.82,1862.26,0.11306691869019372,0.1073402277259213
034220,LG_Display,2015-02-12,27960,28838,-0.03044593938553298,1856.45,1706.07,0.08814409725275055,-0.11859003663828352
034220,LG_Display,2015-02-13,29069,26249,0.10743266410148958,1710.64,1676.87,0.020138710812406573,0.087293953289083
034220,LG_Display,2015-02-16,25973,24493,0.06042542767321275,1661.76,1560.02,0.06521711260112051,-0.004791684927907755
034220,LG_Display,2015-02-17,24401,24355,0.0018887292137138164,1555.47,1554.44,0.0006626180489436535,0.001226111164770163
034220,LG_Display,2015-02-23,24586,22644,0.08576223282105636,1557.22,1504.23,0.03522732560845084,0.050534907212605513
