,name,sector,year,quarter,비유동부채변화율,비유동자산변화율,영업이익변화율,자산총계변화율,자본총계변화율,Relative Return,전체 주식 수변화율,주주 수변화율,보유 주식 수변화율,전체 주주 수변화율,Label,Code
29,Hite_Jinro,Consumer_Goods_&_Retail,2017,Q2,-0.0705316149159343,-1.7273490862779184e-05,2.136123171146868,0.004379010970650965,-0.01281742830059418,-0.11734288045406419,0.004086407567633565,0.035391417746968856,0.007224412116982437,0.010186033568600705,0.03470064449352615,000080
29,Daesang,Consumer_Goods_&_Retail,2017,Q2,-0.011012804249244335,-0.03111158702325123,0.08890308343998543,-0.01563330781165906,-0.021217118940284996,-0.17236389449323078,-0.0030835376168316664,-0.0061059824752458525,-0.02399225017916451,-0.0019086611186427405,-0.014481011640001637,001680
29,AmoreG,Consumer_Goods_&_Retail,2017,Q2,0.012717444828105995,0.0005100049089176162,0.9934095464386377,0.021202932499177485,-0.0003190713193295114,-0.1695803782955843,0.009359030723382622,0.005697810327270236,0.007994399488262749,0.009022171960460734,-0.024113836253125465,002790
29,Shinsegae,Consumer_Goods_&_Retail,2017,Q2,-0.25477757510874643,0.007283396869530834,0.3047035146925048,0.00368070597769532,-0.021664851338318636,0.006521231561706586,0.03900433731619346,0.04443944308683545,0.00842526206936145,0.04385454627628793,0.09411446237670036,004170
29,Chokwang_Leather,Consumer_Goods_&_Retail,2017,Q2,-0.15819984844447044,-0.06627731062152842,-0.20320821999268324,-0.04097451770148686,-0.04614843750323927,-0.1545678098090249,-0.048378323604646445,-0.03570326470202145,-0.03297265871308053,-0.04710641295947582,-0.1189065999309612,004700
29,Lotte_Chilsung_Beverage,Consumer_Goods_&_Retail,2017,Q2,-0.4609220713342408,-0.06438326581714704,0.12322719489161793,-0.0839596766506423,-0.014028199802123664,-0.11592452128544409,-0.09364506833168851,-0.09594536976037671,-0.11780940952897545,-0.10834870643102912,0.10299911039289326,005300
29,SL_Corp,Consumer_Goods_&_Retail,2017,Q2,0.027158471398824435,-0.19888187683467717,-0.25574564602572036,-0.12053949758650662,-0.1525131168407503,-0.18152423505394108,-0.0827226057179955,-0.15074734442947957,-0.17488301118249772,-0.13366455250350295,0.008863563891979953,005850
29,GS_Retail,Consumer_Goods_&_Retail,2017,Q2,-0.014449875821862523,-0.06371877479366739,-1.3601833555323113,-0.060082025958862584,-0.0211359849321735,0.025347632176812962,-0.05100589698239877,-0.0056935949765895,-0.06063823493065734,-0.04278793185876184,-0.13201196044943236,007070
29,Hanssem,Consumer_Goods_&_Retail,2017,Q2,-2.7864454634905833,-0.3943738446253682,0.19461002464405586,-0.10959395651991666,0.015449305828355908,0.023729781433573044,-0.328802157072136,-0.4625652801382074,-0.05746751935734684,-0.5414483029651986,-0.2748770327312099,009240
29,UNID,Consumer_Goods_&_Retail,2017,Q2,-0.12988267509515894,-0.020425877332989506,-0.5291393098992438,-0.0321385128189946,-0.02734398213870959,-0.08513138278008053,-0.02725970572200387,-0.019410156346700846,-0.03007571797707098,-0.02840945968354691,-0.03522288748174954,014830
29,Coway,Consumer_Goods_&_Retail,2017,Q2,-0.3578813210449505,-0.027335394118899403,-0.018176961819829973,-0.060993354946351275,-0.03407822137881733,0.00031687890066101065,-0.03629897446710517,-0.021319188413784218,-0.039117235239292114,-0.03346839918825073,-0.027497755115538647,021240
29,Lotte_Shopping,Consumer_Goods_&_Retail,2017,Q2,0.016393712380288528,0.0008801249589915905,0.7571632745632882,0.02303197930674672,0.016050175426167712,-0.09315614096733399,0.020164257990944567,0.02082975279344179,0.01918515665442344,0.019529605451037768,0.2879532626697414,023530
30,Sindoh,Consumer_Goods_&_Retail,2017,Q2,0.03337890316335412,0.017763368357557097,-0.6298202777856126,7.148278310464828e-05,-0.018659037893613784,-0.15634331130283627,-0.009477328044212197,-0.009458304633645831,-0.010011336608516608,-0.009212537146052746,0.0005987915716108294,029530
30,Cheil_Worldwide,Consumer_Goods_&_Retail,2017,Q2,-0.0016044264337238268,-0.02016083781438005,-1.212199265310217,-0.0500219571156264,-0.05647350785534577,0.11694031358962144,-0.015519319371918305,-0.02691620101372405,-0.07293216203585673,-0.017666539317591656,-0.13903516561999293,030000
29,KT&G,Consumer_Goods_&_Retail,2017,Q2,-0.002766455711353588,-0.011546973316639786,-0.07253940026295891,0.018480681345786842,-0.04488005283325136,-0.11645132210391639,-0.014610338290650837,-0.011337861645179581,-0.024221074935757203,-0.025093477574212653,0.07795411609493268,033780
29,LG_Household & Health Care,Consumer_Goods_&_Retail,2017,Q2,-0.02397073348621448,-0.013793099887738913,0.1911554421479318,0.054065433247516115,-0.09819425191836295,-0.12203454314791427,-0.22467777717914972,-0.7187185334002337,0.0919328686251406,-0.5583693411173698,0.11517600807069135,051900
29,Hyundai_Department_Store,Consumer_Goods_&_Retail,2017,Q2,-0.005754637622588099,-0.01574960425526184,0.48959068308734577,-0.00898752996031238,-0.0136284371717732,-0.1509222807205154,-0.010240824820755723,-0.005404289358834857,-0.012867062571791932,-0.010466572233924776,-0.01878626751265562,069960
29,Able_C&C,Consumer_Goods_&_Retail,2017,Q2,-0.31013729473054763,0.02250869965807345,-0.4396207185637697,0.003828688410068448,-0.010279093793699179,0.1272153920021456,0.026674566042887315,-0.001988762627594287,0.01522088999737703,0.02565921412513228,-0.07125523171198489,078520
