,name,sector,year,quarter,비유동부채변화율,비유동자산변화율,자산총계변화율,Code
32,Hite_Jinro,Consumer_Goods_&_Retail,2016,Q3,-0.007578404108758541,0.00035696854703115566,0.005869655256026007,000080
32,Daesang,Consumer_Goods_&_Retail,2016,Q3,-0.01379193633164566,-0.03836325979662458,-0.01005282873411395,001680
32,AmoreG,Consumer_Goods_&_Retail,2016,Q3,-0.01301595309686876,-0.0013426432607561711,8.148270708163707e-05,002790
32,Shinsegae,Consumer_Goods_&_Retail,2016,Q3,0.13606074973404647,-0.011268637063867715,-0.017293336850316532,004170
32,Chokwang_Leather,Consumer_Goods_&_Retail,2016,Q3,0.21889331858046723,-0.014648857158686024,-0.01335777749268452,004700
32,Lotte_Chilsung_Beverage,Consumer_Goods_&_Retail,2016,Q3,-0.002219944672770202,-0.018941164879079375,-0.010069914824319293,005300
32,SL_Corp,Consumer_Goods_&_Retail,2016,Q3,-0.08117206594384263,-0.01725905996647592,0.03292861405361602,005850
32,GS_Retail,Consumer_Goods_&_Retail,2016,Q3,0.43176300413297997,0.16255403805763158,-0.024960896767049823,007070
32,Hanssem,Consumer_Goods_&_Retail,2016,Q3,-0.24360086256098157,-0.027239287551547253,-0.04870236712111131,009240
32,UNID,Consumer_Goods_&_Retail,2016,Q3,-0.5551982169050551,-0.024534673346491953,-0.01375661233332437,014830
32,Coway,Consumer_Goods_&_Retail,2016,Q3,-0.02101628520465737,-0.016346351314244778,-0.02428128465715762,021240
32,Lotte_Shopping,Consumer_Goods_&_Retail,2016,Q3,0.09056204216250963,-0.0024899702943665947,-0.015358497239132074,023530
33,Sindoh,Consumer_Goods_&_Retail,2016,Q3,-0.041574095777622944,0.010357775430868132,-0.007285631334773779,029530
33,Cheil_Worldwide,Consumer_Goods_&_Retail,2016,Q3,0.2716441877838547,0.005538247226896442,-0.019176368445905867,030000
32,KT&G,Consumer_Goods_&_Retail,2016,Q3,-0.036714611639130146,-0.004248354666054555,-0.018539308448168645,033780
32,LG_Household & Health Care,Consumer_Goods_&_Retail,2016,Q3,-0.008195613934162793,-0.010216617182770227,-0.05559594765204379,051900
32,Hyundai_Department_Store,Consumer_Goods_&_Retail,2016,Q3,-0.01522453934762269,-0.011350989560085845,-0.007747058216543534,069960
32,Able_C&C,Consumer_Goods_&_Retail,2016,Q3,-0.052620234103508245,0.006771142983362899,0.013499386319042794,078520
32,Hyundai_Livart,Consumer_Goods_&_Retail,2016,Q3,0.0025248204267671603,-0.012951068177065483,-0.02597342702327432,079430
32,Basic_House,Consumer_Goods_&_Retail,2016,Q3,-0.029322712427961806,0.0008697504203047934,-0.028659025642085556,084870
32,Amorepacific,Consumer_Goods_&_Retail,2016,Q3,-0.09135382375339995,-0.028048668003799904,-0.05919083243126266,090430
32,LF_Corp,Consumer_Goods_&_Retail,2016,Q3,0.36867469095276006,0.02053080133207197,-0.01706066733722733,093050
32,CJ_CheilJedang,Consumer_Goods_&_Retail,2016,Q3,0.0014454880890318877,-0.011301427397757413,0.01617005865268817,097950
32,Hansea,Consumer_Goods_&_Retail,2016,Q3,-2.1993068475126116,-0.35570882614149824,-0.09290058946670743,105630
32,Youngone_Corporation,Consumer_Goods_&_Retail,2016,Q3,0.013588621488535235,-0.006151000262506479,0.020052472444646474,111770
32,Lock_&_Lock,Consumer_Goods_&_Retail,2016,Q3,0.12903767750159012,0.002580991132729138,-0.026316659414719945,115390
32,Emart,Consumer_Goods_&_Retail,2016,Q3,-0.11411624985293667,-0.013598501001148788,-0.032127652829128994,139480
32,Dong-A_ST,Consumer_Goods_&_Retail,2016,Q3,0.4773050421034737,0.028486321902537637,0.018600103794903178,170900
32,Jongkundang,Consumer_Goods_&_Retail,2016,Q3,-0.021407266845957063,-0.03367123747485046,-0.016803374216545874,185750
