접수번호,법인구분,회사코드,회사명,변동일,최대주주명,보유 주식 수,보유 지분율,변동원인,비고,결제일시,연도,분기
20160330002687,Y,00188089,한섬,2012년 02월 16일,(주)현대홈쇼핑,"8,532,763",34.64%,-,-,2015-12-31,2015,Q4
20170331003237,Y,00188089,한섬,-,-,-,-,-,-,2016-12-31,2016,Q4
20180402004053,Y,00188089,한섬,-,-,-,-,-,-,2017-12-31,2017,Q4
20190401003176,Y,00188089,한섬,-,-,-,-,-,-,2018-12-31,2018,Q4
20200330003522,Y,00188089,한섬,-,-,-,-,-,-,2019-12-31,2019,Q4
20210315000785,Y,00188089,한섬,-,-,-,-,-,-,2020-12-31,2020,Q4
20220816002184,Y,00188089,한섬,-,-,-,-,-,-,2021-12-31,2021,Q4
20230315001312,Y,00188089,한섬,-,-,-,-,-,-,2022-12-31,2022,Q4
20240315000735,Y,00188089,한섬,-,-,-,-,-,-,2023-12-31,2023,Q4
20250314000941,Y,00188089,한섬,-,-,-,-,-,-,2024-12-31,2024,Q4
