,name,year,quarter,sector,Relative Return,자본총계 변화율,소비자물가지수 변화율,전체 주식 수 변화율,특정 증권 등 소유 증감 수 변화율,이익잉여금 변화율,특정 증권 등 소유 수 변화율,영업이익 변화율,부채총계 변화율,주식 수 감소 변화율,Label,Code
9,Hyundai_Heavy_Industries,2022,Q2,중공업,0.0181929768941321,-0.0038219418497640323,-0.38636857995042173,-0.0,-0.06020249500257946,-0.003485127552436129,-0.059965654321073814,2.2586787936591475,-0.016826466356864245,-0.0,0.21939455204436575,009540
9,Samsung_Heavy Industries,2022,Q2,중공업,0.07943901702084805,0.0077304895248082595,-0.38636857995042173,-0.0,-0.04896423535097694,-0.17445928182318782,-0.04960955365090047,-2.024726470679908,-0.24471992687476707,0.0,0.2303106766798101,010140
9,Hyundai_Mipo_Dockyard,2022,Q2,중공업,0.18850417282821347,-0.020796047711511,-0.38636857995042173,-0.0,-0.05656055679955441,-0.02820541539176924,-0.05656055679955441,0.9773962538819481,-0.11241713227067307,0.0,0.3269255503063087,010620
9,Hanwha_Aerospace,2022,Q2,중공업,0.16019554659154756,-0.047315024214988455,-0.38636857995042173,-0.0,-0.05484507326543886,-0.06621665999272364,-0.05486611855519752,2.55099861172719,0.013687856235269025,-0.0,0.08537335301874524,012450
9,Hyundai_Elevator,2022,Q2,중공업,0.008879406315251942,-0.08885154486447511,-0.38636857995042173,-0.0,-0.05653755002950023,-0.34231434128123617,-0.05653755002950023,0.4305293141403742,0.06687935254949062,0.0,-0.13983712483063795,017800
9,Doosan_Heavy_Industries,2022,Q2,중공업,0.03953291373446307,0.01319349370690226,-0.38636857995042173,-0.0,-0.05599985237154703,1.53713729927401,-0.05599985237154681,0.6259258918762464,-0.026600758787651557,-0.0,0.08866670118627708,034020
9,Daewoo_Shipbuilding_&_Marine_Engineering,2022,Q2,중공업,0.14838278491178009,0.11093635988990547,-0.38636857995042173,-0.0,-0.059153060475420904,-0.11772429960604502,-0.05552491462362075,0.7729254369878945,-0.1603045154652496,-0.0,0.1237485401896847,042660
9,Doosan_Infracore,2022,Q2,중공업,0.015969341421412223,-0.03953834907863141,-0.38636857995042173,-0.0,-0.05654385333675238,-0.07899948041558336,-0.05654385333675238,0.010960921208999608,-0.06030192534342005,-0.0,-0.01978318226360637,042670
9,Hyundai_Rotem,2022,Q2,중공업,0.04848663606846709,-0.021637323332041047,-0.38636857995042173,-0.0,-0.05654359302581935,0.45464893974417486,-0.05654359302581935,0.15570622989292915,-0.049878451890205344,-0.0,0.18313488732112987,064350
9,Doosan_Engine,2022,Q2,중공업,0.17498138732360174,0.19193126280627826,-0.38636857995042173,-0.0,-0.05655315278084028,-0.2751461330921112,-0.05655315278084028,-11.980406548905714,-0.15693890803608035,-0.0,0.2806966157161916,082740
9,HHI_Heavy_Industries,2022,Q2,중공업,0.06824498717010177,0.03450619666874288,-0.38636857995042173,-0.0,-0.056531558482160404,-0.010572664651152586,-0.056531558482160404,0.10983346550356865,-0.024777408340756146,-0.0,0.050384331382168135,097230
