,name,year,quarter,sector,Relative Return,자본총계 변화율,소비자물가지수 변화율,전체 주식 수 변화율,특정 증권 등 소유 증감 수 변화율,이익잉여금 변화율,특정 증권 등 소유 수 변화율,영업이익 변화율,부채총계 변화율,주식 수 감소 변화율,Label,Code
12,Hyundai_Heavy_Industries,2021,Q3,중공업,-0.05980674552103116,-0.006712067175380421,-0.01761921683046319,-0.0,-0.07442931147537912,-0.006068808486112021,-0.07409703992612449,0.5342905507763549,-0.06894929021336105,-0.0,-0.15290815460974444,009540
12,Samsung_Heavy Industries,2021,Q3,중공업,-0.1887691731061234,-0.044645634875146945,-0.01761921683046319,-0.0,-0.07718703982626463,-0.032822346693940574,-0.0765308869189687,0.9161745138427059,-0.00943926488542468,0.0,0.06350740242061936,010140
12,Hyundai_Mipo_Dockyard,2021,Q3,중공업,0.25402816562329705,-0.020039647106479874,-0.01761921683046319,-0.0,-0.06936378841363355,-0.026832475613334683,-0.06936378841363378,1.1976433524039296,-0.11882583331677621,0.0,-0.11524504160334785,010620
12,Hanwha_Aerospace,2021,Q3,중공업,0.09676514225698299,-0.022012632179458036,-0.01761921683046319,-0.0,-0.06666508738368293,-0.031639964087302186,-0.06669812980352963,6.4485641236969515,0.007424870741902345,-0.0,0.15628696551065285,012450
12,Hyundai_Elevator,2021,Q3,중공업,0.09819654487662544,-0.01791657663870616,-0.01761921683046319,-0.0,-0.06936060675443545,-0.08236669432133881,-0.06936060675443545,0.27667062127548114,-0.005493142918962635,0.0,0.009769995990637118,017800
12,Doosan_Heavy_Industries,2021,Q3,중공업,0.7682270459420548,-0.31260098143202386,-0.01761921683046319,-0.07010308131121779,-0.07010308131121779,0.18720447695973141,-0.07010308131121779,0.35070231646586714,-0.050137961804093134,-0.0,-0.06138733987083418,034020
12,Daewoo_Shipbuilding_&_Marine_Engineering,2021,Q3,중공업,0.21488360407070106,0.018549690344634162,-0.01761921683046319,-0.0,-0.06837244781586649,-0.0737747144747467,-0.0698894342672165,0.9871579909303919,-0.0656833076665948,-0.0,-0.162687268097769,042660
12,Doosan_Infracore,2021,Q3,중공업,0.226517206542306,0.32440329951853575,-0.01761921683046319,-0.0,-0.06841533833225588,-0.061792559057201046,-0.06841533833225566,0.6951569314226984,0.43629082997175195,-0.06841533833225588,0.0,042670
12,Hyundai_Rotem,2021,Q3,중공업,0.1363261520824547,-0.0028752819385573503,-0.01761921683046319,-0.06934274941355101,-0.06934274941355123,0.028735023670310778,-0.06934274941355123,0.9330200984402639,-0.05159466257774992,-0.0,0.07973765126846208,064350
12,Doosan_Engine,2021,Q3,중공업,-0.036394997953580345,0.06493895722131171,-0.01761921683046319,-0.0,-0.06937650404628459,-0.3872564697127874,-0.06937650404628459,-3.9025079539852072,-0.12484967951510795,-0.0,-0.0838232999983393,082740
12,HHI_Heavy_Industries,2021,Q3,중공업,0.08626732855304292,-0.016846355932863988,-0.01761921683046319,-0.0,-0.06931846957480947,0.0032590860018777423,-0.06931846957480947,-7.486486486486486,0.04767814285501326,-0.0,0.25685800289313926,097230
