,name,sector,year,quarter,비유동자산변화율,영업이익변화율,부채총계변화율,Code
31,Hankook_Tire_Worldwide,Automotive_&_Parts,2016,Q4,-0.015567188232685103,0.5548453282449295,0.005041720870778699,000240
32,Kia_Corp,Automotive_&_Parts,2016,Q4,0.01572770930031897,-1.8046192461407533,-0.1928217306487494,000270
31,Nexen_Tire,Automotive_&_Parts,2016,Q4,-0.0009691722289517646,-0.06886487925322338,-0.0006660277517664959,002350
31,Korean_Air,Automotive_&_Parts,2016,Q4,0.01601375042105435,0.6087167976958334,-0.022306251541929445,003490
31,SsangYong_Motor,Automotive_&_Parts,2016,Q4,-0.019374421005802667,2.3749426512410015,-0.10214703356771171,003620
31,SEBANG_Global_Battery,Automotive_&_Parts,2016,Q4,-0.021229847970402282,-0.450461065121194,-0.12479852427171445,004490
31,Hyundai_Motor,Automotive_&_Parts,2016,Q4,-0.014980803760214378,418.708677253111,-0.2754208064226509,005380
31,Dong-A_Tire,Automotive_&_Parts,2016,Q4,0.01683749702470161,0.08521074653654503,-0.05105032799187037,007340
31,Seoyon,Automotive_&_Parts,2016,Q4,-0.11971023802495773,1.2915167096343496,-0.1835365132836484,007860
31,Seohung,Automotive_&_Parts,2016,Q4,-0.05223212943933686,0.16476358858664097,-0.006142694805829185,008490
31,Motonic,Automotive_&_Parts,2016,Q4,0.01372551046945547,2.4911977900641853,-0.04709987910940461,009680
31,Hwashin,Automotive_&_Parts,2016,Q4,-0.0656161284303507,0.22949757503660684,-0.17935771559273972,010690
32,Hyundai_Mobis,Automotive_&_Parts,2016,Q4,-0.0066700106103385615,-0.5652565450028664,-0.07045667980355441,012330
31,Hanon_Systems,Automotive_&_Parts,2016,Q4,-0.06949916240659082,0.7059271947264228,-0.16796193105561286,018880
31,Hansum,Automotive_&_Parts,2016,Q4,-0.10894740645148038,-0.9686239229013593,-0.07999211815471274,020000
31,Kumho_Tire,Automotive_&_Parts,2016,Q4,0.006354172837150451,-0.685180386636498,-0.02673042407515469,073240
31,Hyundai_Glovis,Automotive_&_Parts,2016,Q4,0.007800611247870903,-0.05136020785862527,-0.02948106859017363,086280
31,Hankook_Tire_&_Technology,Automotive_&_Parts,2016,Q4,0.04230596631813388,0.24408166626490524,0.0744316121971832,161390
