,name,sector,year,quarter,비유동자산변화율,유동자산변화율,비유동부채변화율,부채총계변화율,영업이익변화율,Relative Return,전체 주식 수변화율,전체 주주 수변화율,1인평균급여변화율,주주 수변화율,Label,Code
3,Hankook_Tire_Worldwide,Automotive_&_Parts,2023,Q4,-0.0033541373829955035,0.022634460885427976,0.0685174882926679,-0.17535549971775777,-0.6109580394485723,-0.027517578654944162,-0.4607681158520398,-0.4411320354137014,-0.18309265876448944,-0.3601246794107593,0.30465654914614015,000240
4,Kia_Corp,Automotive_&_Parts,2023,Q4,-0.02892155356854409,-0.009973745852309479,0.013074627486048707,-0.00034329717321601727,-1.1625153999471078,-0.04557076974184312,-0.10595048049132316,0.0532950822445053,-0.16121604641641252,-0.09995675731614262,0.12034427991284037,000270
3,Nexen_Tire,Automotive_&_Parts,2023,Q4,0.03292508257552562,6.176050715045456e-05,-0.023216086018659432,0.040661080594922905,0.6857348654958866,-0.02604577478793072,0.9945981558640213,0.012765703617603541,0.015495821769433538,-0.14572722359956525,-0.06821724300808832,002350
3,Korean_Air,Automotive_&_Parts,2023,Q4,-0.023367019170002168,0.03808796563150918,-0.0269622225209325,-0.03193157493396903,0.6471138660390401,-0.06878406869192599,-0.19530103339524096,-0.0635373932057941,-0.25101019271073977,-0.16579216648565742,0.0019598867665833325,003490
3,SsangYong_Motor,Automotive_&_Parts,2023,Q4,-0.08729499598610357,0.001805898690007357,-0.007443759840868092,-0.1425746141845785,2.725422325891941,0.2155718074862131,-0.17145183512883744,-0.417130426878183,0.9647242350903901,-0.41048852463125995,-0.09327457758721003,003620
3,SEBANG_Global_Battery,Automotive_&_Parts,2023,Q4,-0.09231384220244321,0.04127421880159832,0.03065214163594132,-0.00938498741586602,-0.4810001725289541,0.2571242394575228,-0.18197975693681623,-0.2829208213355232,-0.08040264132148311,-0.47193743990969894,-0.1215525702950505,004490
3,Hyundai_Motor,Automotive_&_Parts,2023,Q4,-0.016633719896874677,0.03113450921752703,0.0053564984492457945,0.00408952528795703,-0.7555986075605945,-0.03921365589319007,-0.3656169896847923,-0.3475974463721272,-0.2515843136054885,-0.6326862006228251,-0.02722121169952256,005380
3,Dong-A_Tire,Automotive_&_Parts,2023,Q4,-0.03207476096150197,-0.019513937200546394,0.23257549309140169,-0.03735884572125325,-0.22498567328907626,-0.07614992510798027,-0.1393444627316811,-0.09538151868840639,-0.03495724280122814,-0.061678456329724574,-0.19242707296044276,007340
3,Seoyon,Automotive_&_Parts,2023,Q4,-0.005495126901030156,0.06194221231242636,-0.020784548387244417,-0.031883086974875186,0.5291242064330581,-0.17144511694867964,-0.39188959143837376,-0.08348234350873085,-0.7144816449469831,-0.06784794550283735,0.06704430855696243,007860
3,Seohung,Automotive_&_Parts,2023,Q4,-0.012433443726178162,0.12362113529893515,0.7019894319655091,0.07602938990592556,0.5552615363578224,0.11258368271497393,-0.012020842322372438,-0.028986084828344083,-0.11516596849813432,-0.020383611385332845,-0.11486732696925964,008490
3,Motonic,Automotive_&_Parts,2023,Q4,-1.308483079757086,0.30383313811417334,-0.07005899793813408,0.02187529889641482,-0.9625055315802329,0.04094105691778537,-0.3070201352633255,-0.12925913174475556,-0.27751811884886957,-0.41606713871812606,-0.18045453706409342,009680
3,Hwashin,Automotive_&_Parts,2023,Q4,-0.12425188563965284,-0.010950124617986834,-0.11701413711791231,-0.14628132119650528,-2.0488192618080685,-0.25748963418925974,-0.33921309080172435,-0.8605733223286336,-0.07857231497805506,-1.0052131437086365,-0.026532628286170354,010690
4,Hyundai_Mobis,Automotive_&_Parts,2023,Q4,-0.017673370035708347,0.008563779315127973,0.035140467599083514,0.010079260884969798,0.18402640419916516,0.06980107540889191,-0.09871241392454944,-0.10280914403739883,-0.20101476068243196,-0.5466716014910658,-0.08811629607222982,012330
3,Hanon_Systems,Automotive_&_Parts,2023,Q4,-0.005075465810560065,0.057902333617362745,-0.0043769838351066515,-0.0044669984299283705,2.916228302728677,0.06373553216338404,-0.8968814394833275,-0.8968814394833275,0.16368156962525704,-0.8968814394833267,-0.33578266989168953,018880
3,Hansum,Automotive_&_Parts,2023,Q4,0.004818051178866689,0.09226563011456079,0.006034909624825113,0.24504957964380314,-2.043942261016813,-0.15931729626111338,-0.026629919955695414,-0.18014101067697585,-0.022238398072778054,-0.4170642780553828,-0.08115806862328619,020000
3,Kumho_Tire,Automotive_&_Parts,2023,Q4,-0.037713803171754545,0.007274249613607897,-0.0001456100227490431,0.021725201861749754,-1.2331086638637299,0.007259463475039141,-0.19545878736854783,-0.37174670558521994,-0.13007077370073117,-0.37703956490452617,0.059529376752962784,073240
3,Hyundai_Glovis,Automotive_&_Parts,2023,Q4,-0.016523843787425774,0.010150008265863542,0.04686057941567634,0.03606684140132499,-0.034578942547976776,-0.02460725935723492,-0.1411078944906632,0.12420121383908023,-0.39449281747681786,0.10523738412085082,-0.05631122689625531,086280
3,Hankook_Tire_&_Technology,Automotive_&_Parts,2023,Q4,-0.03047586369758415,0.04961663459613963,-0.027564227125138174,0.08819830123374461,1.1230854352435893,0.16482248868512317,-0.3030196184088916,-0.2175320629420019,-0.21918278206656305,-0.17493031325957342,0.06345859477691924,161390
