,name,sector,year,quarter,비유동자산변화율,영업이익변화율,부채총계변화율,Code
19,Hankook_Tire_Worldwide,Automotive_&_Parts,2019,Q4,0.0004228758137866384,-0.05534092518312428,0.3335355214771518,000240
20,Kia_Corp,Automotive_&_Parts,2019,Q4,-0.0006546673905734046,0.05773734549308529,-0.10049625618601388,000270
19,Nexen_Tire,Automotive_&_Parts,2019,Q4,0.004609779110223644,0.3711018383801691,0.02200622497853577,002350
19,Korean_Air,Automotive_&_Parts,2019,Q4,-0.011900668705179918,-0.032887197831132475,0.015103436611101029,003490
19,SsangYong_Motor,Automotive_&_Parts,2019,Q4,0.06822355255776047,0.0996868702621776,-0.015424235343825865,003620
19,SEBANG_Global_Battery,Automotive_&_Parts,2019,Q4,0.04003879529613241,0.266305934928899,0.08913099255447476,004490
19,Hyundai_Motor,Automotive_&_Parts,2019,Q4,-0.036197621535773106,-53.119188434368326,-0.1449094177185084,005380
19,Dong-A_Tire,Automotive_&_Parts,2019,Q4,0.007842346437961223,-0.22034041293750106,0.08292952333616477,007340
19,Seoyon,Automotive_&_Parts,2019,Q4,0.025370856614955084,0.20054436454789326,0.07504831299334513,007860
19,Seohung,Automotive_&_Parts,2019,Q4,0.006053586009644341,-0.3808577685097003,0.07677683051640649,008490
19,Motonic,Automotive_&_Parts,2019,Q4,0.0753791429366868,0.051981661264813295,-0.16806005355689102,009680
19,Hwashin,Automotive_&_Parts,2019,Q4,-0.06555051295283865,0.8798155058888147,0.13046746165644885,010690
20,Hyundai_Mobis,Automotive_&_Parts,2019,Q4,-0.0624745257270809,-0.3160631004867607,-0.18418134658440377,012330
19,Hanon_Systems,Automotive_&_Parts,2019,Q4,-0.004151558477425432,13.793386994606374,-0.06571006288211989,018880
19,Hansum,Automotive_&_Parts,2019,Q4,0.2021823808761457,-0.5288761851672517,-0.4420905653176199,020000
19,Kumho_Tire,Automotive_&_Parts,2019,Q4,-0.04783485972287305,-1.266423771014416,0.05688266219938787,073240
19,Hyundai_Glovis,Automotive_&_Parts,2019,Q4,-0.01935104965406187,0.08429633317122842,0.016511058879743135,086280
19,Hankook_Tire_&_Technology,Automotive_&_Parts,2019,Q4,-0.0029878450400535606,3.7820952015129294,0.1380505148346397,161390
