,name,sector,year,quarter,비유동자산변화율,영업이익변화율,부채총계변화율,Code
0,Hankook_Tire_Worldwide,Automotive_&_Parts,2024,Q3,-0.0008067636862647554,0.21149369319003053,0.1632169400550625,000240
1,Kia_Corp,Automotive_&_Parts,2024,Q3,-0.026831420842948983,0.49821355740338436,0.002234296481926412,000270
0,Nexen_Tire,Automotive_&_Parts,2024,Q3,0.0015277971975906635,0.6153750591883503,-0.0505763434155766,002350
0,Korean_Air,Automotive_&_Parts,2024,Q3,-0.03233988013205469,-0.49637124816425837,0.0008541964382476896,003490
0,SsangYong_Motor,Automotive_&_Parts,2024,Q3,-0.014736923864271612,4.4454950771104915,0.16633734830145686,003620
0,SEBANG_Global_Battery,Automotive_&_Parts,2024,Q3,-0.032582812141297435,0.4357559940203666,0.24263462750128129,004490
0,Hyundai_Motor,Automotive_&_Parts,2024,Q3,-0.01463280929561983,0.4052210871606756,0.09446484998943705,005380
0,Dong-A_Tire,Automotive_&_Parts,2024,Q3,-0.2557790215281788,-6.073036122295423,0.20489548160630855,007340
0,Seoyon,Automotive_&_Parts,2024,Q3,3.505923955282597e-05,6.21171963463879,-0.0931644106885916,007860
0,Seohung,Automotive_&_Parts,2024,Q3,0.0056011484433596825,0.624963373748959,0.08110889313307601,008490
0,Motonic,Automotive_&_Parts,2024,Q3,0.11215167829464023,0.03689791208867421,-0.037175157811082826,009680
0,Hwashin,Automotive_&_Parts,2024,Q3,-0.06645840949615289,1.2468559671758424,0.01649805824045325,010690
1,Hyundai_Mobis,Automotive_&_Parts,2024,Q3,-0.005434089012441801,-0.5762265963126796,0.13189727318240796,012330
0,Hanon_Systems,Automotive_&_Parts,2024,Q3,0.007163082281263833,0.3405731283304909,-0.014967841134087667,018880
0,Hansum,Automotive_&_Parts,2024,Q3,-0.0009467150721982343,-0.5387770221711836,-0.22988805766972953,020000
0,Kumho_Tire,Automotive_&_Parts,2024,Q3,0.01079022384934536,0.03844756559225848,0.015623051108071273,073240
0,Hyundai_Glovis,Automotive_&_Parts,2024,Q3,-0.07894878370956038,-0.2896014487325105,-0.033232028359637455,086280
0,Hankook_Tire_&_Technology,Automotive_&_Parts,2024,Q3,-0.010966931358160847,0.23664784352340085,-0.08725236739426911,161390
