,name,year,quarter,sector,Relative Return,비유동자산 변화율,총포괄손익 변화율,특정 증권 등 소유 수 변화율,자본총계 변화율,특정 증권 등 소유 증감 수 변화율,영업이익 변화율,전체 주주 수 변화율,영업비용 변화율,매출액 변화율,Label,Code
1,CJ_Logistics,2024,Q2,산업재,-0.14704933107852272,0.011634194010508914,0.4953580153784656,0.9996333093908849,-0.007403214419064996,1.0378683205911552,-0.15919370845548575,-0.0,7.645255796402281e-09,-0.043695626909183716,-0.1963056004878503,000120
1,Doosan_Corp,2024,Q2,산업재,0.6138203073892234,-0.006085550271659468,1.579341105920382,-0.3017047208734458,0.000517960737378087,-117.34349305358661,0.4547439021147267,-0.0,-6.569461148303246e-07,-0.12107096181874355,0.3950007047817071,000150
1,LG_International,2024,Q2,산업재,-0.1248183518385029,-0.0465708756635983,-0.21597141813959997,-0.0,-0.059429365849587024,-0.0,-60.72725208579178,-0.0,-1.136502657958827e-10,-0.1956952449012157,0.1065480375470976,001120
1,Korean_Air,2024,Q2,산업재,-0.1373777090651888,-0.01735087543720959,-0.009384795809858737,0.5731603209834386,-0.03597343002580633,-110.11111111111111,0.051926385720870605,-0.0,-6.16993091403371e-07,-0.05263683324565194,0.052124972836359036,003490
2,S&T_Heavy_Industries,2024,Q2,산업재,0.16287536263846056,-0.020651059213598222,-2.301913065778425,0.0,-0.06932868663561753,0.0,-4.349100149118882,-0.0,-3.234220763160086e-09,-0.32402685639068074,0.2719080204629476,003570
1,LS_Corp,2024,Q2,산업재,0.1722390512822818,-0.0520086698787845,-5.865402585267092,0.011593838153276304,-0.04237806548112233,1.1580183127226036,-3.3646600160532047,-0.0,0.030523255813953543,-2.581593944633626,0.2532388907229586,006260
1,LS_Electric,2024,Q2,산업재,0.28500365417898715,-0.023715506666802444,-0.3239846760804219,-0.17287303837975432,-0.07393284790227606,0.7476104031316567,-0.4808908121537474,-0.0,3.87819096563245e-09,-0.07763014523766731,1.217202008786469,010120
1,Korea_Electric_Terminal,2024,Q2,산업재,-0.2273777090651888,0.015951752605118164,-0.40210399802011265,0.012205522951337477,-0.04207012998187665,1.3284126238564942,-0.5393931977313924,-0.0,7.229752458620057e-09,-0.15326400779965832,0.08060354505184875,025540
1,Daewoo_International,2024,Q2,산업재,-0.201944744631633,-0.0037417215932531445,-0.36327164465193906,0.7008035561634467,-0.03709823603044882,0.7008035561634467,-0.3808654641364424,-0.0,4.3587688601523296e-09,-0.037192965231912956,0.23603301881337055,047050
1,Korea_Aerospace_Industries,2024,Q2,산업재,-0.01899779133499159,-0.008736469223160848,-0.34895004599644364,0.5182630600371858,-0.034261440818694755,-0.9134178426213824,-0.3849957887998614,-0.0,-4.912824438930073e-09,-0.19825893131913208,-0.0015148739069359828,047810
1,KEPCO_KPS,2024,Q2,산업재,-0.000988281889000929,0.008777307876037144,0.30108408445599033,0.012421779334324423,-0.0276968496896548,1.2228594986330301,-0.4698592630331633,-0.0,6.380995337081897e-09,-0.2771948895957279,0.04173686145272031,051600
1,Hyundai_Glovis,2024,Q2,산업재,-0.13038571673064636,-0.08520295452632065,0.3365844097738838,-0.4367816091954022,-0.03531560774011733,0.14215686274509798,-0.031413158005189956,-0.0,6.443589977121847e-10,-0.06047181791834633,0.22819264344731652,086280
