,name,year,quarter,sector,Relative Return,비유동자산 변화율,총포괄손익 변화율,특정 증권 등 소유 수 변화율,자본총계 변화율,특정 증권 등 소유 증감 수 변화율,영업이익 변화율,전체 주주 수 변화율,영업비용 변화율,매출액 변화율,Label,Code
0,CJ_Logistics,2024,Q3,산업재,-0.1963056004878503,0.006302671640738167,-2.717844087692552,-593.3849221664738,-0.02857706809806615,-839.1801801801803,-0.09502698350049466,-0.0,-5.4450921847477795e-06,0.010088860684109857,-0.1963056004878503,000120
0,Doosan_Corp,2024,Q3,산업재,0.3950007047817071,0.0026689140665191458,0.9928061009339583,-0.0,-0.0007597759747115518,-0.0,-0.5109359954514094,-0.0,6.158686351244056e-10,-0.06337635632972272,0.3950007047817071,000150
0,LG_International,2024,Q3,산업재,0.1065480375470976,-0.03415793284259494,0.45693343672427456,-645.5693333333334,-0.03046366516724719,-1892.9378356387306,-0.7486641129985223,-0.0,-1.1419569217745494e-05,0.038272590118182515,0.1065480375470976,001120
0,Korean_Air,2024,Q3,산업재,0.052124972836359036,-0.03233988013205469,0.20079318623676434,-4.534166666666667,-0.02775188395410888,1.4582051282051283,-0.49637124816425837,-0.0,2.813350174465192e-09,-0.05394705284783585,0.052124972836359036,003490
1,S&T_Heavy_Industries,2024,Q3,산업재,0.2719080204629476,-0.02484415139166729,0.5985788809788873,0.0,-0.017041432052964156,0.0,0.6791011322562474,-0.0,7.757734020461177e-10,-0.1816988099725767,0.17820330853563046,003570
0,LS_Corp,2024,Q3,산업재,0.2532388907229586,-0.005982618939186057,0.5520299890546756,0.08054362041885355,-0.00943302674145774,-5.866562191653608,0.7030805849065527,-0.0,0.012230726741892184,0.6599505404100614,0.2532388907229586,006260
0,LS_Electric,2024,Q3,산업재,1.217202008786469,-0.03201942396343882,0.16003165253928275,0.12534345966863958,-0.032644571991981675,1.5419841672807593,0.5257982180559033,-0.0,9.457147117227339e-09,0.11220890609112488,1.217202008786469,010120
0,Korea_Electric_Terminal,2024,Q3,산업재,0.08060354505184875,0.01200630737140762,0.6394669419084151,0.10531163505419938,-0.010382959442039263,-4.325171967581557,0.07009453355132511,-0.0,-2.3354826843922368e-08,0.06136229193623122,0.08060354505184875,025540
0,Daewoo_International,2024,Q3,산업재,0.23603301881337055,-0.01965727572038478,0.10087261892297072,-0.0,-0.032911021115225925,-0.0,0.01661331253035747,-0.0,1.2223534032242358e-10,-0.02435421212359179,0.23603301881337055,047050
0,Korea_Aerospace_Industries,2024,Q3,산업재,-0.0015148739069359828,-0.013606854538139368,-0.2746738126296737,-0.4243027888446216,-0.04222545641842923,0.5700000000000001,-0.07808275133762344,-0.0,2.3314849542349714e-09,-0.01987942556024569,-0.0015148739069359828,047810
0,KEPCO_KPS,2024,Q3,산업재,0.04173686145272031,-0.0003730860441761852,-0.013120176331870237,0.0835952818849437,-0.027304002391263626,-3.0688589231817742,0.4422912390528241,-0.0,-1.656016193831037e-08,0.17874074215346403,0.04173686145272031,051600
0,Hyundai_Glovis,2024,Q3,산업재,0.22819264344731652,-0.07894878370956038,-0.5930659318942126,-955.5020555555556,-0.05431274863239355,-1536.1975,-0.2896014487325105,-0.0,-9.803519665687747e-06,-0.06091103861455749,0.22819264344731652,086280
