code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
120,CJ대한통운,산업재,2024,Q3,2024-11-14,"1,577,364,565,671","5,943,069,294,471","7,520,433,860,142","2,111,632,503,388","2,021,294,629,637","4,132,927,133,025","1,143,649,958,902","3,387,506,727,117",2070065219247.0,98456837126.0,112475308327.0,95428967082.0,"114,061,720,000",95636644458.0,,,,,,,,,,,
150,두산,산업재,2024,Q3,2024-11-14,"628,889,717,915","4,310,243,353,242","4,939,133,071,157","1,151,413,619,796","782,422,888,954","1,933,836,508,750","3,201,793,112,350","3,005,296,562,407",273360425440.0,20622499314.0,-5654389198.0,-1979261117.0,"123,738,105,000",-36268291.0,,,,,,,,,,,
1120,LG상사,산업재,2024,Q3,2024-11-14,"748,705,053,113","3,650,837,298,845","4,399,542,351,958","769,460,645,545","1,018,794,169,161","1,788,254,814,706","2,233,657,471,536","2,611,287,537,252",961032769217.0,-10217076259.0,113816781175.0,96138672203.0,"193,800,000,000",77197665361.0,,,,,,,,,,,
3490,대한항공,산업재,2024,Q3,2024-11-14,"8,141,137,237,410","22,854,911,217,240","30,996,048,454,650","10,155,953,839,990","10,464,284,099,165","20,620,237,939,155","3,593,391,985,675","10,375,810,515,495",4240783367660.0,618618270680.0,380796267351.0,276556637726.0,"1,846,657,275,000",280172961832.0,,,,,,,,,,,
3570,S&T중공업,산업재,2024,Q3,2024-11-07,"545,686,766,069","507,073,447,742","1,052,760,213,811","193,798,419,076","98,447,672,786","292,246,091,862","731,497,602,093","760,514,121,949",142215607985.0,18145448786.0,22261133889.0,17290808733.0,"85,631,742,500",19461244545.0,,,,,,,,,,,
6260,LS,산업재,2024,Q3,2024-11-14,"25,111,000,000","5,888,980,000,000","5,914,091,000,000","920,570,000,000","402,663,000,000","1,323,233,000,000","4,196,054,000,000","4,590,858,000,000",69028000000.0,56510000000.0,45896000000.0,44705000000.0,"161,000,000,000",78991000000.0,,,,12518000000.0,,,,,,,
10120,LS산전,산업재,2024,Q3,2024-11-14,"1,716,519,088,449","1,419,956,974,884","3,136,476,063,333","958,099,015,578","409,196,870,794","1,367,295,886,372","1,602,306,623,040","1,769,180,176,961",717560716925.0,53252916622.0,46109269484.0,36001405180.0,"150,000,000,000",55928371891.0,,,,,,,,,,,
11200,현대상선,산업재,2024,Q3,2024-11-13,"15,931,018,000,000","13,317,694,000,000","29,248,712,000,000","2,255,569,000,000","2,866,311,000,000","5,121,880,000,000","13,076,717,000,000","24,126,832,000,000",3509843000000.0,1454765000000.0,1745044000000.0,1724821000000.0,"3,745,197,000,000",486726000000.0,,,,,,,,,,,
25540,한국단자,산업재,2024,Q3,2024-11-14,"623,895,200,811","589,790,966,721","1,213,686,167,532","270,116,877,688","69,309,270,608","339,426,148,296","831,409,839,085","874,260,019,236",301996811800.0,29561643562.0,15522514978.0,11349545535.0,"5,207,500,000",12594374521.0,,,,,,,,,,,
47050,대우인터내셔널,산업재,2024,Q3,2024-11-14,"5,473,630,375,000","7,157,519,887,000","12,631,150,262,000","4,731,636,073,000","2,142,166,571,000","6,873,802,644,000","3,031,940,293,000","5,757,347,618,000",7144090591000.0,275074417000.0,237177442000.0,182168669000.0,"879,613,940,000",183055006000.0,,,,,,,,,,,
47810,한국항공우주,산업재,2024,Q3,2024-11-14,"4,931,836,333,700","2,469,733,040,769","7,401,569,374,469","4,332,336,850,717","1,319,877,518,833","5,652,214,369,550","1,133,664,343,673","1,749,355,004,919",897215597318.0,78952065572.0,82084172020.0,70874601139.0,"487,375,535,000",70874601139.0,,,,,,,,,,,
51600,한전KPS,산업재,2024,Q3,2024-11-14,"966,199,992,828","638,453,887,548","1,604,653,880,376","264,574,204,787","54,233,727,041","318,807,931,828","1,276,845,948,548","1,285,845,948,548",348709442370.0,41198023918.0,42817420072.0,32834567946.0,"9,000,000,000",34175609919.0,,,,,,,,,,,
86280,현대글로비스,산업재,2024,Q3,2024-11-14,"6,865,844,278,936","6,397,634,880,936","13,263,479,159,872","4,028,194,027,763","2,016,555,483,784","6,044,749,511,547","7,004,801,547,918","7,218,729,648,325",5689807000387.0,360908174435.0,471923747808.0,389632904961.0,"37,500,000,000",372065149514.0,,,,,,,,,,,
