,name,year,quarter,sector,Relative Return,이익잉여금 변화율,비유동자산 변화율,유동자산 변화율,자본총계 변화율,유동부채 변화율,매출액 변화율,Label,Code
33,현대중공업,2016,Q3,중공업,0.05501709048547251,0.014306277647091692,-0.018684124051238538,-0.06299212150247746,0.01216677870341254,-0.0038576736224937846,-0.14410155159450921,0.022361074163679454,009540
33,삼성중공업,2016,Q3,중공업,0.12193879833170787,0.035464384360327283,-0.029925147737981495,-0.07820665280806727,0.02444451643638179,-0.02384730122928469,0.02133409266914743,0.09354039364304538,010140
33,현대미포조선,2016,Q3,중공업,-0.20250429185804758,0.026146615707874687,0.06673868870493549,-0.13503083290145623,0.08876328126661726,-0.13756097675391077,-0.10774243288432872,0.19791314356502815,010620
33,한화테크윈,2016,Q3,중공업,-0.1312677818950058,0.025778140064302013,0.0400474906831938,-0.051817110218927875,0.020154552732937203,-0.09485148136424848,-0.06653632181496061,-0.20105057256039613,012450
33,현대엘리베이,2016,Q3,중공업,-0.009155151601217167,-0.48510432808355175,-0.13758891282081143,0.068281248658147,-0.05379753519874919,0.03676185339377036,-0.009429024778852768,-0.11792008295116328,017800
33,두산중공업,2016,Q3,중공업,0.010496060985617686,0.0032676736547874174,0.0047021137080685005,-0.0368748233287618,-0.008418290920834903,0.0290103884010795,-0.14376614438809177,-0.2644080774698696,034020
33,대우조선해양,2016,Q3,중공업,0.0,0.03619069308672618,-0.04631981430638832,-0.16293038752778521,0.08956354949246492,-0.0833432644714952,-0.08516425256066307,0.0,042660
33,두산인프라코어,2016,Q3,중공업,0.00431737201593998,-0.02269143813014518,-0.0030542765136507555,-0.10199513480493583,0.0006142231362473716,0.05640207737078984,-0.15354132086323236,-0.02239453974757946,042670
33,현대로템,2016,Q3,중공업,-0.13135165542036203,-0.03338674060545077,-0.002880945232943688,-0.09653404177103142,-0.01309216391259893,-0.07845160009225738,-0.08122138544924729,-0.05441568706360886,064350
33,두산엔진,2016,Q3,중공업,-0.19157843471200448,-0.79488083128639,-0.22237769898490678,0.007864518808927912,-0.3285334935979234,0.04377163582901389,-0.08939559533189323,-0.24021763779439623,082740
33,한진중공업,2016,Q3,중공업,-0.1230983132457033,1.2425043946836651,-0.08536841378652704,0.03402175420493392,-0.0895797503154131,-0.09320360098933533,-0.37383881286772314,-0.2095849966133588,097230
