Variable,VIF
const,1.1451323707564942
F_유동자산 변화율,3.3908180048452494
F_비유동자산 변화율,2.148464892393681
F_자산총계 변화율,5.945215268303385
F_유동부채 변화율,4.630672667470629
F_비유동부채 변화율,1.573612638046006
F_부채총계 변화율,5.820458183564202
F_이익잉여금 변화율,1.1425092483311372
F_자본총계 변화율,1.2309449911954382
F_매출액 변화율,1.2874227416730997
F_영업이익 변화율,1.0815092320068147
F_법인세차감전 순이익 변화율,1.0204360403684776
M_소비자물가지수 변화율,1.3745448152459057
M_금리 변화율,3.1567781354456117
M_수출액 변화율,6.216090637795868
M_실업률 변화율,2.9860333574154856
M_국제유가 변화율,3.606862800965648
