,name,year,quarter,sector,Relative Return,이익잉여금 변화율,법인세차감전 순이익 변화율,매출액 변화율,비유동부채 변화율,영업이익 변화율,자본총계 변화율,Label,Code
20,현대중공업,2020,Q2,중공업,-0.23858854053110523,-0.3270127937119137,-2.367483835541111,-0.4898012858965588,0.03492897020588348,-9.321384288702554,-0.0006352981595986185,-0.02128753115102193,009540
20,삼성중공업,2020,Q2,중공업,-0.27906928607076636,-0.6470361842916243,2.4520791121027634,-0.07381164160097309,-0.1220603075849912,20.767417921177135,-0.14136482418131224,0.028380242935356813,010140
20,현대미포조선,2020,Q2,중공업,-0.22436545545779463,0.0009843260384028163,-0.9575102917563024,-0.07142930667536584,-0.017738104356887496,-0.7209131129266959,0.0005376629084876683,0.07451849768252986,010620
20,한화테크윈,2020,Q2,중공업,-0.04201156733144957,-0.005846962450656634,-1.3731066028057526,-0.26905925405609565,-0.003525368181718669,-0.5789183196387494,-0.004154089104276393,-0.037420736833222355,012450
20,현대엘리베이,2020,Q2,중공업,-0.04873438892953375,-0.35160076659918926,-1.4487260351638178,0.06611535037627858,0.8407731306490338,0.39420722977873,-0.06953112995199229,-0.16732270547993275,017800
20,두산중공업,2020,Q2,중공업,0.6418489493613662,1.2987501888258857,0.592420747395427,-0.11112005375166467,-0.06751003666770783,0.21123524033787966,-0.155986755701087,0.9345222999162852,034020
20,대우조선해양,2020,Q2,중공업,-0.1968488197883959,0.07511358181548511,-0.7837436555701467,0.004152333043158096,-0.20954362386056768,-0.7639753640540137,0.012929665159506998,-0.06758585237054981,042660
20,두산인프라코어,2020,Q2,중공업,0.03160732266512252,-0.05932489597852475,-1.2076152629745418,-0.2706156194834728,-0.1319027579807297,-0.6347774074573145,0.0012316948213142442,0.04366253655378511,042670
20,현대로템,2020,Q2,중공업,-0.1038006368438134,-0.27590085581414725,2.731945038377133,0.027189038584809033,0.02890980558511158,1.3213243079006198,0.06616427627905552,-0.04186255361283684,064350
20,두산엔진,2020,Q2,중공업,-0.20080441753425426,-0.023062075990689546,-0.9341345489728152,0.07004332091996823,0.1952121408102161,-0.32453939264963594,0.0037449553593318363,0.03457948560131711,082740
20,한진중공업,2020,Q2,중공업,0.018444099484010268,-0.052334047241468284,1.6998044328552804,0.4609549321655708,-0.22467116211661786,-0.9954101447569731,0.28040237927177114,0.13905362023490558,097230
