,name,year,quarter,sector,Relative Return,금리 변화율,이익잉여금 변화율,국제유가 변화율,자본총계 변화율,유동자산 변화율,유동부채 변화율,Label,Code
35,현대중공업,2016,Q1,중공업,-0.025308210769684588,-0.1254024221983725,0.0341930243557198,-0.22660852268380383,0.03233848141077722,-0.006060659034330729,-0.033913355872801865,0.30707160652611776,009540
35,삼성중공업,2016,Q1,중공업,-0.17209840243745703,-0.1254024221983725,0.009793807592386239,-0.22660852268380383,0.22263418421254122,0.04683388909004105,0.08498701593647784,-0.05073426959654201,010140
35,현대미포조선,2016,Q1,중공업,0.07554966713593551,-0.1254024221983725,0.04238936357171008,-0.22660852268380383,0.08153123940541218,-0.04881075279300673,-0.055963023422493596,0.12352861010544332,010620
35,한화테크윈,2016,Q1,중공업,0.2646872512391267,-0.1254024221983725,0.18881579243581714,-0.22660852268380383,-0.028899895762428573,0.1794051271989643,0.06875480592249605,0.22504868852247512,012450
35,현대엘리베이,2016,Q1,중공업,0.1041648837786755,-0.1254024221983725,-0.5760716529061932,-0.22660852268380383,-0.08836959662052801,-0.09679140077770465,-0.13299872729218876,0.016276732456174878,017800
35,두산중공업,2016,Q1,중공업,0.12122938807857961,-0.1254024221983725,-0.041317404072099606,-0.22660852268380383,-0.017608386915235474,-0.029651300593250607,0.029059695005954955,0.1378535400344948,034020
35,대우조선해양,2016,Q1,중공업,-0.04725479318978072,-0.1254024221983725,-0.12999257056266444,-0.22660852268380383,0.4244810792885192,0.0741572516063449,0.038966723803793624,-0.13829224591521272,042660
35,두산인프라코어,2016,Q1,중공업,-0.017926915823201686,-0.1254024221983725,-0.0640890043319261,-0.22660852268380383,0.008768633328532172,0.5456849258854088,0.1577095316972541,0.25712058863751125,042670
35,현대로템,2016,Q1,중공업,0.04723877900697922,-0.1254024221983725,0.018675689410943885,-0.22660852268380383,0.007072256921573095,-0.10480036081410471,-0.09473231475646093,0.3009329451592211,064350
35,두산엔진,2016,Q1,중공업,0.10576935525346814,-0.1254024221983725,-0.039872815960435126,-0.22660852268380383,-0.0028289537895305195,0.06686659508021697,0.0709480495083068,0.22535239893459713,082740
35,한진중공업,2016,Q1,중공업,0.04918942887095594,-0.1254024221983725,-0.3883767143369059,-0.22660852268380383,-0.03155650443656721,0.04731810468800246,0.05446519970560204,0.16926032076743514,097230
