주식 코드,주식 종목,시작 날짜,주식 날짜,종가,시가,주가 변화율,KOSPI 50 종가,KOSPI 50 시가,KOSPI 50 주가 변화율,시장초과수익률
035420,NAVER,2024-04-01,2015-01-02,166900,188000,-0.11223404255319148,2666.2,2628.3,0.01441996727922978,-0.12665400983242125
035420,NAVER,2024-01-01,2015-01-02,187400,222500,-0.15775280898876404,2607.13,2471.52,0.05486906842752643,-0.21262187741629046
035420,NAVER,2023-10-01,2015-01-02,224000,196000,0.14285714285714285,2483.32,2218.53,0.11935380634924925,0.023503336507893602
035420,NAVER,2023-07-01,2015-01-02,201500,182800,0.10229759299781181,2249.01,2354.61,-0.044848191420235155,0.14714578441804696
035420,NAVER,2023-04-01,2015-01-02,182800,203500,-0.10171990171990172,2337.45,2231.23,0.04760602896160405,-0.14932593068150576
035420,NAVER,2023-01-01,2015-01-02,202000,179500,0.12534818941504178,2220.92,1996.43,0.1124457156023502,0.012902473812691578
035420,NAVER,2022-10-01,2015-01-02,177500,192000,-0.07552083333333333,1983.7,1960.37,0.011900814642133963,-0.0874216479754673
035420,NAVER,2022-07-01,2015-01-02,193500,240000,-0.19375,1926.97,2096.77,-0.0809817004249393,-0.11276829957506071
035420,NAVER,2022-04-01,2015-01-02,240000,340000,-0.29411764705882354,2088.88,2503.29,-0.16554614127807799,-0.12857150578074555
035420,NAVER,2022-01-01,2015-01-02,340500,379000,-0.10158311345646438,2515.99,2777.21,-0.09405842554218091,-0.0075246879142834705
035420,NAVER,2021-10-01,2015-01-02,378500,388500,-0.02574002574002574,2755.64,2762.01,-0.002306291432688638,-0.0234337343073371
035420,NAVER,2021-07-01,2015-01-02,388000,418000,-0.07177033492822966,2771.92,3057.05,-0.09326965538672907,0.021499320458499407
035420,NAVER,2021-04-01,2015-01-02,417500,375499,0.1118538265081931,3056.06,2916.4,0.04788780688520088,0.06396601962299223
035420,NAVER,2021-01-01,2015-01-02,377000,291500,0.2933104631217839,2902.81,2725.68,0.06498561826773507,0.2283248448540488
035420,NAVER,2020-10-01,2015-01-02,292500,297500,-0.01680672268907563,2725.2,2159.46,0.26198216220721837,-0.278788884896294
035420,NAVER,2020-07-01,2015-01-02,296500,270000,0.09814814814814815,2158.75,1981.53,0.08943594091434398,0.00871220723380417
035420,NAVER,2020-04-01,2015-01-02,267000,166500,0.6036036036036037,1959.45,1629.72,0.2023230984463589,0.4012805051572448
035420,NAVER,2020-01-01,2015-01-02,170000,187500,-0.09333333333333334,1648.2,2014.65,-0.181892636438091,0.08855930310475767
035420,NAVER,2019-10-01,2015-01-02,186500,157500,0.18412698412698414,2010.91,1853.41,0.08497849909086494,0.0991484850361192
035420,NAVER,2019-07-01,2015-01-02,157000,114500,0.37117903930131,1853.6,1867.73,-0.007565333319055811,0.3787443726203658
035420,NAVER,2019-04-01,2015-01-02,114000,124000,-0.08064516129032258,1856.21,1851.95,0.002300278085261476,-0.08294543937558406
035420,NAVER,2019-01-01,2015-01-02,124000,121000,0.024793388429752067,1837.13,1732.45,0.060423100233773015,-0.03562971180402095
035420,NAVER,2018-10-01,2015-01-02,122000,143801,-0.15160534349552507,1723.22,2000.17,-0.13846323062539687,-0.013142112870128203
035420,NAVER,2018-07-01,2015-01-02,143403,153217,-0.06405294451660064,1992.62,1987.8,0.0024247912264815054,-0.06647773574308215
035420,NAVER,2018-04-01,2015-01-02,152816,156822,-0.025544885283952507,1990.06,2120.68,-0.06159345115717595,0.03604856587322344
035420,NAVER,2018-01-01,2015-01-02,158625,174447,-0.09069803436000619,2114.3,2196.95,-0.0376203372857824,-0.05307769707422379
035420,NAVER,2017-10-01,2015-01-02,174247,149611,0.16466703651469478,2191.53,2184.25,0.0033329518141239326,0.16133408470057084
035420,NAVER,2017-07-01,2015-01-02,149211,169038,-0.11729315301884784,2143.75,2077.18,0.03204825773404335,-0.1493414107528912
035420,NAVER,2017-04-01,2015-01-02,167838,171242,-0.019878300884128893,2072.82,1862.26,0.11306691869019372,-0.13294521957432262
035420,NAVER,2017-01-01,2015-01-02,171242,155820,0.09897317417533051,1856.45,1706.07,0.08814409725275055,0.010829076922579964
035420,NAVER,2016-10-01,2015-01-02,155220,176848,-0.12229711390572695,1710.64,1676.87,0.020138710812406573,-0.1424358247181335
035420,NAVER,2016-07-01,2015-01-02,176850,142801,0.23843670562531075,1661.76,1560.02,0.06521711260112051,0.17321959302419024
035420,NAVER,2016-04-01,2015-01-02,142201,129183,0.10077177337575377,1555.47,1554.44,0.0006626180489436535,0.10010915532681011
035420,NAVER,2016-01-01,2015-01-02,127580,130182,-0.01998740225223149,1557.22,1504.23,0.03522732560845084,-0.055214727860682336
