,name,year,quarter,sector,Relative Return,실업률 변화율,차입부채 변화율,전체 주주 수 변화율,영업이익 변화율,자본총계 변화율,매출액 변화율,국제유가 변화율,이익잉여금 변화율,비유동자산 변화율,Label,Code
15,DL_Holdings,2020,Q4,건설,-0.16497508699337587,-0.04166666666666674,-3.95271160776229e-14,-0.746969307415116,4.623264844103332,0.6537669268142612,3.769725790397335,-0.030879044146171264,0.005284766133762053,0.5087750210508719,-0.19171648502920763,000210
15,Hyundai_E&C,2020,Q4,건설,-0.1786277479056826,-0.04166666666666674,-2.919718172643247e-14,-0.24128081605598384,0.7013415315818894,0.01644457593814308,-0.0170598181252839,-0.030879044146171264,0.016883359446448365,-0.09368164869425133,-0.01708878316741569,000720
15,KCC,2020,Q4,건설,-0.007539469416536687,-0.04166666666666674,-1.6278988654762516e-14,0.0347086101623717,0.5857912658426405,-0.1348655265418417,0.2699189031975202,-0.030879044146171264,-0.14289642782751022,-0.11388270237631337,0.08634380928214963,002380
15,Hanil_Cement,2020,Q4,건설,-0.13006973988990403,-0.04166666666666674,4.073661337375354e-15,-0.12376487608266351,-0.2095867429693452,-0.00036575051462528485,-0.0153633670694171,-0.030879044146171264,0.0020931755732968016,0.0993465310210846,-0.022731695163885124,003300
15,Ssangyong_Cement,2020,Q4,건설,0.055967069203130104,-0.04166666666666674,-1.7107276244636322e-14,0.4092940694124523,-0.32413978627940554,0.030621387096391173,-0.2630153230649954,-0.030879044146171264,-1.5005124120780198,-0.0052721044763419656,-0.2218557259566204,003410
15,IS_Dongseo,2020,Q4,건설,0.3478757794311781,-0.04166666666666674,-3.4982745664491825e-14,-0.32558892107229775,0.3392927600064167,-0.004402410262452916,0.07939567076457088,-0.030879044146171264,-0.02180666715561852,-0.06063084333274138,0.023381933884508543,010780
15,Hyundai_Development_Company,2020,Q4,건설,0.1540174953768156,-0.04166666666666674,-1.1090581788884102e-13,-0.29150790777784796,0.178132521511697,0.02010508628118224,-0.12485207233728612,-0.030879044146171264,0.006927189660040911,0.012033849025760546,-0.21474077549515752,012630
15,Samsung_Engineering,2020,Q4,건설,-0.2318168383566778,-0.04166666666666674,-5.306011867296806e-15,-0.21551289138591456,0.2926991870476823,-0.08997948928730737,-0.049522740189647196,-0.030879044146171264,-0.49723441938669866,-0.05709908364942318,-0.0012694350677230348,028050
15,Daewoo_E&C,2020,Q4,건설,-0.2822698579924797,-0.04166666666666674,-3.065601514767128e-14,0.5872466088824077,0.16001077549114517,-0.00481597672039924,-0.07388189659185218,-0.030879044146171264,-0.5498387524184207,0.04544302739489714,0.5327525343520699,047040
15,KEPCO_E&C,2020,Q4,건설,-0.013571129477099472,-0.04166666666666674,-3.0083825811082785e-14,0.4001360174437668,0.009537541713684372,-0.02892653832307479,-0.6600171723818069,-0.030879044146171264,-0.02876245354090079,-0.011827940379599333,-0.17537542386565494,052690
15,LG_Hausys,2020,Q4,건설,-0.21571213560601232,-0.04166666666666674,-0.015333617941329702,0.1076555594872689,0.6288765564519889,0.17671333330624883,-0.0981359012134535,-0.030879044146171264,0.5367636400645187,0.14550386137848226,0.10883091270495482,108670
