Feature,Importance
P_보유 주식 수 변화율,0.2210849386455851
P_1인평균급여 변화율,0.2007004698297932
P_기초 소유 주식 수 변화율,0.16571196018830742
M_금리 변화율,0.14516644374565593
M_국제유가 변화율,0.14079109697827477
P_증자주식수 변화율,0.12654509061238345
