,name,sector,year,quarter,유동자산변화율,자본총계변화율,부채총계변화율,비유동자산변화율,영업이익변화율,Relative Return,전체 주주 수변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,전체 주식 수변화율,Label,Code
29,SK_Telecom,통신,2017,Q2,0.05072632255985299,-0.026762935124215348,0.06489871949743153,0.006305445592696524,-0.05223534124115825,0.04320214324261827,0.09903329971031327,0.09454486866214251,-0.041854509770865356,0.13683293082374492,-0.053972917436697555,017670
29,KT_Corp,통신,2017,Q2,0.12171140455115892,-0.014543862831586596,0.07673748801537106,0.012931828436598902,0.05485963696566254,0.0032361568480604452,0.032821908289253465,0.0401856158567937,0.030016436723660833,0.03277582602960827,-0.08711193030165013,030200
29,LG_Uplus,통신,2017,Q2,0.014869792882610922,-0.02863303639401149,0.038375658925872136,0.010244452672388937,-0.009376408859387508,0.15629738133785637,0.01248202246431196,0.010987708469568536,0.007197796618909957,0.011961015207274217,-0.024122884918238552,032640
