,name,year,quarter,sector,Relative Return,비유동자산 변화율,자산총계 변화율,자본총계 변화율,금리 변화율,매출액 변화율,유동부채 변화율,Label,Code
34,CJ대한통운,2016,Q2,산업재,0.01766947210532885,0.02123052910440415,0.03525586305541939,0.003068175794052719,-0.08606485539000996,0.04894826656765083,-0.07611133978845541,-0.10884308667554576,000120
34,두산,2016,Q2,산업재,0.1182472760576911,0.018185832399669977,0.0006988699790237973,0.05403127463360091,-0.08606485539000996,0.31833129582735653,-0.11769066062872036,0.010615777412827014,000150
34,LG상사,2016,Q2,산업재,-0.09240016577767951,0.058116076750714285,0.004157638357861204,0.0010706903796626754,-0.08606485539000996,-0.06527085368019758,-0.26373037882277706,-0.10499041889703539,001120
34,대한항공,2016,Q2,산업재,-0.038559668537284805,0.035012638592880174,0.03843233401053747,-0.11393014736256701,-0.08606485539000996,-0.015753990114095062,0.052509985497505296,-0.028690139370241032,003490
34,S&T중공업,2016,Q2,산업재,-0.11468788997026425,-0.007500700445564279,0.010656638782516437,-0.0017599687820859522,-0.08606485539000996,0.14906974700217135,0.0836712305143843,-0.07835715774132139,003570
34,LS,2016,Q2,산업재,0.0594178923702119,0.008259044757631395,-0.0037453924567822927,0.008508711048629714,-0.08606485539000996,-0.033724436287362325,-0.2592356202488235,0.13213228635192797,006260
34,LS산전,2016,Q2,산업재,-0.15865008329183045,0.0019008052801472441,-0.030464265826102732,0.0170087231937468,-0.08606485539000996,0.0695222177910706,-0.0015813616656007445,-0.0692098982491852,010120
34,현대상선,2016,Q2,산업재,-0.4646852423165565,-0.17330705381040068,-0.135774335444238,1.7859911009042628,-0.08606485539000996,-0.1704277427168993,-0.24739512637855277,0.23826805472105386,011200
34,한국단자,2016,Q2,산업재,-0.11560638996363667,0.012736291395906374,0.020985023926380242,0.026100560687454477,-0.08606485539000996,-0.005253247920785076,-0.008815771369399483,-0.1124331605324087,025540
34,대우인터내셔널,2016,Q2,산업재,-0.12234048035172608,-0.005672456441746854,-0.05287647333989942,0.018115754562503028,-0.08606485539000996,-0.03612454308294133,-0.11374932917290714,0.08085533832688312,047050
34,한국항공우주,2016,Q2,산업재,0.18112626222878564,0.0065111409566311895,0.025984182683759238,0.056520260457911364,-0.08606485539000996,0.12771550601960335,-0.2063632548467037,-0.12054811873481577,047810
34,한전KPS,2016,Q2,산업재,-0.1052709072984652,0.01077377878575314,-0.011750897003772187,0.03284239863528726,-0.08606485539000996,0.3140886720550413,-0.24589573308591828,-0.198087937934127,051600
34,현대글로비스,2016,Q2,산업재,-0.15896171828104827,0.01306518272113899,-0.020161978122935298,0.023805870619642455,-0.08606485539000996,0.004404434555041803,-0.09032364033938045,-0.045976701927484785,086280
