code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익
17800,Hyundai_Elevator,기계·장비,2023,Q2,"822,743,637,763","1,597,038,430,673","2,419,782,068,436","743,087,886,940","341,377,658,714","1,084,465,545,654","606,769,208,453","1,335,316,522,782",475053264173.0,22607240857.0,36136567150.0,26231521247.0,26231521247.0,"212,235,955,000",
18880,Hanon_Systems,기계·장비,2023,Q2,"1,625,970,957,783","5,183,684,092,211","6,809,655,049,994","1,752,969,566,126","2,367,199,706,077","4,120,169,272,203","2,274,843,565,728","2,689,485,777,791",890022585686.0,62986970169.0,101748453539.0,95825622412.0,95825622412.0,"53,380,000,000",
34020,Doosan_Heavy_Industries,기계·장비,2023,Q2,"4,377,781,434,704","9,768,162,679,373","14,145,944,114,077","6,336,493,853,368","1,560,075,586,479","7,896,569,439,847","239,147,354,950","6,249,374,674,230",1615492619485.0,103393808801.0,91398113491.0,83267946312.0,83267946312.0,"3,267,326,780,000",
42670,Doosan_Infracore,기계·장비,2023,Q2,"1,977,808,980,086","2,061,098,564,769","4,038,907,544,855","1,290,180,471,703","1,044,555,675,204","2,334,736,146,907","1,307,581,741,831","1,704,171,397,948",1211711725532.0,153671641951.0,147706410139.0,110166182028.0,110166182028.0,"199,603,453,000",
42700,Hanmi_Semiconductor,기계·장비,2023,Q2,"254,341,820,348","355,833,431,380","610,175,251,728","42,786,523,385","37,075,583,444","79,862,106,829","460,515,206,333","530,313,144,899",48431109743.0,11695275350.0,41565825988.0,34116615897.0,34116615897.0,"12,716,420,500",
82740,Doosan_Engine,기계·장비,2023,Q2,"552,402,066,013","477,828,770,326","1,030,230,836,339","518,514,550,166","284,381,979,838","802,896,530,004","-141,017,740,168","227,334,306,335",189045667814.0,3473368334.0,643097133.0,459958468.0,459958468.0,"71,543,994,000",
