Variable,VIF
const,1.1761691331620252
F_유동자산 변화율,1.1004430751002843
F_비유동자산 변화율,1.663919622367592
F_자산총계 변화율,2.130632479628655
F_유동부채 변화율,2.1422968762920718
F_비유동부채 변화율,1.0556611297094012
F_부채총계 변화율,2.4773768837417
F_이익잉여금 변화율,1.0460245598058682
F_자본총계 변화율,2.0033643579978775
F_매출액 변화율,1.0432176339443069
F_영업이익 변화율,1.007259866524853
F_법인세차감전 순이익 변화율,1.0888093417493505
F_당기순이익(손실) 변화율,1.1206835446714178
M_소비자물가지수 변화율,1.3069727726902591
M_금리 변화율,2.910863780906982
M_수출액 변화율,5.771392300188916
M_실업률 변화율,2.652274545668934
M_국제유가 변화율,3.3566485763790306
