,name,year,quarter,sector,Relative Return,비유동자산 변화율,영업이익 변화율,부채총계 변화율,매출액 변화율,비유동부채 변화율,유동부채 변화율,Label,Code
9,SK하이닉스,2022,Q3,정보기술,0.018244489357871683,-0.050520866822916344,-0.46007137224326233,0.09423444185320529,-0.19942208186377564,0.10693399417035399,0.07764549780850194,-0.06558485737004023,000660
9,한화,2022,Q3,에너지_화학,-0.034910876485036345,-0.0013753316884543842,2.160412601059381,0.029838781758767086,-0.03951173868662805,-0.02824601545351768,0.07002652483919136,-0.09438276253879038,000880
9,한국쉘석유,2022,Q3,에너지_화학,0.034814523891978075,0.000285735006552823,-0.3239116876667799,-0.15142448346938664,-0.09720802903509329,0.08006487900060688,-0.16561338328430197,-0.0524320506630917,002960
9,태광산업,2022,Q3,에너지_화학,-0.15702609939161882,-0.013412538664462792,23.745655810082592,-0.044313066698677406,-0.07526682353546499,0.016308901306610002,-0.07604417162950705,0.009630385088680204,003240
9,LG,2022,Q3,정보기술,0.008850001702514463,-0.009447877491376655,1.0529316717122001,-0.04141462480857583,0.394887910130153,0.025255252510986814,-0.08298069602059366,0.0874591078198696,003550
9,삼성정밀화학,2022,Q3,에너지_화학,-0.10260207148868916,0.03297100727200375,-0.07360055749788275,-0.21519550911943486,-0.08505280841499374,-0.08638763375650971,-0.22075255988586562,-0.06534121790937883,004000
9,한솔테크닉스,2022,Q3,정보기술,-0.097940256742077,-0.003402260033873672,7.747407842578955,0.046996303918879434,0.1418617969453535,-0.10517776922963296,0.19960738863487082,0.02803631937489633,004710
9,효성,2022,Q3,에너지_화학,-0.0164169322954114,0.010668273806867967,-2.2695067843133554,-0.026248342844897743,-0.39985876896421424,0.0065325285198210015,-0.08691086213220611,-0.05643894006186301,004800
9,삼성전자,2022,Q3,정보기술,0.06849592142748558,0.023518305001695605,-0.3670505738921168,-0.019497628360503727,-0.08407467107475541,0.08188788469589792,-0.02906165728310628,-0.014620187333024896,005930
9,SK케미칼,2022,Q3,에너지_화학,-0.1307915082456566,0.05709861655558823,-3.2277047542665382,-0.039156618969123036,0.027795482872390087,-0.3197025091652316,0.1771068135263112,0.03652668273257083,006120
9,삼성SDI,2022,Q3,정보기술,0.20520521263200125,-0.01489565018650607,0.8980313090319407,0.03810298535573997,0.11490183005847254,-0.11807114305533595,0.09562265777321755,0.050360961251584783,006400
9,대한유화,2022,Q3,에너지_화학,0.08328835955401884,0.06280881411905148,0.37894913846028655,-0.22586214021579554,-0.31820071700109187,-0.12013371289165897,-0.26841112993023064,0.20518004141177604,006650
9,국도화학,2022,Q3,에너지_화학,-0.11457694174271812,0.1707735604343006,-0.5765640936081425,0.011806192378022606,-0.17752972468187134,0.09037319907412433,-0.004027296515821677,0.0366671962723125,007690
9,대덕전자,2022,Q3,정보기술,-0.026069642493352158,0.07338747226762043,-2.5422916180220776,0.15954371196497186,0.1657803128645019,-0.032065489151147375,0.1692787086291494,0.07393474034507283,008060
9,삼성전기,2022,Q3,정보기술,0.05048714975937685,0.020066650376263206,0.26925520581631446,0.17295195828772503,-0.09483403269745994,0.18984803738861333,0.17161970442723562,0.08820273536102646,009150
9,한화케미칼,2022,Q3,에너지_화학,0.11937637178730293,0.020191809712411413,1.26942788193859,0.05477521539426444,0.15441458674367103,-0.001983471860313335,0.10460118654076989,-0.1473234003091938,009830
9,OCI,2022,Q3,에너지_화학,-0.15596350108731077,0.0008051673412075022,0.31484699113555115,0.0005812290897526662,0.09912274476828431,-0.10748703318440889,0.08742227489580112,-0.05636970465540751,010060
9,S-Oil,2022,Q3,에너지_화학,0.04011318165545789,0.0019895780185310574,-0.7030724773744221,0.07056058459999615,-0.025985614608989294,-0.14933123361755474,0.15766006816974665,-0.11698942330035286,010950
9,LG이노텍,2022,Q3,정보기술,-0.06735454673621392,0.03773469874045543,0.6568654051253862,0.5469659519160457,0.4647595657057184,-0.040909048820359284,0.8135297809843769,-0.07709220687362783,011070
9,롯데케미칼,2022,Q3,에너지_화학,-0.0429830057868965,0.055304467098004295,14.398458730538351,0.1734900510230981,-0.005686633473179548,0.12598602478241916,0.20542379139391942,0.07556030412620193,011170
9,금호석유,2022,Q3,에너지_화학,0.12512279623617856,-0.008344799368102507,-0.24088167001384064,-0.12678292294939497,-0.15271981819307678,0.2613705622179945,-0.180341665659698,0.0199229160207485,011780
9,SKC,2022,Q3,에너지_화학,-0.17547457532893496,-0.31942181125664426,-0.31771389742795586,0.0122812641867025,-0.9717882451028904,-0.13845099595658483,0.09966280256115412,-0.08949755266928017,011790
9,한솔케미칼,2022,Q3,에너지_화학,-0.02660831762067973,0.0120774796815315,-0.29472189828788,-0.026383759849349375,-0.06564490509792986,0.004230987642855455,-0.09277965088039741,-8.921347989637035e-05,014680
9,동원시스템즈,2022,Q3,에너지_화학,-0.1626975739750105,0.00978533293216488,-0.2736595516772401,-0.12935676660572126,0.01702904263904159,0.03696361522784497,-0.2238437358717701,-0.1384377264475745,014820
9,유니드,2022,Q3,에너지_화학,-0.1632928890878599,-0.008230133032401166,0.20335001890930848,0.5219164682811914,0.15467425153300085,-0.11669646537237177,0.6288120527807548,0.0,014830
9,삼성에스디에스,2022,Q3,정보기술,-0.015783165487627027,0.05754591072450865,-0.7208140474400233,0.1485643510867123,-0.014020015926967555,0.20652347554172712,0.12464151825424952,-0.016487149282385566,018260
9,일진머티리얼즈,2022,Q3,정보기술,-0.13890717483604603,-0.0037546727479180753,-0.4689633207187994,-0.09475764095526007,-0.10186124257779017,0.0041075203731750776,-0.34469503778995103,0.04704875107561876,020150
