,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,실업률 변화율,기말 소유주식 수 변화율,소비자물가지수 변화율,유통주식수 변화율,Label,Code
4,CJ대한통운,2023,Q4,산업재,0.45385138144132386,-0.05677172046829948,0.00757180156657955,0.0625,0.0001418389883083293,0.10965773361610065,1.2083296732523507e-05,-0.09066596150247212,000120
4,두산,2023,Q4,산업재,0.7618153709008032,0.15566016883951872,0.00757180156657955,0.0625,0.16802218756521414,0.10965773361610065,0.0,0.10206862428119036,000150
4,LG상사,2023,Q4,산업재,-0.19492066041087908,0.06321888657972607,0.00757180156657955,0.0625,-0.001776506406251377,0.10965773361610065,0.0,0.06799306689519649,001120
4,대한항공,2023,Q4,산업재,-0.06269085546436148,0.007981430060817196,0.00757180156657955,0.0625,-0.09534772107964395,0.10965773361610065,-5.415190629243227e-09,-0.037283942385047716,003490
4,S&T중공업,2023,Q4,산업재,0.17628129866075112,-0.012793968875875139,0.00757180156657955,0.0625,0.0,0.10965773361610065,0.0,-0.09528477142670433,003570
4,LS,2023,Q4,산업재,0.2954907408760818,0.024168575177454743,0.00757180156657955,0.0625,0.016113968614175134,0.10965773361610065,-0.000881143742422652,0.37648445993258495,006260
4,LS산전,2023,Q4,산업재,0.1289886933733804,0.04442064414416946,0.00757180156657955,0.0625,-8.734230597662318e-07,0.10965773361610065,0.0,1.1140461433752105,010120
4,현대상선,2023,Q4,산업재,-0.14033108180328285,-0.008154428615545939,0.00757180156657955,0.0625,0.9881491568068896,0.10965773361610065,0.40896492335661994,0.14795358872219788,011200
4,한국단자,2023,Q4,산업재,-0.21019469644483962,-0.028675247916040036,0.00757180156657955,0.0625,0.0,0.10965773361610065,0.0,-0.015590539087038785,025540
4,대우인터내셔널,2023,Q4,산업재,-0.0936546734822794,0.22447203112445457,0.00757180156657955,0.0625,1.8022218882534786,0.10965773361610065,0.3793869400817227,-0.24271090067905848,047050
4,한국항공우주,2023,Q4,산업재,-0.0018145060863817286,-0.1159183627996303,0.00757180156657955,0.0625,0.0,0.10965773361610065,0.0,0.04946272448238216,047810
4,한전KPS,2023,Q4,산업재,-0.044531378325202944,0.05117952248785995,0.00757180156657955,0.0625,0.0,0.10965773361610065,0.0,-0.03023632796750363,051600
4,현대글로비스,2023,Q4,산업재,-0.019511142011394506,-0.016344966349625345,0.00757180156657955,0.0625,0.1429782252404157,0.10965773361610065,0.0,-0.029745857766283784,086280
