,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,실업률 변화율,기말 소유주식 수 변화율,소비자물가지수 변화율,유통주식수 변화율,Label,Code
21,CJ대한통운,2019,Q3,산업재,0.013238908120392273,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.012301943884613586,000120
21,두산,2019,Q3,산업재,-0.1135768162663077,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.2979587451550505,000150
21,LG상사,2019,Q3,산업재,-0.14225060387512825,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.2911200836905169,001120
21,대한항공,2019,Q3,산업재,0.025140861976313933,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.1087596196296142,003490
21,S&T중공업,2019,Q3,산업재,-0.12905589489096198,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,0.037368526319802337,003570
21,LS,2019,Q3,산업재,0.06602178898043175,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.2392233589271565,006260
21,LS산전,2019,Q3,산업재,0.030747183579599116,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.18167880305954145,010120
21,현대상선,2019,Q3,산업재,-0.04180474946374182,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.03853545725645083,011200
21,한국단자,2019,Q3,산업재,-0.3661595562443917,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.28201623370976314,025540
21,대우인터내셔널,2019,Q3,산업재,-0.0314484796623951,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.2579080727714995,047050
21,한국항공우주,2019,Q3,산업재,-0.11891766769815537,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.27274543248236127,047810
21,한전KPS,2019,Q3,산업재,-0.03653392241118429,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,0.08113376551161337,051600
21,현대글로비스,2019,Q3,산업재,-0.11566459207068017,0.0,-0.21649484536082508,-0.05084745762711873,0.0,-0.9303677156060576,0.0,-0.24324388512739695,086280
