,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,금리 변화율,실업률 변화율,기말 소유주식 수 변화율,소비자물가지수 변화율,유통주식수 변화율,Label,Code
3,CJ대한통운,2024,Q1,산업재,-0.09066596150247212,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,-0.1259301080721996,000120
3,두산,2024,Q1,산업재,0.10206862428119036,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,-0.0455161477199009,000150
3,LG상사,2024,Q1,산업재,0.06799306689519649,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,0.06237257237707773,001120
3,대한항공,2024,Q1,산업재,-0.037283942385047716,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,-0.017479234017668807,003490
3,S&T중공업,2024,Q1,산업재,-0.09528477142670433,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,0.4689799638747659,003570
3,LS,2024,Q1,산업재,0.37648445993258495,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,-0.23381056685538884,006260
3,LS산전,2024,Q1,산업재,1.1140461433752105,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,0.009497192626590809,010120
3,현대상선,2024,Q1,산업재,0.14795358872219788,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,-0.010078659241433162,011200
3,한국단자,2024,Q1,산업재,-0.015590539087038785,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,0.07311816833167689,025540
3,대우인터내셔널,2024,Q1,산업재,-0.24271090067905848,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,0.10690412009333883,047050
3,한국항공우주,2024,Q1,산업재,0.04946272448238216,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,0.07204050007779231,047810
3,한전KPS,2024,Q1,산업재,-0.03023632796750363,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,0.18746284167932897,051600
3,현대글로비스,2024,Q1,산업재,-0.029745857766283784,0.0,-0.12136131985833976,-0.011764705882352788,0.0,-0.11265192787422551,0.0,0.20362637743797762,086280
