code
50
240
270
1740
2350
3200
3620
4150
4170
4490
4700
5380
5850
7340
7860
8770
9240
9680
10690
11200
11210
12330
12750
18880
19680
20000
21240
23530
28260
33530
35250
60980
64960
69960
73240
79430
84870
93050
105630
111770
114090
161390
