,name,year,quarter,sector,Relative Return,자산총계 변화율,비유동자산 변화율,자본총계 변화율,비유동부채 변화율,영업이익 변화율,유동부채 변화율,Label,Code
12,CJ대한통운,2021,Q4,산업재,0.03823905401086618,-0.021716395343984063,-0.0008698663939948892,0.0012331682735899907,-0.021633063865422186,0.04998913937171445,-0.06760708974778673,0.020972223829352588,000120
12,두산,2021,Q4,산업재,-0.04979934996693024,1.3633517968791864e-05,0.052358933107452765,-0.016099854476457676,-0.19401880024717888,-2.3179010128955255,0.15522967752900718,-0.2643159535326171,000150
12,LG상사,2021,Q4,산업재,0.22057431134612354,-0.031241124541878218,0.014081025284972792,0.06296833133230462,-0.04745486482739758,0.7860926788122049,-0.19420966029985554,0.2859988574797939,001120
12,대한항공,2021,Q4,산업재,0.02508918020116732,0.022919639765886624,-0.022019473850831583,0.07007614470650614,-0.01487969078285356,0.60610578922734,0.039274578833098595,0.03388881178450802,003490
12,S&T중공업,2021,Q4,산업재,-0.056292676079695354,-0.019012761396404176,-0.006222020552674956,0.01019850744949835,-0.06704367157758606,1.7673549898563712,-0.12644390753412782,0.16440219473170126,003570
12,LS,2021,Q4,산업재,-0.03695878846085213,0.013333135473771351,0.008636772116620506,0.014714604480987603,-0.016818887141622274,0.4632928739232576,0.033356172916407134,0.2003284681564553,006260
12,LS산전,2021,Q4,산업재,-0.15157707045872365,0.010101874606004868,0.01770385544556352,0.032947524506813375,-0.14659739938425664,0.33792687381782494,0.10247343459759972,0.11944724005258425,010120
12,현대상선,2021,Q4,산업재,0.29671968659720305,0.16434455714751173,0.2281118658163328,0.35521070401400534,-0.04550007551348678,0.19272683936634616,0.006846126484092441,-0.02300910138938067,011200
12,한국단자,2021,Q4,산업재,-0.09355461139944468,0.011338594094937315,0.00717166647094869,0.005334311989761309,0.05352566057168118,-0.25907101368114704,0.02583193747574919,0.17786804081004914,025540
12,대우인터내셔널,2021,Q4,산업재,0.18716245551818023,-0.07398204743095815,0.010221185338397332,0.00495205009497468,-0.028054410034421884,-0.22121557632413424,-0.13328787930272923,0.111086237738412,047050
12,한국항공우주,2021,Q4,산업재,0.4031162344422362,0.04805807228335057,0.054072490529191386,-0.01287143510480293,-0.02895691884551621,-2.650246166844692,0.13637747066377415,0.2239117087114364,047810
12,한전KPS,2021,Q4,산업재,0.020848768122258124,0.010653888119987132,0.04417942203438874,-0.0016418876503792035,-0.06494711609369375,-0.9422390075648499,0.08178803048414784,-0.0817470035416579,051600
12,현대글로비스,2021,Q4,산업재,0.15844896954791807,0.01685673462537296,-0.012517598029217036,0.04116793444229527,-0.03518746937535533,0.12186743384490972,0.014842667554208377,0.2762352845826353,086280
