,name,year,quarter,sector,Relative Return,보유 주식 수 변화율,소비자물가지수 변화율,금리 변화율,자기주식수 변화율,국제유가 변화율,주식액면가액 변화율,Label,Code
7,한화,2023,Q1,에너지_화학,0.036252798260019405,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.01279572273054784,000880
7,한국쉘석유,2023,Q1,에너지_화학,-0.05177408928035748,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.09338967191245653,002960
7,태광산업,2023,Q1,에너지_화학,-0.07101088696543104,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.15095545202413502,003240
7,삼성정밀화학,2023,Q1,에너지_화학,0.08857069167211663,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.036391422563455525,004000
7,효성,2023,Q1,에너지_화학,-0.01168097635031631,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.10970465047223199,004800
7,SK케미칼,2023,Q1,에너지_화학,0.06870581589392949,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,0.10815352603681631,006120
7,대한유화,2023,Q1,에너지_화학,-0.1975938177386253,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.08681563459606115,006650
7,국도화학,2023,Q1,에너지_화학,-0.06171496759203285,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,0.12116965380782872,007690
7,한화케미칼,2023,Q1,에너지_화학,0.0,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.2280743733857604,009830
7,OCI,2023,Q1,에너지_화학,0.19513661772793411,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,0.0,010060
7,S-Oil,2023,Q1,에너지_화학,-0.105243000952106,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,0.046751974265665366,010950
7,롯데케미칼,2023,Q1,에너지_화학,-0.015133810228318691,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.25414156388623677,011170
7,금호석유,2023,Q1,에너지_화학,-0.13991940004791373,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.09908015032564269,011780
7,SKC,2023,Q1,에너지_화학,-0.10057633428543933,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,0.06915617501024422,011790
7,한솔케미칼,2023,Q1,에너지_화학,0.01637658282379737,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.16692129165087075,014680
7,동원시스템즈,2023,Q1,에너지_화학,0.006889979758286119,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.1522336995943268,014820
7,유니드,2023,Q1,에너지_화학,-0.286849925909164,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.13226425763426072,014830
7,남해화학,2023,Q1,에너지_화학,-0.04513299901708809,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.13154500926763235,025860
7,LG화학,2023,Q1,에너지_화학,-0.0472218674266497,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.14147697958152422,051910
7,휴켐스,2023,Q1,에너지_화학,0.12884360917004642,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.05408836186878842,069260
7,GS,2023,Q1,에너지_화학,-0.04019605451713219,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.06475395302776282,078930
7,휴비스,2023,Q1,에너지_화학,-0.013554355811930902,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.11190420769319956,079980
7,후성,2023,Q1,에너지_화학,-0.028302913971210198,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,-0.09901612818090144,093370
7,SK이노베이션,2023,Q1,에너지_화학,0.0803272153507631,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,-0.06497623491790694,0.03912453632181512,096770
7,코오롱인더,2023,Q1,에너지_화학,0.007215744922481462,0.0,-0.11353477832962133,-0.12061758935426237,0.0,-0.08337411073888668,0.0,0.2216512831016258,120110
