,name,sector,year,quarter,Relative Return,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Label,Code
1,Kyungbang,Materials_&_Chemicals,2024,Q2,-0.10196689696707023,-0.010040417110154465,-0.009816867442777433,0.06174044028547543,1.072073544036643,-0.0059666249228822466,-0.08954614631205246,000050
1,Hite_Jinro,Consumer_Goods_&_Retail,2024,Q2,-0.14439525292483796,-0.0360659600032629,-0.24580088480732942,-0.0952911325626229,-0.5940087497274638,-0.00016175982469013306,0.02482612226164639,000080
1,Yuhan_Corporation,Healthcare,2024,Q2,0.06376366180384421,-0.009427923683566819,-0.012744224911674484,-0.18811249781168504,-1.5612947115842926,0.006281401579499746,0.031086916734876097,000100
1,CJ_Logistics,Trading_&_Logistics,2024,Q2,-0.14704933107852272,-0.007403214419064996,-0.04011825410384584,-0.043695626909183716,-0.15919370845548575,0.011634194010508914,-0.1963056004878503,000120
1,Doosan_Corp,Conglomerate,2024,Q2,0.6138203073892234,0.000517960737378087,0.0012274237844323022,-0.12107096181874355,0.4547439021147267,-0.006085550271659468,0.3950007047817071,000150
1,DL_Holdings,Conglomerate,2024,Q2,-0.009477761175663027,-0.0008048396014757042,-0.0004414926622158255,0.03347821246029781,0.1408770941064056,0.0016719761976460301,0.0899010286286876,000210
1,Ildong_Pharmaceutical,Healthcare,2024,Q2,-0.1710619195915046,0.25592133840786135,0.9954333847029359,0.0027440259399750255,0.8471436253157808,0.15030499699250888,-0.1998470803527327,000230
1,Hankook_Tire_Worldwide,Automotive_&_Parts,2024,Q2,-0.021441829443404163,-0.00820253191157283,-0.025033046602766174,0.16682008269465975,0.5864374393174976,0.016497515125220352,-0.07387712221035195,000240
2,Kia_Corp,Automotive_&_Parts,2024,Q2,0.062069393539808525,-0.06884467729275645,-0.0689132388565008,-0.06070710412465741,-0.18670865758034227,-0.04971047852352117,0.14907469454899233,000270
2,Chosun_Refractories,Materials_&_Chemicals,2024,Q2,-0.11865024524434639,-0.0014117044960986203,0.008217002768979631,-1.9151439177056715,-18.007641061515848,-0.011264174950705641,-0.005308419199089465,000480
1,Dong-A_Socio_Holdings,Conglomerate,2024,Q2,0.11725491209166372,0.010184083553325451,0.015986620400102125,0.9171846233844838,1.1463868187413606,-0.00014498803666929128,-0.13934054440502028,000640
1,S_hynix,Technology,2024,Q2,0.25888797303555333,-0.06713922790504001,-0.07474399103729734,-0.30875638193665944,-0.7073417738972172,-0.004985846139632155,0.25193627962931453,000660
1,Youngpoong,Materials_&_Chemicals,2024,Q2,-0.12738229748597135,-0.003647045115084957,-0.0033656630800080745,0.08148975058864272,1.942403995099279,2.1639199955125754e-05,-0.30614620216875343,000670
1,Hyundai_E&C,Construction_&_Real_Estate,2024,Q2,-0.09454018046106982,-0.024963889091416558,-0.020975820109975896,-0.03668679085043358,0.20173636489342783,-0.037989151914656016,-0.04709773048671467,000720
1,Hanwha_Corp,Conglomerate,2024,Q2,0.0035189770946552276,0.06657711051794535,0.02161412988362743,0.05805450155225944,1.118314168735572,0.0027387968531801254,-0.03332406088853676,000880
1,CJ_Corp,Conglomerate,2024,Q2,0.33569021716063213,-0.05183220014249712,-0.0833451866729138,0.2934323107426755,0.6213239832164139,-0.04897929944839419,-0.06984132382824709,001040
1,LG_International,Conglomerate,2024,Q2,-0.1248183518385029,-0.059429365849587024,-0.0446083290727759,-0.1956952449012157,-60.72725208579178,-0.0465708756635983,0.1065480375470976,001120
1,Dongkuk_Steel,Materials_&_Chemicals,2024,Q2,-0.12053800159606043,0.00035732066878602087,-0.0004821933912808607,0.7519814912826384,1.0233325526365897,0.00792481214300722,0.01620719121309478,001230
1,SeAH_Besteel,Materials_&_Chemicals,2024,Q2,-0.12044967469354542,-0.0013337749132982246,-0.0020168437016854224,0.9544491535315431,1.0033261765019588,-0.00178240605387181,-0.10874426431749293,001430
1,Daesang,Consumer_Goods_&_Retail,2024,Q2,-0.11612216055536004,-0.01786116760758616,-0.020950335689395194,-0.00031224785558281454,0.22071692726924352,-0.007073145785054358,0.4341903834300313,001680
1,SK_Networks,Consumer_Services,2024,Q2,-0.0231873551315743,-0.0007799562396233473,-0.0038126071224529046,0.2476136261081453,0.40646137415450334,0.2245943620282208,-0.20073884948976603,001740
1,Orion_Corp,Agriculture_&_Food,2024,Q2,-0.08621009326483335,-0.00017266688949968412,0.08220392705451751,0.7899815470531018,0.9343777045908297,-0.0010536108177958692,0.06111834999611367,001800
