,name,sector,year,quarter,Relative Return,자본총계변화율,이익잉여금변화율,매출액변화율,영업이익변화율,비유동자산변화율,Label,Code
19,Kyungbang,Materials_&_Chemicals,2019,Q4,-0.04506360504071451,0.0020520354134663243,-0.0006663466699976528,-0.15239925496622964,-0.7372091244158621,0.09671535867520908,-0.13606678917383533,000050
19,Hite_Jinro,Consumer_Goods_&_Retail,2019,Q4,0.3452040348619619,0.0500032890966573,0.16296750789433656,-0.05866835754624522,0.32379792221962045,0.015803933380092117,-0.004277624972789884,000080
19,Yuhan_Corporation,Healthcare,2019,Q4,-0.09611474277102672,-0.005943948264206966,-0.00034013247637565414,-0.014767232135090236,-0.6691935485491838,-0.011627533258737,0.01395351485548639,000100
19,CJ_Logistics,Trading_&_Logistics,2019,Q4,0.08021112023401077,-0.003530937578351656,-0.34352913913758343,-0.09560294586942941,0.01769495014950473,0.0012809694310091935,-0.0017239662182092497,000120
19,Doosan_Corp,Conglomerate,2019,Q4,0.06081948000079192,-0.501530454116482,-0.34032451465756464,-0.260390987620859,-1.2884476764833308,-0.06250076830124329,0.0,000150
19,DL_Holdings,Conglomerate,2019,Q4,-0.08184192449297666,-0.014093938786702287,-0.018537867647057116,-0.2952811171764389,-1.37402536244764,0.020110822170772424,-0.19145807343458393,000210
19,Ildong_Pharmaceutical,Healthcare,2019,Q4,-0.12400156074301194,0.12235185876952448,0.42940857929066034,-0.08573671930839533,-0.716430419251481,0.07988512047328522,-0.02711775645954778,000230
19,Hankook_Tire_Worldwide,Automotive_&_Parts,2019,Q4,-0.15891269768636876,-0.015886721438594265,-0.03968820084704183,-0.021491689753776466,-0.05534092518312428,0.0004228758137866384,-0.06386201029032726,000240
20,Kia_Corp,Automotive_&_Parts,2019,Q4,0.05796669798958852,0.033859463891786956,0.04033924847928838,-0.06422035947441285,0.05773734549308529,-0.0006546673905734046,-0.09429983050457971,000270
20,Chosun_Refractories,Materials_&_Chemicals,2019,Q4,0.019280181254291297,-0.0024803731794782458,-4.900716840183783e-05,-0.04947619067499853,0.6224215605357406,0.0038229846206976337,-0.03579183485173077,000480
19,Dong-A_Socio_Holdings,Conglomerate,2019,Q4,-0.09288528690494957,0.014056643026128413,0.024302305618690734,0.7365273536611749,1.4246238465496468,2.813746596141975e-05,0.16695116583705819,000640
19,S_hynix,Technology,2019,Q4,0.1793495404991916,0.00681027555144853,0.008018541964191273,-0.01759797450843692,0.7023919355935166,0.0015672630805119159,0.07597842208645822,000660
19,Youngpoong,Materials_&_Chemicals,2019,Q4,-0.1397749995019071,0.00034823713959464264,-0.0006865780568088287,-0.07791550939315761,-2.584817565060217,0.006375424716036471,-0.0011757796766964645,000670
19,Hyundai_E&C,Construction_&_Real_Estate,2019,Q4,-0.15159739353684196,0.01213597341128525,0.00012961065005956396,-0.1390201916364826,0.2896758680012512,-0.03921586617535744,-0.16076285991038167,000720
19,Hanwha_Corp,Conglomerate,2019,Q4,-0.039735228336873124,-0.017757214918212583,-0.025841260887770723,-0.3887360452610691,-1.298834080717489,-0.00451039416740362,-0.07238431806376888,000880
19,CJ_Corp,Conglomerate,2019,Q4,-0.17447536974659686,-0.046883053015542187,-0.008625523468160257,-0.07166288691413358,0.12717008443991185,-0.04463898819980927,0.10366045440800392,001040
19,LG_International,Conglomerate,2019,Q4,-0.02296518349939603,0.10600409858012327,0.11067833187406972,0.08328855302563365,-0.454581279723709,0.09602762656482078,-0.19427136701547346,001120
19,Dongkuk_Steel,Materials_&_Chemicals,2019,Q4,-0.02097959373149981,0.0548252997998373,0.18384996626953887,0.035806126529388305,1.2345995082608925,0.021379295275539056,-0.1575103833054438,001230
19,SeAH_Besteel,Materials_&_Chemicals,2019,Q4,-0.08709259054796088,-0.0005075159917735661,-0.0001673092613412308,0.04951344776103406,0.5586650694311959,0.002988754812650596,-0.13011588025936752,001430
19,Daesang,Consumer_Goods_&_Retail,2019,Q4,-0.06463923816870903,-0.01090005265511218,-0.02373104038395568,0.09057439999858086,0.738569248994904,0.02468428575655912,-0.024614570423692354,001680
