code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,파생상품자산,파생상품관련손익,파생상품부채,영업비용,이자수익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,차입부채,이자비용,상각후원가측정금융자산,금융상품관련순손익
17670,SK텔레콤,커뮤니케이션서비스,2023,Q2,"4,563,493,000,000","20,426,064,000,000","24,989,557,000,000","4,909,017,000,000","9,395,150,000,000","14,304,167,000,000","15,022,614,000,000","10,685,390,000,000",3119228000000.0,379110000000.0,362632000000.0,272801000000.0,272801000000.0,"30,493,000,000",,,,,,,,,,,,
30000,제일기획,커뮤니케이션서비스,2023,Q2,"593,319,833,321","478,535,062,709","1,071,854,896,030","407,109,096,440","24,940,575,763","432,049,672,203","765,583,776,201","639,805,223,827",314267606620.0,29727618294.0,45808836016.0,35635258788.0,35635258788.0,"23,008,245,000",,,,,,,,,,,,
30200,KT,커뮤니케이션서비스,2023,Q2,"6,172,521,000,000","23,419,636,000,000","29,592,157,000,000","6,153,715,000,000","8,663,792,000,000","14,817,507,000,000","12,428,997,000,000","14,774,650,000,000",4487418000000.0,407424000000.0,394651000000.0,305055000000.0,305055000000.0,"1,564,499,000,000",,,,,,,,,,,,
32640,LG유플러스,커뮤니케이션서비스,2023,Q2,"4,712,056,000,000","14,483,809,000,000","19,195,865,000,000","4,633,563,000,000","6,220,336,000,000","10,853,899,000,000","5,059,261,000,000","8,341,966,000,000",3163206000000.0,287610000000.0,247179000000.0,214577000000.0,214577000000.0,"2,573,969,000,000",,,,,,,,,,,,
34120,SBS,커뮤니케이션서비스,2023,Q2,"452,349,931,866","699,090,820,767","1,151,440,752,633","228,873,077,055","218,312,731,187","447,185,808,242","570,285,526,160","704,254,944,391",235862935859.0,17617812949.0,16377838419.0,14090808780.0,14090808780.0,"91,262,910,000",,,,,,,,,,,,
35420,NAVER,커뮤니케이션서비스,2023,Q2,"1,443,498,946,546","13,605,878,195,254","15,049,377,141,800","1,635,414,466,296","2,826,255,827,444","4,461,670,293,740","10,782,664,239,578","10,587,706,848,060",1416485379695.0,432476396149.0,539623612450.0,411029588821.0,411029588821.0,"16,481,339,500",,,,,,,,,,,,
36570,엔씨소프트,커뮤니케이션서비스,2023,Q2,"2,236,717,979,944","2,020,210,001,080","4,256,927,981,024","460,958,552,283","630,430,516,195","1,091,389,068,478","3,403,193,092,294","3,165,538,912,546",402552869512.0,34022898994.0,34116704468.0,27142942540.0,27142942540.0,"10,977,011,000",,,,,,,,,,,,
