,name,year,quarter,sector,Relative Return,법인세차감전 순이익 변화율,국제유가 변화율,유동자산 변화율,이익잉여금 변화율,자본총계 변화율,비유동부채 변화율,Label,Code
2,유한양행,2024,Q2,헬스케어,0.2848114793230269,-0.2640870695217775,0.01979840167061564,0.07902208666382382,0.012744224911674484,0.009427923683566819,-0.5072802986534846,0.5302977539193272,000100
2,일동제약,2024,Q2,헬스케어,0.037205930743872746,27.65349699784431,0.01979840167061564,-0.01740910210827984,-0.9954333847029359,-0.25592133840786135,0.07497798000774214,-0.0836245273219364,000230
2,동아쏘시오홀딩스,2024,Q2,헬스케어,0.15859709832860064,-1.2673307436629944,0.01979840167061564,-0.3246598724040105,-0.015986620400102125,-0.010184083553325451,-0.3268231025111954,0.10673495881254522,000640
2,부광약품,2024,Q2,헬스케어,-0.132677991624114,-2.6636253685116786,0.01979840167061564,-0.218266866244068,-0.031543685949217526,-0.023667415189062124,-0.07458360132903319,-0.09209426705591194,003000
2,영진약품,2024,Q2,헬스케어,0.21382556383006918,-1.2511326959556008,0.01979840167061564,0.002665315482817787,0.10203177870127655,-0.014918731771594196,0.04047574052834002,-0.06584683970613461,003520
2,녹십자,2024,Q2,헬스케어,0.3450960910556526,-1.5633016883559139,0.01979840167061564,0.06464362660938705,0.007403693861506522,0.0054613828611633775,0.3132670686136756,0.04124822995500206,006280
2,일양약품,2024,Q2,헬스케어,0.12407645988741686,-0.7186079360641613,0.01979840167061564,0.016020848577664726,0.01901707041847045,0.002855228194835968,0.011537435996963552,-0.10442076528020697,007570
2,서흥,2024,Q2,헬스케어,-0.16301616890588347,-0.46339744012907613,0.01979840167061564,0.08912930916645467,0.012625480379887977,0.011744579524848087,0.17514985742452205,-0.11364233772798789,008490
2,광동제약,2024,Q2,헬스케어,-0.03642188886279837,-0.894937492318355,0.01979840167061564,-0.004172683604271921,0.0020935017583552096,0.0013000061522279172,0.4890275597196667,-0.01670221699653235,009290
2,현대중공업,2024,Q2,중공업,0.47399972928725354,7.986273568156797,0.01979840167061564,0.23215455055714518,0.006765231313940134,0.009400955029616576,-0.041431927696905846,0.05632699984763589,009540
2,삼성중공업,2024,Q2,중공업,0.10666313721558776,-1.9110547160610256,0.01979840167061564,0.018500884517164362,-0.025811324371774358,0.06280803840761529,0.024100576100451798,0.15207878626156152,010140
2,현대미포조선,2024,Q2,중공업,0.4355049531430463,9.931592498586147,0.01979840167061564,-0.01683716089877829,0.01744456509775194,0.012231135521482361,0.07792508670186793,0.09890692446022838,010620
2,한화테크윈,2024,Q2,중공업,0.42999020173573543,3.58195980901235,0.01979840167061564,0.22333669807738432,0.061221122366269976,0.046791071275524176,0.02616133653909114,0.37474988351701755,012450
2,현대엘리베이,2024,Q2,중공업,0.06220879736300331,0.6697414699553486,0.01979840167061564,-0.20690276792887863,0.09705861081592415,0.03838079129395333,-0.11589146882635581,0.2528290623784065,017800
2,두산중공업,2024,Q2,중공업,0.06835882263387019,0.9479834395990183,0.01979840167061564,-0.03869907215143786,0.6368353053418792,0.020015771723288278,-0.01123235047391502,0.20670740391865988,034020
2,대우조선해양,2024,Q2,중공업,0.03332703308516264,-1.9174975764488902,0.01979840167061564,0.12354914667139649,0.15077608273236542,-0.011712034424319562,0.02859071878738839,0.2569319148554025,042660
2,두산인프라코어,2024,Q2,중공업,-0.09410343025277107,-0.6309010176003043,0.01979840167061564,0.0011555677460568514,0.035048841467313574,0.0037275646243526417,-0.21164502879872915,0.11017816569474759,042670
2,현대로템,2024,Q2,중공업,0.42347536927754004,1.5922319160275573,0.01979840167061564,-0.042737615654566796,0.3178005189722195,0.06441169664417634,-0.40118832792258463,0.29508604781721015,064350
2,대웅제약,2024,Q2,헬스케어,0.18219481517089292,1.54231988638701,0.01979840167061564,0.13403286723789387,0.010093076362464926,-0.015066868906274844,1.4405229016260859,0.18916351023857117,069620
2,두산엔진,2024,Q2,중공업,0.013749766013346529,-0.005548575054486915,0.01979840167061564,-0.06725505366111895,-0.10490481683922936,0.03913118259721382,0.11357656724918486,0.269727500512098,082740
2,한진중공업,2024,Q2,중공업,-0.02599371327836455,-4.485572474131404,0.01979840167061564,-0.04754286393486462,0.02742794961419248,-0.11703872962986939,0.0036335280836106154,0.043549697889725306,097230
2,한미약품,2024,Q2,헬스케어,-0.06455449847522676,0.026186239570497483,0.01979840167061564,0.003359375049057256,0.102940940910202,0.04641189290209358,-0.09704615134445016,0.21547402246704772,128940
2,동아에스티,2024,Q2,헬스케어,0.10768631637488779,3.5915056555056353,0.01979840167061564,0.13549756984575279,0.04124394305477841,0.011680987700095624,0.3701963417027161,0.11852063188702255,170900
2,종근당,2024,Q2,헬스케어,0.15354819751764934,0.10715908502424298,0.01979840167061564,0.031578393330997434,0.0912891753572751,0.05721070169178599,0.07894116462641865,-0.04205449869618158,185750
