,name,sector,year,quarter,비유동자산변화율,영업이익변화율,부채총계변화율,Code
28,Hankook_Tire_Worldwide,Automotive_&_Parts,2017,Q3,0.008643768883487501,-0.07755241166776217,-0.02968161473308739,000240
29,Kia_Corp,Automotive_&_Parts,2017,Q3,-0.01702385373244142,2.42388028243229,-0.10921902819272522,000270
28,Nexen_Tire,Automotive_&_Parts,2017,Q3,-0.013868766701045976,-0.1304359250300362,0.028400141771048992,002350
28,Korean_Air,Automotive_&_Parts,2017,Q3,0.002914580070418671,-1.3431061127783956,0.007282209237780668,003490
28,SsangYong_Motor,Automotive_&_Parts,2017,Q3,-0.010314007294901284,-1.6965580939075742,-0.010283694436995283,003620
28,SEBANG_Global_Battery,Automotive_&_Parts,2017,Q3,-0.05953370310020145,-0.3974858894680777,-0.0033853028909311966,004490
28,Hyundai_Motor,Automotive_&_Parts,2017,Q3,-0.013642388988980958,0.67630907380014,0.08250378283099424,005380
28,Dong-A_Tire,Automotive_&_Parts,2017,Q3,0.5679395638582181,0.9537014593218328,-5.83154032830015,007340
28,Seoyon,Automotive_&_Parts,2017,Q3,-0.002142506703512348,-2.717921533758002,-0.4689262305176498,007860
28,Seohung,Automotive_&_Parts,2017,Q3,-0.0530191219539613,0.23243385751893308,-0.0021909721778243796,008490
28,Motonic,Automotive_&_Parts,2017,Q3,-0.010831006966022905,0.3558081853861943,0.08921516380910322,009680
28,Hwashin,Automotive_&_Parts,2017,Q3,-0.022332538194095752,-0.1842408481201554,-0.050394066377096536,010690
29,Hyundai_Mobis,Automotive_&_Parts,2017,Q3,-0.0015044000613233521,-0.15585587800415124,0.010366484831411671,012330
28,Hanon_Systems,Automotive_&_Parts,2017,Q3,0.0024073216745780224,0.4191444654143539,0.011533443638195973,018880
28,Hansum,Automotive_&_Parts,2017,Q3,0.0022154125012548986,-0.37974602704646787,-0.11178097317673208,020000
28,Kumho_Tire,Automotive_&_Parts,2017,Q3,0.00284222070423934,0.7566572489561193,0.006893254624827816,073240
28,Hyundai_Glovis,Automotive_&_Parts,2017,Q3,-0.011472862226873826,-0.020594263310540484,0.0039044814656989946,086280
28,Hankook_Tire_&_Technology,Automotive_&_Parts,2017,Q3,-0.0020364263713146258,-0.06232261537980799,0.04282899680345231,161390
