code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,영업비용
3300,한일시멘트,건설,2015,Q4,2016-03-30,"681,279,498,802","1,270,377,360,278","1,951,656,859,080","376,427,971,332","210,920,909,018","587,348,880,350","1,288,354,378,483","1,364,307,978,730",1043594757197.0,106698806046,67296588077,33549261198,33549261198,,,
3300,한일시멘트,건설,2016,Q1,2016-05-16,"760,296,034,850","1,204,903,155,678","1,965,199,190,528","397,284,420,512","206,346,515,069","603,630,935,581","1,286,715,707,743","1,361,568,254,947",223974436977.0,824797409,11765322135,8766848760,8766848760,,,
3300,한일시멘트,건설,2016,Q2,2016-08-16,"775,004,282,543","1,197,630,985,687","1,972,635,268,230","334,282,677,816","261,809,296,198","596,091,974,014","1,309,189,662,311","1,376,543,294,216",288130529531.0,28472489174,29654807587,22473954568,22473954568,,,
3300,한일시멘트,건설,2016,Q3,2016-11-14,"728,938,392,689","1,254,203,595,855","1,983,141,988,544","364,168,317,114","267,533,181,505","631,701,498,619","1,285,968,365,286","1,351,440,489,925",266670929666.0,24556308949,-17355087949,-23221297025,-23221297025,,,
3300,한일시멘트,건설,2016,Q4,2017-03-31,"805,357,698,153","1,130,927,607,633","1,936,285,305,786","292,595,551,983","229,680,824,419","522,276,376,402","1,353,354,420,113","1,414,008,929,384",289015464922.0,27348889372,88963158652,64352895042,64352895042,,,
3300,한일시멘트,건설,2017,Q1,2017-05-12,"805,754,977,185","1,130,770,515,012","1,936,525,492,197","371,030,672,450","160,922,306,899","531,952,979,349","1,344,825,590,335","1,404,572,512,848",240615801768.0,1476218689,3838622955,2570391022,2570391022,,,
3300,한일시멘트,건설,2017,Q2,2017-08-11,"950,882,482,973","1,155,648,830,687","2,106,531,313,660","339,564,480,402","320,834,070,575","660,398,550,977","1,381,207,165,817","1,446,132,762,683",318878129597.0,42389385298,43329539958,36381575482,36381575482,,,
3300,한일시멘트,건설,2017,Q3,2017-11-14,"918,442,933,791","1,360,142,967,516","2,278,585,901,307","352,189,118,110","466,829,638,038","819,018,756,148","1,402,323,298,340","1,459,567,145,159",299215034772.0,32683224263,29322748738,21116132523,21116132523,"37,726,565,000",,
3300,한일시멘트,건설,2017,Q4,2018-04-02,"928,286,280,332","1,353,741,503,952","2,282,027,784,284","381,246,135,856","449,511,286,811","830,757,422,667","1,391,079,478,308","1,451,270,361,617",208128598805.0,20321013493,-10211749529,-13253243080,-13253243080,"37,726,565,000",,
3300,한일시멘트,건설,2018,Q1,2018-05-15,"855,851,756,805","1,339,634,906,309","2,195,486,663,114","317,144,535,018","444,558,764,740","761,703,299,758","1,382,599,456,080","1,433,783,363,356",219911214497.0,3770853281,3564074887,2883251502,2883251502,"37,726,565,000",,
3300,한일시멘트,건설,2018,Q2,2018-08-14,"1,591,086,991,454","795,318,158,977","2,386,405,150,431","1,794,145,738,789","324,476,973,000","2,118,622,711,789","1,405,825,206,423","267,782,438,642",9459871092.0,-1146103569,-2227195655,22694783165,22694783165,"37,726,565,000",,
3300,한일시멘트,건설,2018,Q3,2018-11-14,"206,173,085,622","840,951,012,015","1,047,124,097,637","38,073,683,406","324,661,390,217","362,735,073,623","1,774,396,467,079","684,389,024,014",3523841913.0,-301672832,9598489643,368571260656,368571260656,"17,001,715,000",,
3300,한일시멘트,건설,2018,Q4,2019-04-01,"135,166,458,845","998,956,383,714","1,134,122,842,559","36,836,529,243","299,442,052,215","336,278,581,458","1,747,873,478,879","797,844,261,101",-204693645453.0,-2312918457,-4431405498,-2857990907,-2857990907,"31,349,890,000",,
3300,한일시멘트,건설,2019,Q1,2019-05-15,"173,986,755,586","982,174,216,142","1,156,160,971,728","54,872,612,609","301,801,102,411","356,673,715,020","1,740,697,338,987","799,487,256,708",,10596503175,9665920581,6245174876,6245174876,"31,349,890,000",,
3300,한일시멘트,건설,2019,Q2,2019-08-14,"169,322,897,567","978,351,645,175","1,147,674,542,742","196,674,240,799","137,302,408,733","333,976,649,532","1,755,593,866,092","813,697,893,210",,-452969563,16129529125,14896527105,14896527105,"31,342,450,000",,
3300,한일시멘트,건설,2019,Q3,2019-11-14,"171,231,205,643","1,165,228,128,591","1,336,459,334,234","186,601,347,020","344,516,957,266","531,118,304,286","1,755,470,732,791","805,341,029,948",,-483863863,593167442,-123133301,-123133301,"31,342,450,000",,
3300,한일시멘트,건설,2019,Q4,2020-03-30,"164,208,210,855","1,122,142,028,215","1,286,350,239,070","199,412,007,780","360,924,609,686","560,336,617,466","1,688,911,263,117","726,013,621,604",,-1377691169,-81005420530,-82494313394,-82494313394,"31,342,450,000",,
3300,한일시멘트,건설,2020,Q1,2020-05-15,"296,351,569,008","999,654,747,556","1,296,006,316,564","232,389,382,407","345,890,445,389","578,279,827,796","1,685,041,161,695","717,726,488,768",,9864742999,10734975043,9916917378,9916917378,"31,342,450,000",,
3300,한일시멘트,건설,2020,Q2,2020-08-14,"261,437,268,070","995,637,994,038","1,257,075,262,108","56,233,936,820","482,492,019,878","538,725,956,698","1,685,099,365,032","718,349,305,410",,-514922134,220389377,58203337,58203337,"31,342,450,000",,
3300,한일시멘트,건설,2020,Q3,2020-11-16,"286,776,191,951","964,385,799,990","1,251,161,991,941","166,052,850,156","359,511,412,218","525,564,262,374","1,683,602,082,385","725,597,729,567",,-201399308,-645581071,-1497282647,-1497282647,"31,342,450,000",,
