year,quarter,month,week,code,name,sector,url,category,upload_dt,filtering
2021,Q1,1,1,6260,LS,산업재,https://www.thevaluenews.co.kr/news/162095,article,2021-01-04,after:2021-01-01 before:2021-01-07
2021,Q1,1,2,6260,LS,산업재,https://www.datanews.co.kr/news/article.html?no=110292,article,2021-01-14,after:2021-01-08 before:2021-01-14
2021,Q1,1,3,6260,LS,산업재,https://woman.donga.com/people/article/all/12/2385241/1,article,2021-01-21,after:2021-01-15 before:2021-01-21
2021,Q1,1,4,6260,LS,산업재,https://www.joongang.co.kr/article/23977012,article,2021-01-24,after:2021-01-22 before:2021-01-31
2021,Q1,2,1,6260,LS,산업재,http://www.insidevina.com/news/articleView.html?idxno=15563,article,2021-02-02,after:2021-02-01 before:2021-02-07
2021,Q1,2,2,6260,LS,산업재,https://www.mk.co.kr/news/business/9747711,article,2021-02-13,after:2021-02-08 before:2021-02-14
2021,Q1,2,3,6260,LS,산업재,https://www.newsway.co.kr/news/view?ud=2021021511061537260,article,2021-02-15,after:2021-02-15 before:2021-02-21
2021,Q1,2,4,6260,LS,산업재,https://news.nate.com/view/20210224n19616,article,2021-02-24,after:2021-02-22 before:2021-02-28
2021,Q1,3,1,6260,LS,산업재,https://www.mk.co.kr/economy/view.php?sc=50000001&year=2021&no=196126,article,2021-03-01,after:2021-03-01 before:2021-03-07
2021,Q1,3,2,6260,LS,산업재,https://www.mk.co.kr/news/business/9783095,article,2021-03-11,after:2021-03-08 before:2021-03-14
2021,Q1,3,3,6260,LS,산업재,https://www.shinailbo.co.kr/news/articleView.html?idxno=1388521,article,2021-03-17,after:2021-03-15 before:2021-03-21
2021,Q1,3,4,6260,LS,산업재,https://www.hankyung.com/article/202103266001Y,article,2021-03-26,after:2021-03-22 before:2021-03-31
2021,Q2,4,1,6260,LS,산업재,https://www.businesspost.co.kr/BP?command=article_view&num=225515,article,2021-04-07,after:2021-04-01 before:2021-04-07
2021,Q2,4,2,6260,LS,산업재,https://www.ajunews.com/view/20210412022716614,article,2021-04-12,after:2021-04-08 before:2021-04-14
2021,Q2,4,3,6260,LS,산업재,https://www.ajunews.com/view/20210417215437286,article,2021-04-17,after:2021-04-15 before:2021-04-21
2021,Q2,4,4,6260,LS,산업재,https://news.mt.co.kr/mtview.php?no=2021043013413816173,article,2021-04-30,after:2021-04-22 before:2021-04-30
2021,Q2,5,1,6260,LS,산업재,https://www.ajunews.com/view/20210502144548348,article,2021-05-03,after:2021-05-01 before:2021-05-07
2021,Q2,5,2,6260,LS,산업재,https://www.joongang.co.kr/article/24054909,article,2021-05-11,after:2021-05-08 before:2021-05-14
2021,Q2,5,3,6260,LS,산업재,https://biz.sbs.co.kr/article/20000015940,article,2021-05-18,after:2021-05-15 before:2021-05-21
2021,Q2,5,4,6260,LS,산업재,https://www.industrynews.co.kr/news/articleView.html?idxno=42450,article,2021-05-25,after:2021-05-22 before:2021-05-31
