year,quarter,disclosure_date,code,name,sector,url,category
2016,Q1,2016-05-16,120,CJ대한통운,산업재,https://www5.ajunews.com/view/20160504095741793,article
2016,Q2,2016-08-16,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=wbWYpnktPnE,video
2016,Q3,2016-11-14,120,CJ대한통운,산업재,https://www.klnews.co.kr/news/articleView.html?idxno=114432,article
2016,Q4,2017-03-31,120,CJ대한통운,산업재,https://magazine.hankyung.com/business/article/201703270765b,article
2017,Q1,2017-05-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=hTNwrZ14isA,video
2017,Q2,2017-08-14,120,CJ대한통운,산업재,https://www.edaily.co.kr/News/Read?newsId=02765046616025352&mediaCodeNo=257,article
2017,Q3,2017-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=ES_8ZGWFyyQ,video
2017,Q4,2018-04-02,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=OiAVGad_Bv0,video
2018,Q1,2018-05-15,120,CJ대한통운,산업재,https://news.nate.com/view/20180511n27428?mid=n0000,article
2018,Q2,2018-08-14,120,CJ대한통운,산업재,https://news.nate.com/view/20180808n14859,article
2018,Q3,2018-11-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=LcXpCHZaRr8,video
2018,Q4,2019-04-01,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=mJCnaAFcZMc,video
2019,Q1,2019-05-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=a5KND_Jetjk,video
2019,Q2,2019-08-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=C5Yz_Iu0MWg,video
2019,Q3,2019-11-14,120,CJ대한통운,산업재,https://www.labortoday.co.kr/news/articleView.html?idxno=161418,article
2019,Q4,2020-03-30,120,CJ대한통운,산업재,https://news.nate.com/view/20200329n02205?mid=n0000,article
2020,Q1,2020-05-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=vy6j2J94ejY,video
2020,Q2,2020-08-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=CoW-rnqh8iM,video
2020,Q3,2020-11-16,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=N-2igRdEzIs,video
2020,Q4,2021-03-19,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=P6wmR148WI8,video
2021,Q1,2021-05-14,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=js_LpFwLVEg,video
2021,Q2,2021-08-17,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=AIVP0jo0Yag,video
2021,Q3,2021-11-15,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=L1Kk4sjDDbE,video
2021,Q4,2022-03-18,120,CJ대한통운,산업재,https://www.youtube.com/watch?v=WciLdHAELQs,video
