code,name,sector,year,quarter,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,이익잉여금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익,당기순이익(손실),자본금,총포괄손익,당기손익-공정가치측정금융자산,기타포괄손익-공정가치측정금융자산,이자수익
003240,Taekwang_Industrial,Industrials_&_Machinery,2015,Q4,"960,786,274,341","1,584,282,890,769","2,545,069,165,110","264,796,263,395","100,315,979,172","365,112,242,567","2,240,020,027,717","2,179,956,922,543",1814429006823,6494370780,36354520307,30491756805,30491756805,,,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2016,Q1,"982,545,752,506","1,556,387,107,428","2,538,932,859,934","250,275,715,469","102,506,547,564","352,782,263,033","2,242,115,131,300","2,186,150,596,901",414455088439,-4100848001,4921127335,3567957833,3567957833,,,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2016,Q2,"1,000,364,103,492","1,566,249,211,219","2,566,613,314,711","274,389,899,381","103,688,547,435","378,078,446,816","2,245,134,461,035","2,188,534,867,895",434751038053,11659449965,6853240689,3019329735,3019329735,,,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2016,Q3,"975,006,836,222","1,570,531,240,915","2,545,538,077,137","239,515,746,053","124,539,272,929","364,055,018,982","2,232,859,499,213","2,181,483,058,155",410309945281,5811197282,-15206945796,-12274961822,-12274961822,,,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2016,Q4,"1,049,726,201,424","1,547,868,435,144","2,597,594,636,568","291,580,726,823","125,326,726,445","416,907,453,268","2,231,714,973,894","2,180,687,183,300",443664957161,29847563074,-55824552,-537898200,-537898200,,,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2017,Q1,"1,145,558,556,091","1,539,300,318,352","2,684,858,874,443","320,920,636,454","126,830,342,650","447,750,979,104","2,266,299,536,457","2,237,107,895,339",472642105805,24190787918,48574354589,36057416813,36057416813,,,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2017,Q2,"1,204,268,345,694","1,515,388,233,803","2,719,656,579,497","300,442,056,128","128,091,535,974","428,533,592,102","2,294,047,662,211","2,291,122,987,395",478952777910,29090245615,35592256047,27748125754,27748125754,,,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2017,Q3,"1,240,767,004,044","1,504,942,983,011","2,745,709,987,055","307,584,767,379","135,680,784,720","443,265,552,099","2,311,697,373,017","2,302,444,434,956",478894363411,19109590412,24907562232,17649710806,17649710806,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2017,Q4,"1,249,494,976,296","1,536,840,903,175","2,786,335,879,471","354,251,907,431","148,582,161,427","502,834,068,858","2,299,887,867,549","2,283,501,810,613",509763833328,35344310917,14084595357,-8542818734,-8542818734,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2018,Q1,"1,357,243,146,656","1,460,429,315,866","2,817,672,462,522","356,034,975,858","150,289,723,831","506,324,699,689","2,351,045,365,838","2,311,347,762,833",485806117733,17426329822,51420388166,34870497166,34870497166,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2018,Q2,"1,417,827,596,236","1,571,979,794,418","2,989,807,390,654","387,231,028,067","148,623,295,088","535,854,323,155","2,410,494,888,604","2,453,953,067,499",503795822178,64023855175,78499646023,59449522766,59449522766,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2018,Q3,"1,587,405,036,642","1,587,551,330,138","3,174,956,366,780","480,285,609,054","150,423,431,426","630,709,040,480","2,476,818,237,277","2,544,247,326,300",606683611939,86516095149,91279886150,66323348673,66323348673,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2018,Q4,"1,557,735,005,484","1,657,329,254,530","3,215,064,260,014","522,704,478,132","145,467,381,134","668,171,859,266","2,494,494,081,393","2,546,892,400,748",573377743687,50886611173,7046167713,16026375097,16026375097,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2019,Q1,"1,620,277,108,231","1,670,660,671,045","3,290,937,779,276","559,625,576,038","150,905,214,891","710,530,790,929","2,541,379,448,104","2,580,406,988,347",512342869405,32329208021,65653501372,49410259711,49410259711,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2019,Q2,"1,663,517,858,863","1,558,589,504,789","3,222,107,363,652","421,712,706,746","159,302,907,474","581,015,614,220","2,612,614,713,623","2,641,091,749,432",566722578652,91469345195,97380635379,71235265519,71235265519,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2019,Q3,"1,644,160,553,225","1,563,552,214,121","3,207,712,767,346","353,340,657,873","180,812,985,748","534,153,643,621","2,663,353,522,458","2,673,559,123,725",499815935886,54217745418,68210228285,50738808835,50738808835,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2019,Q4,"1,590,129,073,355","1,478,854,317,751","3,068,983,391,106","303,789,657,152","209,220,669,955","513,010,327,107","2,543,252,795,056","2,555,973,063,999",448277735064,19976515600,-130570512100,-117711085674,-117711085674,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2020,Q1,"1,891,267,087,370","1,217,870,704,305","3,109,137,791,675","319,142,593,589","206,663,516,930","525,806,110,519","2,603,478,028,619","2,583,331,681,156",451610674496,41796493374,81730004823,61529761613,61529761613,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2020,Q2,"1,552,420,523,458","1,991,720,176,568","3,544,140,700,026","240,061,666,133","249,727,218,162","489,788,884,295","3,064,122,833,932","3,054,351,815,731",348627976775,14389707288,563563776967,460644805313,460644805313,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2020,Q3,"1,521,792,727,252","2,049,309,173,001","3,571,101,900,253","256,704,360,680","250,801,416,826","507,505,777,506","3,072,279,722,819","3,063,596,122,747",350437518377,1360343368,11034956026,8156888887,8156888887,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2020,Q4,"1,462,051,119,567","2,049,141,969,895","3,511,193,089,462","257,987,139,039","237,724,501,358","495,711,640,397","3,022,919,545,249","3,015,481,449,065",344949675384,-9654388632,-68169586130,-50380740499,-50380740499,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2021,Q1,"1,610,699,909,746","2,079,220,551,347","3,689,920,461,093","333,310,291,201","243,801,496,534","577,111,787,735","3,103,072,213,355","3,112,808,673,358",487271901641,76466458923,107038145666,81457196156,81457196156,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2021,Q2,"1,705,700,880,076","2,137,348,679,690","3,843,049,559,766","359,774,412,962","253,131,739,912","612,906,152,874","3,191,817,842,262","3,230,143,406,892",518867550667,114712349547,123084490161,88745628907,88745628907,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2021,Q3,"1,816,365,822,959","2,126,289,722,524","3,942,655,545,483","408,319,426,409","250,031,011,754","658,350,438,163","3,257,639,856,489","3,284,305,107,320",569930370018,78794549966,92097145685,65822014227,65822014227,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2021,Q4,"1,809,875,892,548","2,270,473,813,864","4,080,349,706,412","467,394,456,553","245,445,055,315","712,839,511,868","3,349,597,712,439","3,367,510,194,544",621708989749,35556746128,99314729045,90735469137,90735469137,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2022,Q1,"1,895,849,591,644","2,233,144,038,733","4,128,993,630,377","466,533,167,761","245,592,626,001","712,125,793,762","3,392,700,029,380","3,416,867,836,615",640966309416,23986239342,55372543809,45916683496,45916683496,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2022,Q2,"1,890,501,234,646","2,226,016,338,958","4,116,517,573,604","464,512,198,372","243,137,690,728","707,649,889,100","3,401,682,890,844","3,408,867,684,504",625270269016,-932828865,12132047527,8982861464,8982861464,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2022,Q3,"1,870,812,162,497","2,196,159,808,744","4,066,971,971,241","429,188,753,035","247,102,999,330","676,291,752,365","3,398,457,398,595","3,390,680,218,876",578208162016,-23083462023,-1944983767,-3225492249,-3225492249,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2022,Q4,"1,612,156,421,025","2,256,881,914,396","3,869,038,335,421","320,953,286,290","234,165,388,889","555,118,675,179","3,299,622,216,765","3,313,919,660,242",551507148997,-77519787400,-111112366883,-77903496345,-77903496345,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2023,Q1,"1,687,728,495,152","2,254,696,827,316","3,942,425,322,468","342,224,894,662","241,749,760,815","583,974,655,477","3,345,119,946,182","3,358,450,666,991",526694531253,-20397687416,51234066146,46928388322,46928388322,"5,567,000,000",,,,
003240,Taekwang_Industrial,Industrials_&_Machinery,2023,Q2,"1,652,720,400,703","2,261,436,520,658","3,914,156,921,361","327,144,064,780","244,351,917,170","571,495,981,950","3,330,840,592,767","3,342,660,939,411",524908217293,-16710822120,-24570991395,-15747254444,-15747254444,"5,567,000,000",,,,
