code,name,sector
50,Kyungbang,경기소비재
80,Hite_Jinro,생활소비재
100,Yuhan_Corporation,헬스케어
120,CJ_Logistics,산업재
150,Doosan_Corp,산업재
210,DL_Holdings,건설
230,Ildong_Pharmaceutical,헬스케어
240,Hankook_Tire_Worldwide,경기소비재
270,Kia_Corp,경기소비재
480,Chosun_Refractories,철강_소재
640,Dong-A_Socio_Holdings,헬스케어
660,S_hynix,정보기술
670,Youngpoong,철강_소재
720,Hyundai_E&C,건설
880,Hanwha_Corp,에너지_화학
1040,CJ_Corp,생활소비재
1120,LG_International,산업재
1230,Dongkuk_Steel,철강_소재
1430,SeAH_Besteel,철강_소재
1680,Daesang,생활소비재
1740,SK_Networks,경기소비재
1800,Orion_Corp,생활소비재
2240,KIS_Wire,철강_소재
2350,Nexen_Tire,경기소비재
2380,KCC,건설
2790,AmoreG,생활소비재
2960,Korea_Shell_Petroleum,에너지_화학
3000,Bukwang_Pharmaceutical,헬스케어
3030,SeAH_Steel,철강_소재
3200,Ilshin_Spinning,경기소비재
3240,Taekwang_Industrial,에너지_화학
3300,Hanil_Cement,건설
3410,Ssangyong_Cement,건설
3490,Korean_Air,산업재
3520,Youngjin_Pharmaceutical,헬스케어
3550,LG_Corp,정보기술
3570,S&T_Heavy_Industries,산업재
3620,SsangYong_Motor,경기소비재
3920,Namyang_Dairy_Products,생활소비재
4000,Samsung_Fine Chemicals,에너지_화학
4020,Hyundai_Steel,철강_소재
4150,Hansol_Holdings,경기소비재
4170,Shinsegae,경기소비재
4370,Nongshim,생활소비재
4490,SEBANG_Global_Battery,경기소비재
4700,Chokwang_Leather,경기소비재
4710,Hansol_Technics,정보기술
4800,Hyosung,에너지_화학
5090,Samkwang_Glass,철강_소재
5180,Binggrae,생활소비재
5300,Lotte_Chilsung_Beverage,생활소비재
5380,Hyundai_Motor,경기소비재
5440,Hyundai_Green_Food,생활소비재
5490,POSCO_Holdings,철강_소재
5610,SPC_Samlip,생활소비재
5740,Crown_Confectionery,생활소비재
5850,SL_Corp,경기소비재
5930,Samsung_Electronics,정보기술
6120,SK_Chemicals,에너지_화학
6260,LS_Corp,산업재
6280,GC_Biopharma,헬스케어
6400,Samsung_SDI,정보기술
6650,Korea_Petrochemical_Ind,에너지_화학
7070,GS_Retail,생활소비재
7310,Ottogi,생활소비재
7340,Dong-A_Tire,경기소비재
7570,Ilyang_Pharmaceutical,헬스케어
7690,Kukdo_Chemical,에너지_화학
7860,Seoyon,경기소비재
8060,Daeduck_Electronics,정보기술
8490,Seohung,헬스케어
8770,Hotel_Shilla,경기소비재
9150,Samsung_Electro-Mechanics,정보기술
9240,Hanssem,경기소비재
9290,Kwang_Dong_Pharmaceutical,헬스케어
9540,Hyundai_Heavy_Industries,중공업
9580,Moorim_P&P,철강_소재
9680,Motonic,경기소비재
9830,Hanwha_Solutions,에너지_화학
10060,OCI,에너지_화학
10120,LS_Electric,산업재
10130,Korea_Zinc,철강_소재
10140,Samsung_Heavy Industries,중공업
10620,Hyundai_Mipo_Dockyard,중공업
10690,Hwashin,경기소비재
10780,IS_Dongseo,건설
10950,S-Oil,에너지_화학
11070,LG_Innotek,정보기술
11170,Lotte_Chemical,에너지_화학
11200,Hyundai_Merchant_Marine,경기소비재
11210,Hyundai_WIA,경기소비재
11780,Kumho_Petrochemical,에너지_화학
11790,SKC,에너지_화학
12330,Hyundai_Mobis,경기소비재
12450,Hanwha_Aerospace,중공업
12630,Hyundai_Development_Company,건설
12750,S-1_Corporation,경기소비재
14680,Hansol_Chemical,에너지_화학
14820,Dongwon_Systems,에너지_화학
14830,UNID,에너지_화학
15760,Korea_Electric_Power_Corporation_(KEPCO),생활소비재
17670,SK_Telecom,커뮤니케이션서비스
17800,Hyundai_Elevator,중공업
18260,Samsung_SDS,정보기술
18880,Hanon_Systems,경기소비재
19680,Daekyo,경기소비재
20000,Hansum,경기소비재
20150,Iljin_Materials,정보기술
21240,Coway,경기소비재
23530,Lotte_Shopping,경기소비재
25540,Korea_Electric_Terminal,산업재
25860,Namhae_Chemical,에너지_화학
28050,Samsung_Engineering,건설
28260,Samsung_C&T,경기소비재
29530,Sindoh,정보기술
30000,Cheil_Worldwide,커뮤니케이션서비스
30200,KT_Corp,커뮤니케이션서비스
32640,LG_Uplus,커뮤니케이션서비스
33530,Sejong_Industrial,경기소비재
33780,KT&G,생활소비재
33920,Muhak,생활소비재
34020,Doosan_Heavy_Industries,중공업
34120,SBS_Media,커뮤니케이션서비스
34220,LG_Display,정보기술
34730,SK_Holdings,정보기술
35250,Kangwon_Land,경기소비재
35420,NAVER_Corp,커뮤니케이션서비스
36460,Korea_Gas_Corporation,생활소비재
36570,NCSOFT,커뮤니케이션서비스
36580,Farmsco,생활소비재
42660,Daewoo_Shipbuilding_&_Marine_Engineering,중공업
42670,Doosan_Infracore,중공업
42700,Hanmi_Semiconductor,정보기술
47040,Daewoo_E&C,건설
47050,Daewoo_International,산업재
47810,Korea_Aerospace_Industries,산업재
49770,Dongwon_F&B,생활소비재
51600,KEPCO_KPS,산업재
