,name,year,quarter,sector,Relative Return,자본총계 변화율,전체 주주 수 변화율,국제유가 변화율,실업률 변화율,매출액 변화율,영업이익 변화율,이익잉여금 변화율,비유동부채 변화율,유동부채 변화율,Label,Code
13,Hyundai_E&C,2021,Q2,건설,0.09212303643780705,-0.002197340060170916,-0.0,-0.131754905184698,0.11023622047244086,-0.05764562018327357,0.7617657698112736,-0.0034014242688202856,-0.1571861873801914,-0.02054387565623239,0.26661007939596815,000720
13,Daewoo_E&C,2021,Q2,건설,0.19347637386148292,-0.02981279427851624,-0.0,-0.131754905184698,0.11023622047244086,-0.0584114917775822,0.5232353610775473,-0.31364796308286325,-0.22585092802458395,0.029616567205707267,0.13772042236541818,047040
13,KEPCO_KPS,2021,Q2,건설,-0.004965184580075513,-0.027020457208441595,-0.0,-0.131754905184698,0.11023622047244086,-0.1461682840615659,0.34989995214697156,-0.02724433561159767,-0.1474546746512293,0.13447943144249053,0.30147112002223725,051600
13,HHI_Heavy_Industries,2021,Q2,건설,-0.06422896330694149,0.08184037047906034,-0.0,-0.131754905184698,0.11023622047244086,-0.606825861434211,1.0382140303487726,-0.017545436611472454,-0.0052195961199379415,0.022663560028895136,0.08626732855304292,097230
