Feature,Importance
F_자본금 변화율,0.22525910507680053
P_보유 주식 수 변화율,0.1887398443318608
M_금리 변화율,0.18830126044637308
P_1인평균급여 변화율,0.14830461642428258
P_증자주식수 변화율,0.14616840387384777
P_자기주식수 변화율,0.10322676984683524
