,name,year,quarter,sector,Relative Return,자본금 변화율,보유 주식 수 변화율,금리 변화율,1인평균급여 변화율,증자주식수 변화율,자기주식수 변화율,Label,Code
4,경방,2023,Q4,경기소비재,-0.06536116314323508,0.0,-0.053911181435313926,0.00757180156657955,0.016680986269392184,0.0,0.0,-0.10878884492008238,000050
4,하이트진로,2023,Q4,생활소비재,-0.14990381084427554,0.0,0.009775024537570065,0.00757180156657955,0.0318694960808219,0.0,0.0,-0.004698098076335337,000080
4,유한양행,2023,Q4,헬스케어,0.09501216460727777,0.0,0.035339626270167734,0.00757180156657955,0.07272727272727275,-0.7770199346530209,0.02275765410624553,-0.05938153517806958,000100
4,CJ대한통운,2023,Q4,산업재,0.45385138144132386,0.0,-0.05677172046829948,0.00757180156657955,0.06299212598425208,0.0,-8.40466253012595e-05,-0.09066596150247212,000120
4,두산,2023,Q4,산업재,0.7618153709008032,0.0,0.15566016883951872,0.00757180156657955,0.048964218455743724,0.0,0.0,0.10206862428119036,000150
4,대림산업,2023,Q4,건설,-0.15609689068941437,0.0,-0.13577456054522063,0.00757180156657955,-0.0030211480362537513,0.0,3.677146534286635e-05,0.19593208434489187,000210
4,일동제약,2023,Q4,헬스케어,-0.18290683109768113,0.0,0.004190899099982159,0.00757180156657955,0.2587477759891552,0.0,0.0,-0.06595967810721542,000230
4,한국타이어월드와이드,2023,Q4,경기소비재,0.034485011002909904,0.0,-0.20031094307456365,0.00757180156657955,0.08996539792387548,0.0,181.43361344537814,-0.08591958436319505,000240
4,기아차,2023,Q4,경기소비재,0.5421023299411623,0.18244789023602315,-0.004961488722627916,0.00757180156657955,0.14356435643564347,0.0,0.3168114455146078,-0.1401535190996598,000270
4,조선내화,2023,Q4,철강_소재,-0.23123545640332863,0.6660426326225717,7.681107031288784,0.00757180156657955,-0.09523809523809523,2.1710579868101494,6.0424225,-0.03284289441307822,000480
4,동아쏘시오홀딩스,2023,Q4,헬스케어,0.06673828483305849,0.0,0.043348010266240244,0.00757180156657955,-0.006249999999999978,0.1424991269973115,0.0,-0.09398115169705518,000640
4,SK하이닉스,2023,Q4,정보기술,0.12280654486687421,0.0,-0.03680099993261399,0.00757180156657955,-0.09592506654457134,0.0,-0.012084088936360815,0.11249804517776539,000660
4,영풍,2023,Q4,철강_소재,-0.11901841935253826,0.0,-0.0032476629992607142,0.00757180156657955,0.061817645323104076,0.0,0.0,-0.1913417954123733,000670
4,현대건설,2023,Q4,건설,-0.15828329584792822,0.0,0.002024208931118876,0.00757180156657955,0.03728813559322042,0.0,0.0,0.02291629786982935,000720
4,한화,2023,Q4,에너지_화학,0.06789821303561219,0.0,-0.01899353653248992,0.00757180156657955,0.050359712230215736,0.0,0.0,-0.07102790399691823,000880
4,CJ,2023,Q4,생활소비재,0.10516296191705135,0.0,-0.04522139925967783,0.00757180156657955,-0.030033370411568394,0.0,0.0,0.3078080192280813,001040
4,LG상사,2023,Q4,산업재,-0.19492066041087908,0.0,0.06321888657972607,0.00757180156657955,-0.06299212598425197,0.0,0.0,0.06799306689519649,001120
4,동국제강,2023,Q4,철강_소재,-0.16895502636089346,0.29901609037795285,-0.8152463536500727,0.00757180156657955,0.09770114942528729,18984.089968152864,-0.8221653419094823,0.028548288267116508,001230
4,세아베스틸,2023,Q4,철강_소재,-0.08331126280678475,0.0,-0.15897645674263883,0.00757180156657955,0.03645833333333326,0.0,0.0,-0.08023989203481333,001430
4,대상,2023,Q4,생활소비재,-0.18735620286412608,0.0,-0.006214903222069079,0.00757180156657955,0.051587301587301626,0.0,0.0,0.10969403614789311,001680
4,SK네트웍스,2023,Q4,경기소비재,0.004194578508096722,0.0,0.0,0.00757180156657955,-0.014028513654665398,0.0,0.24457130269324145,-0.2159909261683488,001740
4,오리온,2023,Q4,생활소비재,-0.22410267205819728,0.0,0.0037299784195738983,0.00757180156657955,0.8299155609167672,0.0,0.0,-0.005094542641011161,001800
4,고려제강,2023,Q4,철강_소재,0.02206669831066725,0.0,0.08626442183880734,0.00757180156657955,0.019230769230769162,0.0,0.509720306032861,0.14439091227243822,002240
4,넥센타이어,2023,Q4,경기소비재,-0.0604559493638817,0.0,-0.191357807456073,0.00757180156657955,-0.0691176470588235,0.0,0.0,-0.027219072914569806,002350
4,KCC,2023,Q4,건설,0.023524832476839577,0.0,-0.022328695278536093,0.00757180156657955,0.07912133750821693,0.0,0.0,0.051540357294991165,002380
4,아모레G,2023,Q4,생활소비재,-0.2113172777498022,0.0,0.019767685660306844,0.00757180156657955,0.1287128712871286,0.0,-0.000936155652713988,0.30261872870898676,002790
4,한국쉘석유,2023,Q4,에너지_화학,-0.04740177439797208,0.0,0.09711477100471932,0.00757180156657955,-0.058425674743666334,0.0,0.0,0.13365405835032973,002960
4,부광약품,2023,Q4,헬스케어,-0.031270062069607765,0.0,0.004075581044864718,0.00757180156657955,0.025233036384674667,0.0,0.0,0.02739847236300402,003000
4,세아제강,2023,Q4,철강_소재,0.06408017624255795,0.0,-0.23757449371422368,0.00757180156657955,0.037634408602150504,0.0,0.0,0.024587676592854324,003030
4,일신방직,2023,Q4,경기소비재,-0.05024642351393234,0.0,9.0,0.00757180156657955,0.07195098087177731,7.047499999999999,13.561540329166636,-0.04609063520141231,003200
4,태광산업,2023,Q4,에너지_화학,0.05806270647634486,0.0,0.06847471981095343,0.00757180156657955,0.049180327868852514,0.0,0.0,-0.09944385052655712,003240
4,한일시멘트,2023,Q4,건설,0.03804570950805011,0.0,-0.19616367663007428,0.00757180156657955,0.29574817172208534,0.0,0.0,0.0036376256681529134,003300
