code,name,sector,year,quarter,disclosure_date,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,자본총계,매출액,영업이익,법인세차감전 순이익,당기순이익(손실),이익잉여금,총포괄손익,영업비용
8770,호텔신라,경기소비재,2015,Q4,2016-03-30,-,-,"2,213,549,595,266",-,-,"1,367,451,847,034","200,000,000,000","846,097,748,232",2782230572027,133523883203,107097728519,81440566098.0,,,
8770,호텔신라,경기소비재,2016,Q1,2016-05-16,-,-,"2,186,920,760,824",-,-,"1,408,886,872,975","200,000,000,000","778,033,887,849",751963340752,27174137661,30383236876,23571751687.0,,,
8770,호텔신라,경기소비재,2016,Q2,2016-08-16,-,-,"2,208,131,943,554",-,-,"1,430,910,084,759","200,000,000,000","777,221,858,795",821292094766,30360278941,23693796603,17406934304.0,,,
8770,호텔신라,경기소비재,2016,Q3,2016-11-14,-,-,"2,187,897,676,278",-,-,"1,388,128,697,104","200,000,000,000","799,768,979,174",795386078144,33870203755,29616524226,22547120379.0,,,
8770,호텔신라,경기소비재,2016,Q4,2017-03-31,"946,651,826,647","1,087,540,310,386","2,034,192,137,033","619,069,716,973","636,055,176,889","1,255,124,893,862","200,000,000,000","779,067,243,171",786486186997,21655197691,-19267037763,-23060173647.0,,,
8770,호텔신라,경기소비재,2017,Q1,2017-05-12,"875,261,262,510","1,088,373,551,894","1,963,634,814,404","748,183,827,149","440,295,334,765","1,188,479,161,914","200,000,000,000","775,155,652,490",867295934556,13927033224,11969044849,9374190469.0,,,
8770,호텔신라,경기소비재,2017,Q2,2017-08-14,"1,065,799,752,030","1,096,865,714,064","2,162,665,466,094","704,315,429,205","670,915,113,240","1,375,230,542,445","200,000,000,000","787,434,923,649",749674629511,24549295705,16565538496,12535587950.0,,,
8770,호텔신라,경기소비재,2017,Q3,2017-11-14,"1,104,502,734,733","1,152,139,530,666","2,256,642,265,399","772,832,764,308","674,567,663,998","1,447,400,428,306","200,000,000,000","809,241,837,093",903372594281,35533934853,28871876106,21806913444.0,"517,160,316,486",,
8770,호텔신라,경기소비재,2017,Q4,2018-04-02,"998,607,327,343","1,263,033,877,690","2,261,641,205,033","792,871,347,282","682,036,939,855","1,474,908,287,137","200,000,000,000","786,732,917,896",842637768033,25415933315,-16516906564,,"494,651,397,289",,
8770,호텔신라,경기소비재,2018,Q1,2018-05-15,"866,352,897,204","1,272,446,231,995","2,138,799,129,199","645,776,682,143","687,076,133,364","1,332,852,815,507","200,000,000,000","805,946,313,692",863980192388,45582080325,42697922905,,"513,864,793,085",,
8770,호텔신라,경기소비재,2018,Q2,2018-08-14,"960,868,871,805","1,272,069,745,257","2,232,938,617,062","836,713,157,253","536,504,530,148","1,373,217,687,401","200,000,000,000","859,720,929,661",918642280827,69509179227,65860615607,,"567,639,409,054",,
8770,호텔신라,경기소비재,2018,Q3,2018-11-14,"985,285,170,438","1,282,506,873,609","2,267,792,044,047","827,761,661,629","539,985,094,811","1,367,746,756,440","200,000,000,000","900,045,287,607",940031517487,62113506673,58654520573,,"607,963,767,000",,
