,name,sector,year,quarter,매출액변화율,자본총계변화율,비유동부채변화율,Code
6,S_hynix,Technology,2023,Q1,0.18484023622613488,0.024557408560389682,-0.32624970959348776,000660
7,Hansol_Technics,Technology,2023,Q1,-0.06578013600895716,-0.025471381415631766,0.12972718561165475,004710
7,Samsung_Electronics,Technology,2023,Q1,0.01454087336708254,-0.007412573939901357,-2.736405579642703,005930
7,Samsung_SDI,Technology,2023,Q1,0.1019003001415858,-0.03253772426798052,0.05675256169833898,006400
6,Daeduck_Electronics,Technology,2023,Q1,-0.5728016294475622,0.00502244005040231,0.058102536355107204,008060
7,Samsung_Electro-Mechanics,Technology,2023,Q1,-0.03849231054398916,0.02123464802366315,0.23534282867700562,009150
6,IS_Dongseo,Technology,2023,Q1,0.011512145004196173,-0.10314021029465614,-0.6789472846426965,010780
6,LG_Innotek,Technology,2023,Q1,0.3369158028545498,0.01604391155677265,-0.3887315587136222,011070
7,Samsung_SDS,Technology,2023,Q1,0.03570285843613463,0.023498395647811088,0.051896177855688674,018260
6,LG_Display,Technology,2023,Q1,0.38665683142766505,0.19132177003305517,-0.31776365510778204,034220
6,NAVER_Corp,Technology,2023,Q1,0.06411961274103295,-0.02889259581966197,-0.11209259345710576,035420
6,NCSOFT,Technology,2023,Q1,0.142590752851804,0.0026499045024726,0.16754523335757943,036570
6,Hanmi_Semiconductor,Technology,2023,Q1,0.565008006919415,-0.3077827221030509,0.08805858486755447,042700
6,LG_Electronics,Technology,2023,Q1,-0.27465567876473274,-0.04973946380377692,-0.07221791542508438,066570
