,name,sector,year,quarter,매출액변화율,자본총계변화율,비유동부채변화율,Code
14,S_hynix,Technology,2021,Q1,-0.09299234168558068,-0.0033684789603904974,-0.40710867845215737,000660
15,Hansol_Technics,Technology,2021,Q1,-0.07750991070917923,-0.02089064942770169,-0.17404558906380352,004710
15,Samsung_Electronics,Technology,2021,Q1,-0.11166595480054031,0.04669868527652721,0.04857455477287309,005930
15,Samsung_SDI,Technology,2021,Q1,0.011502304134530683,-0.0031803231531843945,-0.04500115432242113,006400
14,Daeduck_Electronics,Technology,2021,Q1,-14.061195829019116,0.00455250026712628,0.20944950446983857,008060
15,Samsung_Electro-Mechanics,Technology,2021,Q1,-0.11828480128246133,-0.03197426807470216,-0.08403751048948749,009150
14,IS_Dongseo,Technology,2021,Q1,0.10351426645102324,0.016979720611977278,0.27919384471633524,010780
14,LG_Innotek,Technology,2021,Q1,0.19317934148654592,-0.1054343679604075,0.1257032851091885,011070
15,Samsung_SDS,Technology,2021,Q1,-0.02311870495284163,0.013692391992615627,-0.23732406807353668,018260
14,LG_Display,Technology,2021,Q1,0.04672439418658281,-0.0040826308663886035,0.027788766786231656,034220
14,NAVER_Corp,Technology,2021,Q1,0.01989367802036779,-0.07569221084811617,-4.223453172316372,035420
14,NCSOFT,Technology,2021,Q1,0.4208278929278748,-0.042031164124282094,-0.1220968132557485,036570
14,Hanmi_Semiconductor,Technology,2021,Q1,0.09098638478208709,-0.01898216932610275,-0.2979600076847104,042700
14,LG_Electronics,Technology,2021,Q1,0.03721776611108807,0.015473506493270839,0.04689399160678043,066570
