,name,sector,year,quarter,매출액변화율,자본총계변화율,비유동부채변화율,Code
15,S_hynix,Technology,2020,Q4,0.05597988522384667,-0.030202426449112085,-0.13423392294601877,000660
16,Hansol_Technics,Technology,2020,Q4,0.365153057944687,-0.01027470656591456,-0.7190831332762411,004710
16,Samsung_Electronics,Technology,2020,Q4,0.1523666941317875,-0.00952205242915305,0.059407846666093,005930
16,Samsung_SDI,Technology,2020,Q4,-0.03349255265841977,-0.02162737804412118,0.005459394367709258,006400
15,Daeduck_Electronics,Technology,2020,Q4,-1.862108546166342,-0.04315339825331144,0.10848782237505206,008060
16,Samsung_Electro-Mechanics,Technology,2020,Q4,0.18591765919350456,-0.039678304448719226,0.3148412017631155,009150
15,IS_Dongseo,Technology,2020,Q4,0.07939567076457088,-0.004402410262452916,-0.2916629383020668,010780
15,LG_Innotek,Technology,2020,Q4,-0.7220646892234874,-0.044565716189959526,0.16777438996208582,011070
16,Samsung_SDS,Technology,2020,Q4,-0.05092456440374549,-0.013801307158128884,-0.03515577126428027,018260
15,LG_Display,Technology,2020,Q4,-0.07551481153140727,-0.04737382868364981,0.09636627453878122,034220
15,NAVER_Corp,Technology,2020,Q4,-0.09726155295523697,-0.12676190265851472,-0.17931106171219402,035420
15,NCSOFT,Technology,2020,Q4,-0.5223940007670993,0.01268362958941538,0.1760384997578216,036570
15,Hanmi_Semiconductor,Technology,2020,Q4,-0.00034314822096193076,-0.028540382142467013,0.7024394675280718,042700
15,LG_Electronics,Technology,2020,Q4,0.07538856671820982,0.0013521665010763906,0.07480221061804826,066570
