,name,sector,year,quarter,매출액변화율,자본총계변화율,비유동부채변화율,Code
23,S_hynix,Technology,2018,Q4,0.11879250119358864,-0.07892529139037774,0.05930665709708749,000660
24,Hansol_Technics,Technology,2018,Q4,0.1533534460408733,0.1071317595055471,0.5117073337319702,004710
24,Samsung_Electronics,Technology,2018,Q4,0.18533836016992133,-0.019623566388952796,-0.6299751229742268,005930
24,Samsung_SDI,Technology,2018,Q4,-0.0848967058205703,-0.018740675894369785,-0.06869783893040093,006400
23,Daeduck_Electronics,Technology,2018,Q4,-0.22331013394133792,-0.9396622685129763,-1.437531847674638,008060
24,Samsung_Electro-Mechanics,Technology,2018,Q4,0.11014736025984817,-0.0074118828466815945,0.037234973416804706,009150
23,IS_Dongseo,Technology,2018,Q4,-0.9172510745257363,-0.001332366098725224,-0.17579159001124944,010780
23,LG_Innotek,Technology,2018,Q4,-0.05254937869883358,-0.03793469395634608,-0.11332726974846685,011070
24,Samsung_SDS,Technology,2018,Q4,-0.13418665489218817,-0.014874672054599358,0.23330737718149208,018260
23,LG_Display,Technology,2018,Q4,-0.15198039372935668,-0.0036305948027255397,-0.06917756581873435,034220
23,NAVER_Corp,Technology,2018,Q4,-0.0895173778467937,-0.04447287142629941,0.059690312360360154,035420
23,NCSOFT,Technology,2018,Q4,-0.0385692078080031,0.006698615984524814,0.2004434467231152,036570
23,Hanmi_Semiconductor,Technology,2018,Q4,0.26939015154301194,-0.023843689697654824,0.7061411657863215,042700
23,LG_Electronics,Technology,2018,Q4,0.16303432714101374,0.0882623594471662,0.016922923031185144,066570
