0,1,2,3,4,5,6,7
0,161390,52690,2350,60980,,,
1,161390,73240,79980,3030,210.0,150.0,
2,7860,73240,8770,1680,11210.0,1800.0,145990.0
3,52690,161390,10620,33920,640.0,,
