,name,year,quarter,sector,Relative Return,특정 증권 등 소유 증감 수 변화율,총포괄손익 변화율,자본총계 변화율,전체 주식 수 변화율,특정 증권 등 소유 수 변화율,이익잉여금 변화율,GDP 변화율,비유동부채 변화율,매출액 변화율,Label,Code
31,Hite_Jinro,2016,Q4,생활소비재,-0.10763656400908422,-0.0885693550048321,-0.0885693550048321,-0.003149333770795737,-0.0885693550048321,-0.0885693550048321,-0.010075903493099059,-0.00772594542518501,0.008738955824266426,-0.013367361045171888,-0.072411289524463,000080
31,CJ_Corp,2016,Q4,생활소비재,-0.13262803475489274,-0.08854396065905812,-0.08854396065905812,-0.0014896240139863348,-0.08854396065905812,-0.08854396065905812,-0.002232409014018666,-0.00772594542518501,0.05063288656725573,-0.09710737526274893,0.0034555521805285727,001040
31,Daesang,2016,Q4,생활소비재,0.015756567407986602,-0.08864708677843036,-0.08864708677843058,-0.014699641968033639,-0.08864708677843058,-0.08864708677843036,-0.04423961762743356,-0.00772594542518501,-0.02184866345172165,0.0865003864866477,-0.10852569279823925,001680
31,Orion_Corp,2016,Q4,생활소비재,-0.16663380105797293,0.0,-0.08864324036057725,-0.06363068434894026,-0.08864324036057725,0.0,-0.06025186098059532,-0.00772594542518501,0.4638347754422316,-0.11556074782093728,-0.21276284155294659,001800
31,AmoreG,2016,Q4,생활소비재,-0.06308916687988277,-0.08862524043011799,-0.08862524043011821,0.002792161117715075,-0.08862524043011799,-0.08862524043011799,0.004150124558117141,-0.00772594542518501,0.032696840934135385,0.09298551815990763,-0.20312346210213097,002790
31,Namyang_Dairy_Products,2016,Q4,생활소비재,-0.04823750664161107,-0.08865393498263785,-0.08865393498263785,-0.017232223001516722,-0.08865393498263763,-0.08865393498263763,-0.016849454203505587,-0.00772594542518501,0.46402645200403103,-0.012874418093542728,0.06493197205169922,003920
31,Nongshim,2016,Q4,생활소비재,-0.2115790158471797,-0.08861227483353984,-0.08861227483353984,-0.0060661360339018255,-0.08861227483353984,-0.08861227483353984,-0.00679003193964367,-0.00772594542518501,-0.07707789021412692,-0.05706426715334345,0.06377842017846257,004370
31,Binggrae,2016,Q4,생활소비재,-0.16966972687906717,0.0,-0.08865553504174084,0.004381350905932058,-0.08865553504174084,0.0,0.04987560642954347,-0.00772594542518501,0.24502383810942419,0.3446810336322751,0.07034219953635958,005180
31,Lotte_Chilsung_Beverage,2016,Q4,생활소비재,-0.155291398154239,-0.08851725171494995,-0.08851725171494973,0.027142960925605863,-0.08851725171494995,-0.08851725171494995,0.039892473532344486,-0.00772594542518501,-0.0008014875904074348,0.21130262378001674,-0.09283410090648932,005300
31,Hyundai_Green_Food,2016,Q4,생활소비재,-0.183180348083885,-0.0886298231404199,-0.0886298231404199,0.004397573980799874,-0.08862982314041967,-0.0886298231404199,-0.012035061835610428,-0.00772594542518501,0.12395447889594624,-0.012408253316232187,-0.05415993546079011,005440
31,SPC_Samlip,2016,Q4,생활소비재,0.004848791639451337,0.0,-0.08866136126294033,-0.020488702147476667,-0.08866136126294011,0.0,-0.056744395390283975,-0.00772594542518501,-0.3831040190636912,-0.1217195765314234,-0.1371307896593187,005610
31,Crown_Confectionery,2016,Q4,생활소비재,-0.3243408874505329,0.0,-0.08866053085779835,-0.0067414913954599864,-0.08866053085779835,0.0,-0.007126814913351653,-0.00772594542518501,-0.37611440504625593,-0.07799853581450211,-0.04614352950522525,005740
31,GS_Retail,2016,Q4,생활소비재,-0.14505530172632458,-0.08831287483084904,-0.08831287483084904,-0.06323523895317584,-0.08831287483084904,-0.08831287483084904,-0.08831287483084926,-0.00772594542518501,0.04117794803375463,0.041958729936043326,-0.025526660059283456,007070
31,Ottogi,2016,Q4,생활소비재,-0.14535410691127332,-0.08864028974411076,-0.08864028974411076,-0.024052659967940038,-0.08864028974411076,-0.08864028974411053,-0.024330755579805352,-0.00772594542518501,0.1612840242451382,0.04925195617511169,-0.11452724421969514,007310
31,Korea_Electric_Power_Corporation_(KEPCO),2016,Q4,생활소비재,-0.15562882030084718,-0.15170549841355085,0.038243245991627206,0.0024112613104536607,-0.0378327056636123,-0.13349826483349858,0.0032183677988339987,-0.00772594542518501,0.012368747252366696,0.04970592166864041,-0.18009834981771042,015760
31,KT&G,2016,Q4,생활소비재,-0.1420602992696396,-0.08876429930208807,-0.08876429930208807,-0.05069261936732894,-0.08876429930208829,-0.08876429930208807,-0.3948981267355227,-0.00772594542518501,-0.031210015429439908,-0.018291182129397843,-0.20665111747548454,033780
31,Muhak,2016,Q4,생활소비재,-0.0676121137103429,0.0,-0.08865979580991823,-0.02348317946761269,-0.08865979580991823,-0.08865979580991845,-0.014050751330804356,-0.00772594542518501,0.5973862999826256,-0.06911996170784307,-0.017012914923217364,033920
31,Korea_Gas_Corporation,2016,Q4,생활소비재,0.0650104078010675,-0.09548129973882813,0.6096239239209558,0.1591897305306177,-0.08458614221889338,-0.0654688881460801,0.20351273367802392,-0.00772594542518501,-0.022629435194435166,-0.7849976956877964,0.09051974067682929,036460
31,Farmsco,2016,Q4,생활소비재,-0.020263177472517775,-0.08865376407528891,-0.08865376407528891,0.022748098959007645,-0.08865376407528913,-0.08865376407528891,0.026788754910775814,-0.00772594542518501,0.4487709583962175,-0.1276353169217399,-0.1079873140872717,036580
31,Dongwon_F&B,2016,Q4,생활소비재,-0.2486660517494632,-0.08865735280288711,-0.08865735280288711,0.007289306214766089,-0.08865735280288711,-0.08865735280288711,-0.08865735280288733,-0.00772594542518501,0.7126518614176984,0.24915736006186995,-0.12387252465382821,049770
