,name,year,quarter,sector,Relative Return,당기순이익 변화율,금리 변화율,국제유가 변화율,소비자물가지수 변화율,실업률 변화율,환율 변화율,Label,Code
9,경방,2022,Q3,경기소비재,-0.13229381994235823,112.91561869372485,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,-0.015779626136757832,000050
9,유한양행,2022,Q3,헬스케어,0.018610835921721084,-0.7087673414065138,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,-0.04341924912778849,000100
9,일동제약,2022,Q3,헬스케어,-0.22730846938527113,-1.3473569619229517,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,-0.4629102238676061,000230
9,한국타이어월드와이드,2022,Q3,경기소비재,-0.023218109725545246,0.03357760610674454,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,-0.05457576397169826,000240
9,기아차,2022,Q3,경기소비재,-0.14892440695249984,-0.8199996339074884,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,0.16996704520573117,000270
9,동아쏘시오홀딩스,2022,Q3,헬스케어,-0.04422912612361249,-2.9310483035202557,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,-0.08799314204559384,000640
9,SK네트웍스,2022,Q3,경기소비재,-0.03219044921266011,-2.354758757435558,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,0.039444218410868585,001740
9,넥센타이어,2022,Q3,경기소비재,0.10643844023838972,-0.8833755874614801,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,0.05304448707738941,002350
9,부광약품,2022,Q3,헬스케어,-0.12129372322350558,0.7751390916171892,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,-0.01689194641921392,003000
9,일신방직,2022,Q3,경기소비재,-0.007870747766539756,-2.208786441868112,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,0.2541788765844919,003200
9,영진약품,2022,Q3,헬스케어,-0.19216797519823928,0.48258024467859406,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,0.0621983953460601,003520
9,쌍용차,2022,Q3,경기소비재,0.0,18.370277345520865,0.0359464250541639,-0.11299650647329962,0.09093510066157107,-0.023255813953488302,0.06411636151380273,0.0,003620
