,name,sector,year,quarter,Relative Return,자본총계변화율,비유동자산변화율,이익잉여금변화율,비유동부채변화율,영업이익변화율,실업률변화율,GDP변화율,환율변화율,금리변화율,수출액변화율,특정 증권 등 소유 증감 수변화율,자기주식수변화율,전체 주식 수변화율,전체 주주 수변화율,특정 증권 등 소유 수변화율,Label,Code
30,Hite_Jinro,음식료·담배,2017,Q1,-0.072411289524463,0.06520124299546326,0.007518281364236601,0.25177656189515707,0.20144143629348743,1.751994192346809,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.057412208397296105,0.18629550729467748,-0.057412208397296105,-0.057412208397296105,-0.057412208397296105,-0.11734288045406419,000080
30,Daesang,음식료·담배,2017,Q1,-0.10852569279823925,0.0023779426200298825,0.005483886583146247,-0.016473056235015493,-0.08972394272883988,-1.6185797068761336,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.0574773584124475,0.0,-0.05747735841244728,-0.0574773584124475,-0.05747735841244728,-0.17236389449323078,001680
30,Namyang_Dairy_Products,음식료·담배,2017,Q1,0.06493197205169922,0.0019729106598376234,-0.013038286956811085,0.0019159904912333658,-0.18529252169933308,0.9832238366115034,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.05747848187743676,0.29008353504587714,-0.05747848187743698,-0.05747848187743676,-0.05747848187743676,0.0762533971825936,003920
30,Nongshim,음식료·담배,2017,Q1,0.06377842017846257,-0.002056067008183504,-2.242240442273946e-05,-0.002297146008824358,0.10770439323956194,-0.33241397997947275,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.057453196976847476,0.37364071170277835,-0.057453196976847476,-0.057453196976847476,-0.057453196976847254,-0.18792640683212014,004370
30,Binggrae,음식료·담배,2017,Q1,0.07034219953635958,0.00908049522112897,-0.00699130009177229,0.8245763136197568,-0.14385239945008887,2.0532019899572513,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,0.0,0.37366481169353016,-0.057485627294566743,-0.057485627294566743,0.0,-0.008130145158635652,005180
30,Lotte_Chilsung_Beverage,음식료·담배,2017,Q1,-0.09283410090648932,-0.0007329283837214096,-0.004502065575511471,-0.0033769115674644468,0.10388664936666647,-4.209688773788045,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.05739886946954842,-1038.1536788595138,-0.05739886946954842,-0.05739886946954842,-0.0573988694695482,-0.11592452128544409,005300
30,SPC_Samlip,음식료·담배,2017,Q1,-0.1371307896593187,0.17536333449957153,-0.012502478526171812,0.008517521394280636,-0.5690826829815958,0.5749266394546937,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,0.0,-0.05217918302772806,-0.05748539179749179,-0.05748539179749179,0.0,0.21231979030144182,005610
30,Ottogi,음식료·담배,2017,Q1,-0.11452724421969514,-0.013654342030309019,-0.041862678484923865,-0.01418579337744763,0.004475051490495874,-0.6520890209067784,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.0574803229100882,-2.1640348951118793,-0.0574803229100882,-0.05748032291008798,-0.0574803229100882,0.05934328438375942,007310
30,KT&G,음식료·담배,2017,Q1,-0.20665111747548454,0.024122872795602435,-0.04065078321406612,0.7545015065212155,-0.0824831300319202,-0.05726606376358623,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.05688526439492603,-0.09091946226270675,-0.05688526439492603,-0.05688526439492603,-0.05688526439492603,-0.11645132210391639,033780
30,Muhak,음식료·담배,2017,Q1,-0.017012914923217364,-0.043742232577432816,-0.06068336188480372,-0.045352498684610554,-9.925745431634468,-0.11140997638440608,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,0.0,-0.75694916717459,-0.057487908684642486,-0.057487908684642264,-0.057487908684642264,-0.07527611762694694,033920
30,Farmsco,음식료·담배,2017,Q1,-0.1079873140872717,-0.02136421800092947,-0.036287624480838776,-0.05679297815568707,-0.00362561071325862,-1.520157290310311,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.05748520866958473,-0.5334431513275293,-0.05748520866958473,-0.05748520866958473,-0.05748520866958473,0.0033085262213416733,036580
30,Dongwon_F&B,음식료·담배,2017,Q1,-0.12387252465382821,-0.01609500944569442,-0.02967779480878696,-0.057479641630698186,-0.11012552496854333,24.863641976059668,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.057479641630698186,0.0,-0.057479641630698186,-0.057479641630698186,-0.057479641630698186,0.09245412366544485,049770
30,CJ_CheilJedang,음식료·담배,2017,Q1,-0.026483324670594697,0.00012853645778709843,-0.0045269898635120764,-0.0035839271333892864,-0.1787729882431135,-1.9565761814065827,-0.0277777777777779,-0.011192800453106333,0.005897475606975844,-0.13548951048950886,-0.057487026215818915,-0.05716380323417414,0.37432913144067825,-0.057163803234173916,-0.05716380323417414,-0.05716380323417414,-0.0985109486793873,097950
