,name,sector,year,quarter,자본총계변화율,비유동자산변화율,영업이익변화율,Relative Return,전체 주식 수변화율,특정 증권 등 소유 비율변화율,전체 주주 수변화율,자기주식수변화율,특정 증권 등 소유 수변화율,특정 증권 등 소유 증감 수변화율,Label,Code
6,Hite_Jinro,음식료·담배,2023,Q1,0.03747612689528845,-0.004991940490844948,-1.4916901443666823,-0.065360363657063,0.19562967550324273,-0.03969386191468116,0.13643351227783906,0.10264376210100778,-0.03969386191468116,-0.03969386191468116,-0.224453738477296,000080
6,Daesang,음식료·담배,2023,Q1,-0.0018634580990237737,-0.0465109212280701,-2.3431612021787993,-0.003054342552159226,0.3727459916446554,-0.025651430810071485,0.40993615089786806,0.0,-0.025659836167213346,-0.261772059095857,-0.20809010211365964,001680
6,Namyang_Dairy_Products,음식료·담배,2023,Q1,0.020603316445803932,0.023368538716622034,0.4294194658820446,0.25817808003436177,0.291688021569087,0.05545620335570889,0.327530660366983,0.19358989821676387,0.055456164952490616,0.055650566962722414,0.061055420169087105,003920
6,Nongshim,음식료·담배,2023,Q1,-0.005246855166587849,-0.0036274316584421484,-0.48010423387647294,0.1850769705791539,0.26216604699248214,-0.019389299314142017,-0.06402243801382035,0.02818510374192751,-0.019388027470028213,-0.04299801036015638,-0.037829088617352014,004370
6,Binggrae,음식료·담배,2023,Q1,0.0060820203637702575,0.02435319507518563,5.829125309239528,-0.02578161527943195,0.2820539245461705,0.0,0.41669131324461794,0.08669550996707298,0.0,0.0,-0.04085501236264631,005180
6,Lotte_Chilsung_Beverage,음식료·담배,2023,Q1,-0.002638817653054737,-0.00632324274723528,-1.4441225216264861,0.08997500755266258,0.16954422820111847,-0.04949459383884891,-0.047218009549894635,-0.10935425051324832,-0.04949285721277508,-0.04131244256001887,-0.1571680241915817,005300
6,SPC_Samlip,음식료·담배,2023,Q1,0.01595958594269742,0.001639975943337757,0.4419279795922664,-0.18399930620740326,0.09921782000601509,0.0,0.11563397399584086,-0.05979164186200059,0.0,0.0,-0.14427166564816435,005610
6,Ottogi,음식료·담배,2023,Q1,-0.0026291091431029923,0.009213372640319184,-0.817819275374364,0.01671583479130802,0.1080776647023014,0.0,0.06080364264299443,0.3503293750796531,-0.003655583986098998,-0.00365558398609922,-0.16221524475344662,007310
6,KT&G,음식료·담배,2023,Q1,0.0405649427936875,-0.02440045734518259,-0.013026940130778764,0.039638754702138956,0.13780687666034364,0.0,0.10420718806088969,0.2543853984231206,-0.09745636595420493,-0.13445634924074557,-0.18251384776691348,033780
6,Muhak,음식료·담배,2023,Q1,-0.06712706396831103,0.09759139861007082,-0.10293991029454941,-0.0733485851695376,0.31235797666306453,-3.283813634263339,0.47117296227629835,0.44757551127291206,-3.2838136342633435,0.0,-0.006501746648899673,033920
6,Farmsco,음식료·담배,2023,Q1,0.014976286911765113,0.002340958676020022,14.540160545899715,-0.06572371924592617,0.20660908984729243,0.0,0.33261986898058904,0.16547207454816637,0.03601432571617935,0.03601432571617935,-0.15113332504060348,036580
6,Dongwon_F&B,음식료·담배,2023,Q1,-0.02187812071620998,-0.0010489854869872861,-0.514457318960011,0.07335405929333284,-0.6487486883273348,0.10897692532510561,0.2755053338920107,0.0,0.11997604720937627,0.0959518592496802,-0.08361434549594918,049770
6,CJ_CheilJedang,음식료·담배,2023,Q1,-0.042089850346888946,0.0010303425700226576,-1.789494699144198,-0.0922773748189339,0.2790774811330038,-0.017178124913620696,0.2207078797420442,-0.00645772814636536,-0.01718856266367541,0.23306007644770288,-0.24381069385787343,097950
6,Samyang_Foods,음식료·담배,2023,Q1,-0.03911983842855893,-0.021760708351576064,-0.14643741803875865,0.049446810052727816,0.10916574699722659,0.0,0.24678938054733235,0.09248777640838779,0.0,0.0,-0.055412287700093925,145990
